File ,Trials,Channels
fe_ft_01_ctet_session1_ATM.mat,"169, 181, 182, 185, 199, 321, 552, 553, 554, 580, 581, 640, 641, 642, 664, 665, 666, 1070, 1071, 1118, 1120, 1123, 1125, 1350, 1575",
fe_ft_01_ctet_session2_CIT.mat,"29, 89, 90, 98, 102, 184, 185, 187, 189, 191, 268, 398, 580, 582, 583, 592, 593, 650, 693, 695, 699, 854, 859, 1016, 1018, 1091, 1184, 1379, 1380, 1381, 1425, 1884, 2102, 2104, 2108, 2109",
fe_ft_01_ctet_session3_MPH.mat,"165, 166, 450, 586, 675, 750, 960, 961, 962, 1125, 1575, 1633, 1634, 1800, 1915, 1916, 1917, 2025, 2061, 2062, 2085, 2086, 2250",
fe_ft_01_ctet_session4_PLA.mat,"647, 648, 905, 937, 938, 1100, 1101, 1550, 1551, 1590, 1591, 1605, 1619, 1672, 1836, 1874, 2068, 2069",
fe_ft_02_ctet_session1_PLA.mat,"90, 91, 92, 165, 312, 313, 314, 431, 432, 489, 490, 504, 505, 567, 568, 687, 688, 731, 732, 733, 788, 880, 881, 961, 962, 1195, 1196, 1233, 1234, 1264, 1265, 1458, 1459, 1512, 1513, 1614, 1615, 1864, 1865, 1946, 1947, 2024, 2025",
fe_ft_02_ctet_session2_MPH.mat1,"248, 362, 650, 651, 687, 688, 753, 834, 990, 1156, 1158, 1345, 1450, 1451, 1574, 1848, 1849, 1898, 2043, 2113",
fe_ft_02_ctet_session3_CIT.mat,"168, 242, 510, 905, 937, 965, 1067, 1068, 1069, 1070, 1272, 1471, 1527, 1555, 1641, 1747, 1748, 1749, 1981, 1982",
fe_ft_03_ctet_session1_PLA.mat,"853, 854, 855, 869, 870, 1126, 1127, 1377, 1471, 1589, 1649, 1800, 1805, 1806, 1989, 2206, 2207, 2208",
fe_ft_03_ctet_session4_ATM.mat,"899, 900, 1075, 1125, 1204, 1205, 1786, 1787, 1788, 1789, 1885, 1886, 1887, 2002, 2034, 2036, 2057, 2058, 2059, 2088, 2154, 2155, 2156, 2193",
fe_ft_04_ctet_session1_MPH.mat,"435, 1287, 1288, 1369, 1371, 1390, 1403, 1418, 1441, 1447, 1457, 1462, 1465, 1470, 1476, 1489, 1506, 1526, 1829",
