"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000123308808277153 -0.000160148766241129 -0.000198391981817855 -0.000481849556336137 -0.132472850460598 0.186110052571182 -1.8419978981988e-05 -0.000340120769076996 0.0268186010552922
"AF7" 4.34429857337946e-05 -0.000160599974700469 -0.000186932600814403 -0.000390975561248666 -0.0459125362686896 0.175657149734914 -5.85784944833371e-05 -0.000288954081031534 0.0648723067331124
"AF3" 0.000109398186867477 -0.000204508631234788 -0.000148311929025015 -0.00046221874712728 -0.109359310878723 0.240509350805222 -4.75552221836552e-05 -0.000305265338076148 0.0655750199632494
"F1" 0.000103727662103153 8.99668930168904e-05 -0.000435085903272458 -0.000448846672358721 -0.106454905353976 -0.0913835731233249 9.68472775600215e-05 -0.00044196628781559 -0.0989192392386503
"F3" 0.000104024785902402 4.2515511047605e-05 -0.000373232900586966 -0.000434742175441763 -0.106602264277317 -0.0401164956041443 7.32701484750033e-05 -0.000403987538014364 -0.0733593799407307
"F5" -8.25517041247779e-06 -1.98757168403655e-05 -0.000314878575616776 -0.000326499122044664 0.00456165627553642 0.0106323223093763 -1.40654436264217e-05 -0.00032068884883072 0.00759698929245634
"F7" 7.06472346025987e-06 3.42740611731219e-06 -0.000342126107628352 -0.0003457634249713 -0.00146682700333875 -0.000659418866519415 5.24606478878603e-06 -0.000343944766299826 -0.00106312293492908
"FT7" 1.45857473975725e-05 -0.000110136231674585 -0.000217048978711792 -0.000341770957783949 -0.00640032387162292 0.116098861647824 -4.7775242138506e-05 -0.000279409968247871 0.0548492688881005
"FC5" 9.18484804244498e-06 -8.78572347359773e-06 -0.000342838635360488 -0.000360809206876531 -0.00225825133547974 0.00275358180144086 1.99562284423626e-07 -0.00035182392111851 0.00024766523298056
"FC3" -4.60258943039195e-06 -5.84792701035132e-06 -0.000343046528600927 -0.000344291866180886 0.00429882927726345 0.00771267420328787 -5.22525822037163e-06 -0.000343669197390906 0.00600575174027566
"FC1" 0.000172780568610606 0.000238994120403273 -0.000580942061497875 -0.000514728509705208 -0.205538427523449 -0.297865102784142 0.00020588734450694 -0.000547835285601541 -0.251701765153796
"C1" 2.10348601005324e-05 4.36489247538826e-05 -0.000378426379143166 -0.000355812314489815 -0.0139952463975689 -0.0379838231857088 3.23418924272075e-05 -0.000367119346816491 -0.0259895347916389
"C3" 9.87286932986893e-06 -0.000104171487625598 -0.000255164578823481 -0.000369208935778948 -0.00814697870465502 0.119233565431324 -4.71493091478644e-05 -0.000312186757301214 0.0555432933633346
"C5" -8.30591851171452e-05 -0.000183737176627662 -0.000168558733507785 -0.000269236725018302 0.0725899976881924 0.223396773958202 -0.000133398180872404 -0.000218897729263043 0.147993385823197
"T7" 3.69823288483051e-05 -6.34492464103232e-05 -0.000287243557580658 -0.000387675132839286 -0.0343110185716294 0.0658591204521031 -1.32334587810091e-05 -0.000337459345209972 0.0157740509402369
"TP7" -4.28298632723144e-05 -5.11094505993018e-05 -0.000300036721455337 -0.000308316308782325 0.0348981228347712 0.0510157702954071 -4.69696569358081e-05 -0.000304176515118831 0.0429569465650892
"CP5" 9.66654760986039e-05 -0.000177698097623281 -0.00016127612937018 -0.000435639703092065 -0.0905343068510967 0.217705704636912 -4.05163107623383e-05 -0.000298457916231123 0.0635856988929075
