"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0 0 0.8 0.4 1 1 1 1 0.8
"AF7" 0 0 0.6 0.4 0.6 0.6 0.8 0.4 0.6
"AF3" 0 0 0.4 0.2 0.4 0.4 1 0.6 1
"F1" 0.4 0 1 0.8 0.8 0.8 1 0.8 1
"F3" 0.2 0.2 0.2 0.8 0.6 0.6 0.8 0.8 0.8
"F5" 0.6 0.6 0.4 0.4 1 1 0.4 0.4 0.8
"F7" 0.4 0.6 0.8 0.8 0.6 0.8 0.6 0.8 0.8
"FT7" 0.6 0 0.2 0.6 1 0.4 0 0.4 0.4
"FC5" 0.8 1 1 1 0.8 1 0.8 1 0.8
"FC3" 0.4 0 0.8 0.8 0.8 0.8 0.2 0.8 1
"FC1" 1 0.2 0.8 0.8 0.4 0.8 0.2 0.8 0.8
"C1" 0.8 0 0.6 0.6 1 0.6 0.2 0.6 0.4
"C3" 0 0 0.4 0.4 0.4 0.4 0 0.4 0.4
"C5" 1 0.2 0.6 0.8 0.8 0.8 0.4 0.6 1
"T7" 0.6 0 1 0.6 0.8 1 0.4 1 1
"TP7" 0.8 0.6 0.8 0.8 0.8 0.6 0.6 0.8 0.6
"CP5" 0.8 0.8 1 1 0.8 0.8 0.8 1 0.8
"CP3" 0.8 1 0.8 0.8 0.8 1 0.8 1 0.8
"CP1" 0.8 0.8 0.6 0.6 1 1 0.8 0.6 1
"P1" 0.6 0.2 0.8 0.8 0.8 0.8 0.2 1 0.8
"P3" 0.8 0.8 0.8 0.8 0.8 0.8 0.6 0.8 0.6
"P5" 0.2 0.4 0.6 0.6 0.8 1 0.4 0.6 1
"P7" 0.2 0.2 1 0.6 0.6 0.6 0.6 0.6 1
"P9" 1 0 0.8 1 0.6 0.8 0.6 1 1
"PO7" 0.8 0.6 0.8 1 0.8 0.6 0.6 1 0.6
"PO3" 0.4 1 1 1 0.6 0.8 0.4 1 0.6
"O1" 0.8 0.8 0.8 0.8 0.8 0.8 0.6 0.8 1
"Oz" 0.8 0.6 1 1 0.4 1 0.2 1 0.6
"POz" 0 0.8 0.8 0.6 0.6 0.6 0.2 0.6 0.8
"Pz" 0 0.8 0.4 0.4 0.4 0.8 0.2 0.4 0.6
"CPz" 0.8 0.8 0.6 0.8 0.6 1 0.8 0.8 0.6
"Fpz" 0 0 0.2 0.8 0.8 0.8 0 0.4 0.8
"Fp2" 0.2 0.2 0.8 0.6 0.8 0.4 1 0.6 0.8
"AF8" 1 1 0.8 0.6 0.8 0.8 0.4 0.6 0.6
"AF4" 0.4 0 0.8 1 0.8 0.8 0.4 0.8 0.8
"AFz" 0.4 0 0.4 0.8 0.8 0.8 0.2 0.8 1
"Fz" 0.8 0.2 1 0.6 0.8 1 0.6 0.8 0.6
"F2" 0.8 0.2 0.8 0.8 0.4 1 0.4 0.8 0.8
"F4" 1 0.8 0.4 0.8 0.6 0.8 1 0.6 0.6
"F6" 0.6 0.2 1 0.8 0.6 0.6 0.6 1 1
"F8" 0.8 0.6 1 0.8 0.4 0.6 1 0.8 0.6
"FT8" 0 0.2 0.8 1 1 0.8 0.2 1 0.8
"FC6" 0.6 0 0.6 1 1 0.8 0.2 0.8 1
"FC4" 0.2 0.2 0.8 0.8 0.8 0.8 0.2 0.8 0.8
"FC2" 0.2 0.2 0.8 0.8 0.6 0.6 0.2 0.8 0.6
"FCz" 0.8 0.2 0.6 0.6 0.8 0.6 0.8 0.6 0.8
"Cz" 1 0 0.6 0.8 0.8 0.6 0.6 0.8 0.8
"C2" 0.4 0.2 1 1 0.8 1 0.2 1 1
"C4" 0.2 0.2 0.6 0.6 0.8 0.8 0.2 0.6 0.8
"C6" 0.2 0.2 0.6 0.6 1 1 0.2 0.6 1
"T8" 0 0 0.8 0.4 0.4 0.4 0.4 0.4 0
"TP8" 0 0 0.8 0.8 1 1 0.8 1 1
"CP6" 0 0 1 0.8 0.8 0.8 0 0.8 0.8
"CP4" 0 0 1 0.4 1 1 0 0.8 1
"CP2" 0.6 0.8 0.6 0.6 1 0.8 0.6 0.6 1
"P2" 0.8 0.6 1 1 0.2 0.4 0.8 1 0.2
"P4" 0.2 1 1 0.6 1 0.6 0.6 0.8 1
"P6" 0.2 0 0.4 0.4 0.8 0.6 0 0.4 0.6
"P8" 0 0 0.4 0.8 0.4 0.4 1 0.4 1
"P10" 0.2 1 0.4 0.6 0.6 0.6 0.6 0.4 1
"PO8" 0.4 0 0.2 1 0.8 0.4 0.8 0.4 0.8
"PO4" 0.6 0.8 0.8 1 0.8 0.6 0.4 0.8 1
"O2" 0.6 1 0.8 0.6 0.6 0.6 1 0.8 0.6
