"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -5.40091180772804e-05 6.04259109538283e-06 -0.00388183528914152 -0.00382178357996886 0.00178243808951043 -0.000153911320711591 -2.39832634909488e-05 -0.00385180943455519 0.000814263384399419
"AF7" -0.000359294454082185 -0.00043224540033409 -0.00286537319578764 -0.00293832414203954 0.0203167483638075 0.023365796115842 -0.000395769927208138 -0.00290184866891359 0.0218412722398247
"AF3" -0.000113823908666243 -4.07362219524978e-05 -0.0036646234774606 -0.00359153579074685 0.00619403405888076 0.000948122695398727 -7.72800653093706e-05 -0.00362807963410373 0.00357107837713974
"F1" -0.00042923485754722 -0.000171555778138698 -0.0033101515741041 -0.00305247249469558 0.0299738732901671 0.00771850735043351 -0.000300395317842959 -0.00318131203439984 0.0188461903203003
"F3" -9.49218171595203e-05 -7.55662756746089e-05 -0.00325063765884829 -0.00323128211736338 0.00256047601187891 0.00109042595594459 -8.52440464170646e-05 -0.00324095988810584 0.00182545098391175
"F5" -0.000115630176086049 -0.000184639747542583 -0.0034797450869049 -0.00354875465836144 0.00377907585178689 0.0100277659588096 -0.000150134961814316 -0.00351424987263317 0.00690342090529822
"F7" 5.46600265173661e-05 6.33047423530202e-05 -0.00376646932939584 -0.00375782461356019 -0.00201724943104726 -0.00315055818513711 5.89823844351931e-05 -0.00376214697147802 -0.00258390380809218
"FT7" 0.000111095920354352 3.79856091419914e-05 -0.00367495210602674 -0.0037480624172391 -0.00194711399686484 -0.000458274869068515 7.45407647481717e-05 -0.00371150726163292 -0.00120269443296668
"FC5" 3.75030571448858e-05 0.000192258579044124 -0.00396362454904603 -0.00380886902714679 -0.000583431901674596 -0.00896676508197043 0.000114880818094505 -0.00388624678809641 -0.00477509849182251
"FC3" -0.000119495559608517 -0.000270757128136475 -0.00337261189393471 -0.00352387346246267 0.00483636217383575 0.0145780051084968 -0.000195126343872496 -0.00344824267819869 0.00970718364116626
"FC1" -0.000174425009871368 -0.000210593538715483 -0.00302553835587934 -0.00306170688472345 0.00830439674790145 0.0109228462813551 -0.000192509274293425 -0.0030436226203014 0.00961362151462828
"C1" -0.000629909959249027 -0.000317127096313352 -0.0031285160045484 -0.00281573314161273 0.0479596331303333 0.0152530704715627 -0.000473518527781189 -0.00297212457308056 0.031606351800948
"C3" -0.000285553204420145 -0.00026085880480762 -0.00369782447346119 -0.00367313007384867 0.0182749070571245 0.0147540369430767 -0.000273206004613883 -0.00368547727365493 0.0165144720001006
"C5" 0.000228301370137228 0.000158645976939624 -0.00344531684415932 -0.00351497223735692 -0.00840285607165311 -0.00490978548504862 0.000193473673538426 -0.00348014454075812 -0.00665632077835087
"T7" -0.000199556940956095 -0.00033233141825744 -0.00315852419388981 -0.00329129867119116 0.0119577032273093 0.019213981078647 -0.000265944179606768 -0.00322491143254049 0.0155858421529781
"TP7" 0.000206611906413327 -0.000280722727926243 -0.00348830558930864 -0.00397564022364821 -0.0104638990497452 0.0164483434337089 -3.70554107564578e-05 -0.00373197290647843 0.00299222219198182
"CP5" 0.000114537414916033 -4.46199413744604e-05 -0.00360618487799524 -0.00376534223428573 -0.00371438173910393 0.0003272022798374 3.49587367707866e-05 -0.00368576355614048 -0.00169358972963327
"CP3" -0.000315169945895328 -8.86951345855933e-05 -0.00343215048359813 -0.0032056756722884 0.0150182192729113 0.00149696440983689 -0.000201932540240461 -0.00331891307794326 0.00825759184137407
"CP1" 0.000364395691457847 -0.000727509740163123 -0.00338129637440144 -0.00447320180602241 -0.0244646471096762 0.0593598837516302 -0.000181557024352638 -0.00392724909021192 0.017447618320977
"P1" 5.01552629392356e-05 0.000140129728658919 -0.00344811139520135 -0.00335813692948166 -0.000592563897079004 -0.00628462419917463 9.51424957990775e-05 -0.0034031241623415 -0.00343859404812682
"P3" -7.40424244253953e-05 -7.01079603931477e-05 -0.00407150050179284 -0.00406756603776059 0.00323051131571214 0.00270459692732324 -7.20751924092715e-05 -0.00406953326977671 0.00296755412151769
"P5" 3.7596446951109e-05 -1.01963525370132e-05 -0.00371508004707041 -0.00376287284655853 -0.000700555311602607 -2.42936347299732e-05 1.37000472070479e-05 -0.00373897644681447 -0.00036242447316629
"P7" 0.000122148417276995 -0.000290265244863464 -0.00341583031885945 -0.00382824398099991 -0.00490261467423341 0.0171130243578152 -8.40584137932342e-05 -0.00362203714992968 0.00610520484179092
"P9" 0.000627941355394691 0.00120471632040671 -0.00502248430679061 -0.00444570934177859 -0.0458600908119412 -0.102718940313856 0.000916328837900701 -0.0047340968242846 -0.0742895155628985
"PO7" 0.00013907302060495 0.000142437497167289 -0.00431263503002118 -0.00430927055345884 -0.00516297727532875 -0.00590065514829628 0.000140755258886119 -0.00431095279174001 -0.00553181621181252
"PO3" 0.000497101427329968 0.000339410681645603 -0.00430411194744216 -0.00446180269312653 -0.0326806401795665 -0.020063518405803 0.000418256054487785 -0.00438295732028434 -0.0263720792926847
"O1" 2.72528169069298e-05 0.000102668679514599 -0.00377809875678723 -0.00370268289417956 -0.000214493506219913 -0.00619228827699512 6.49607482107645e-05 -0.00374039082548339 -0.00320339089160752
"Iz" 3.70144773753439e-05 0.000243509548196452 -0.00362027288046162 -0.00341377780964052 -0.000321641421266876 -0.0112256820169035 0.000140262012785898 -0.00351702534505107 -0.00577366171908521
"Oz" 0.000629972323815515 0.000708368038666687 -0.00430564100117439 -0.00422724528632322 -0.0460887764271101 -0.0570489397314318 0.000669170181241101 -0.0042664431437488 -0.0515688580792709
"POz" -3.30683557830167e-05 -4.15785229833892e-05 -0.0036767080711603 -0.00368521823836067 0.000739169601356668 0.00157223217570566 -3.7323439383203e-05 -0.00368096315476049 0.00115570088853117
"Pz" -0.000312567093955693 -0.000295330149434213 -0.00351694510449803 -0.00349970815997655 0.0219073123742884 0.019628760523302 -0.000303948621694953 -0.00350832663223729 0.0207680364487952
"CPz" 1.15601077744579e-05 -0.000525654898959923 -0.00357555040465931 -0.00411276541139369 -0.000280189642614172 0.0396987014833694 -0.000257047395592733 -0.0038441579080265 0.0197092559203776
"Fpz" -0.000381186634246303 9.37517065893803e-05 -0.00347267033882154 -0.00299773199798586 0.0208213781185423 -0.0061279834556889 -0.000143717463828461 -0.0032352011684037 0.0073466973314267
"Fp2" -0.000203864092479956 0.000228426308931662 -0.00374408613445801 -0.00331179573304639 0.00904715359438945 -0.00868237737818038 1.22811082258534e-05 -0.0035279409337522 0.000182388108104538
"AF8" -0.000425574781465247 -0.000279177914984399 -0.00330877123890061 -0.00316237437241977 0.0292105430025972 0.0159361127652008 -0.000352376348224823 -0.00323557280566019 0.022573327883899
"AF4" -0.000292163158935525 -0.000201696909953227 -0.00357280424797453 -0.00348233799899223 0.0187590226477612 0.0104020317798266 -0.000246930034444376 -0.00352757112348338 0.0145805272137939
"AFz" 9.24875507449437e-05 3.44407839805209e-05 -0.00378065428835622 -0.00383870105512065 -0.0044406851558877 -0.000809802412176742 6.34641673627323e-05 -0.00380967767173844 -0.00262524378403222
"Fz" -0.000115260248200459 -0.000119327410470199 -0.00329947508121513 -0.00330354224348487 0.00559959425175111 0.00452440719425477 -0.000117293829335329 -0.00330150866235 0.00506200072300294
"F2" -0.000161229080817285 -7.09754158995503e-05 -0.0037544130982281 -0.00366415943331037 0.00741504518584175 0.00173811115025557 -0.000116102248358418 -0.00370928626576923 0.00457657816804866
"F4" -0.000204025460007671 -0.000165313139564355 -0.00339471529759465 -0.00335600297715133 0.0103196157223265 0.00760235564810418 -0.000184669299786013 -0.00337535913737299 0.00896098568521536
"F6" 6.84995552535908e-05 0.000115678967622939 -0.00375842981452726 -0.00371125040215791 -0.00116626048926474 -0.00350434400920239 9.2089261438265e-05 -0.00373484010834259 -0.00233530224923357
"F8" -1.01290315088999e-05 -8.13756262833878e-06 -0.00319982043537749 -0.00319782896649692 0.00110700709662737 0.00191466912352477 -9.13329706861934e-06 -0.00319882470093721 0.00151083811007607
"FT8" 0.000403107976779166 0.00023664546341965 -0.0040189060556609 -0.00418536856902042 -0.0232598815528152 -0.0104055235206583 0.000319876720099408 -0.00410213731234066 -0.0168327025367368
"FC6" 7.95578889543393e-05 0.000143866299604176 -0.00361160487214673 -0.00354729646149689 -0.00161086274969451 -0.00522628920242621 0.000111712094279258 -0.00357945066682181 -0.00341857597606036
"FC4" -1.83441631755013e-05 -2.0504954533416e-06 -0.00330903486199893 -0.00329274119427677 0.00139179287019679 3.30772438091616e-05 -1.01973293144215e-05 -0.00330088802813785 0.000712435057002974
"FC2" -0.000397715683379692 -0.000522961787918635 -0.00258322534587755 -0.00270847145041649 0.0234450140435236 0.0346404031544809 -0.000460338735649164 -0.00264584839814702 0.0290427085990023
"FCz" -1.18966224217696e-05 -0.000393607445919997 -0.00300067558629363 -0.00338238640979186 0.000963347952843455 0.0242261358775509 -0.000202752034170883 -0.00319153099804275 0.0125947419151972
"Cz" -0.000428298237156823 -0.00071478368614982 -0.00288296506795022 -0.00316945051694321 0.0293287825038167 0.0534406987089602 -0.000571540961653321 -0.00302620779244672 0.0413847406063884
"C2" -0.00015054046515476 -0.000700897690033586 -0.00316754803468667 -0.00371790525956549 0.0110667236687515 0.051883299592728 -0.000425719077594173 -0.00344272664712608 0.0314750116307397
"C4" -5.84229319477249e-05 1.15635641987326e-05 -0.00338859789619137 -0.00331861140004492 0.0008359150459997 -0.000498441525384905 -2.34296838744962e-05 -0.00335360464811815 0.000168736760307398
"C6" 0.000356358541955648 0.000204727895320374 -0.00418342309496747 -0.00433505374160274 -0.0241928550476125 -0.0109285486223173 0.000280543218638011 -0.0042592384182851 -0.0175607018349649
"T8" -2.53663838190623e-06 -1.92346070832018e-05 -0.00370893378473266 -0.00372563175343396 0.000132987125375042 0.000399577538808974 -1.0885622732554e-05 -0.00371728276908331 0.000266282332092008
"TP8" 1.79295690359192e-05 1.36422150484398e-05 -0.00337792084017835 -0.00338220819416583 0.000449681807862827 -0.000171507963734359 1.57858920421795e-05 -0.00338006451717209 0.000139086922064234
"CP6" 9.78232359220245e-05 1.16790134935687e-05 -0.00358009388888018 -0.00366623811130863 -0.00324374579806092 -0.00194101464354548 5.47511247077966e-05 -0.00362316600009441 -0.0025923802208032
