"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 1.33969618201452e-06 1.30743700622251e-06 -0.00270291806540512 -0.00270295032458091 -0.00128695791746378 -0.00126132062502349 1.32356659411852e-06 -0.00270293419499302 -0.00127413927124363
"AF7" -0.00041693088054872 -0.000415452961199254 -0.00311265490998832 -0.00311117699063886 0.0337724114252134 0.0331936411188934 -0.000416191920873987 -0.00311191595031359 0.0334830262720534
"AF3" -9.21653553213934e-05 -9.25392524786746e-05 -0.00333843468728586 -0.00333880858444314 0.00327936879942531 0.00324578611451352 -9.2352303900034e-05 -0.0033386216358645 0.00326257745696942
"F1" -0.000331359943136646 -0.000330155810136389 -0.00416750035997076 -0.0041662962269705 0.0251892976820225 0.0250642610615965 -0.000330757876636517 -0.00416689829347063 0.0251267793718095
"F3" -7.81256520537909e-05 -7.77179482372303e-05 -0.00425668122508759 -0.00425627352127103 0.000182142885461847 0.00019953266927899 -7.79218001455106e-05 -0.00425647737317931 0.000190837777370419
"F5" -0.000144955870599079 -0.000144606735274245 -0.00247756510979388 -0.00247721597446904 0.0110182796379405 0.010973277935771 -0.000144781302936662 -0.00247739054213146 0.0109957787868557
"F7" 3.0282635278389e-05 3.02634047727789e-05 -0.00323001259103925 -0.00323003182154486 0.00429256248348391 0.00435872989805326 3.0273020025584e-05 -0.00323002220629206 0.00432564619076858
"FT7" 9.45957925623565e-05 9.44451392128184e-05 -0.00253563973836818 -0.00253579039171772 -0.000393028016228181 -0.000414122418355418 9.45204658875875e-05 -0.00253571506504295 -0.0004035752172918
"FC5" 0.000109113587684465 0.000108738617216542 -0.00284748953666039 -0.00284786450712831 -0.000651941576994231 -0.000667382425242158 0.000108926102450503 -0.00284767702189435 -0.000659662001118195
"FC3" -0.000173478006402799 -0.000172681787684458 -0.0038236024182548 -0.00382280619953646 0.00732235782044547 0.00732126631394877 -0.000173079897043628 -0.00382320430889563 0.00732181206719712
"FC1" -0.000194401423574072 -0.000193663661341649 -0.00437625762514008 -0.00437551986290766 0.0181509947798442 0.0178641802740912 -0.000194032542457861 -0.00437588874402387 0.0180075875269677
"C1" -0.000506056307207506 -0.00050493127548251 -0.00251525407170673 -0.00251412903998174 0.0189618059873617 0.0185670267585083 -0.000505493791345008 -0.00251469155584423 0.018764416372935
"C3" -0.000275675705536302 -0.000275222411930472 -0.00293910591012344 -0.00293865261651761 0.0130457359658331 0.0129932859193622 -0.000275449058733387 -0.00293887926332052 0.0130195109425977
"C5" 0.000173813103264679 0.000172800160588758 -0.00458965335430586 -0.00459066629698178 -0.00622979933254104 -0.00617234302533571 0.000173306631926718 -0.00459015982564382 -0.00620107117893837
"T7" -0.000284741667022913 -0.000283362247402876 -0.00317152817832409 -0.00317014875870406 0.0201527664956976 0.0199895508224275 -0.000284051957212894 -0.00317083846851407 0.0200711586590625
"TP7" -4.03112977419921e-05 -3.97376854221565e-05 -0.00433500197840579 -0.00433442836608596 0.00238238472276119 0.00226353262657173 -4.00244915820743e-05 -0.00433471517224587 0.00232295867466646
"CP5" 2.56878424539471e-05 2.54195398666153e-05 -0.00294538994689081 -0.00294565824947814 -0.00017843864049471 -0.000176605934897794 2.55536911602812e-05 -0.00294552409818448 -0.000177522287696252
"CP3" -0.000211191109866875 -0.000210646408162152 -0.00282620377679847 -0.00282565907509374 0.00911237758582893 0.00913358686787435 -0.000210918759014514 -0.0028259314259461 0.00912298222685164
"CP1" -6.71003997059585e-05 -6.69423874997763e-05 -0.00389783634267827 -0.00389767833047209 0.00501237689248964 0.00500538595089419 -6.70213936028674e-05 -0.00389775733657518 0.00500888142169191
"P1" 0.000110146584537248 0.000109786176967811 -0.00445297124152005 -0.00445333164908949 -0.00515499781395896 -0.00512302379199274 0.000109966380752529 -0.00445315144530477 -0.00513901080297585
"P3" -7.2512795951181e-05 -7.22598560882636e-05 -0.00377741398767068 -0.00377716104780777 0.0103484884139172 0.0101456797398619 -7.23863260197223e-05 -0.00377728751773922 0.0102470840768896
"P5" 1.12183331200113e-06 1.18316780604408e-06 -0.0036217107188863 -0.00362164938439226 -2.54314212556847e-05 -1.56350565868018e-05 1.15250055902261e-06 -0.00362168005163928 -2.05332389212432e-05
"P7" -9.82611458109436e-05 -9.78459679612131e-05 -0.00251305633005399 -0.00251264115220426 0.00549330306477715 0.00545706640916339 -9.80535568860783e-05 -0.00251284874112912 0.00547518473697027
"P9" 0.000912315949796523 0.000907827335735603 -0.00414412508177673 -0.00414861369583765 -0.088061007314483 -0.087137205597118 0.000910071642766063 -0.00414636938880719 -0.0875991064558005
"PO7" 0.000174385550653178 0.000173698067493719 -0.00311031807395349 -0.00311100555711295 -0.0119742283681981 -0.0117543473525391 0.000174041809073448 -0.00311066181553322 -0.0118642878603686
"PO3" 0.000435097041935352 0.000433205944238967 -0.0046522161683107 -0.00465410726600709 -0.0359394757526405 -0.0354085297158508 0.00043415149308716 -0.00465316171715889 -0.0356740027342456
"O1" 0.000113288772184634 0.000112831407056621 -0.00436316649455235 -0.00436362385968036 -0.00867323410915005 -0.00867530198976219 0.000113060089620627 -0.00436339517711636 -0.00867426804945612
"Iz" 0.000182171455487423 0.000181700011919766 -0.00277254455630619 -0.00277301599987385 -0.00493024890037582 -0.00476714676168987 0.000181935733703594 -0.00277278027809002 -0.00484869783103284
"Oz" 0.000700777403789126 0.000697698514402133 -0.00431168386477807 -0.00431476275416507 -0.0534345678226305 -0.0526388681196413 0.00069923795909563 -0.00431322330947157 -0.0530367179711359
"POz" -3.35254162832815e-05 -3.33547392617189e-05 -0.00304358507463594 -0.00304341439761438 -8.8212128536095e-05 0.000122610084283811 -3.34400777725002e-05 -0.00304349973612516 1.71989778738582e-05
"Pz" -0.000310882964432255 -0.000309686380524927 -0.0035432776879289 -0.00354208110402157 0.0180775577991841 0.0178959163301577 -0.000310284672478591 -0.00354267939597524 0.0179867370646709
"CPz" -0.000235334303581872 -0.000234012286155752 -0.00424968190152511 -0.004248359884099 0.0129060674998038 0.012791171945657 -0.000234673294868812 -0.00424902089281206 0.0128486197227304
"Fpz" -0.000182465163248298 -0.000181827350537869 -0.00211038209661455 -0.00210974428390412 0.0128440359053675 0.0126423588580301 -0.000182146256893083 -0.00211006319025934 0.0127431973816988
"Fp2" -9.12150676062291e-06 -9.05127964842801e-06 -0.00240439664248839 -0.00240432641537619 0.00171886536687794 0.00171022373822025 -9.08639320452546e-06 -0.00240436152893229 0.00171454455254909
"AF8" -0.000389337003939794 -0.000388370027779186 -0.00405468119461787 -0.00405371421845726 0.0281316001946653 0.0276985687034435 -0.00038885351585949 -0.00405419770653757 0.0279150844490544
"AF4" -0.000254170486761819 -0.000253874805363821 -0.00363405868453715 -0.00363376300313915 0.00417880976912042 0.0042595917895258 -0.00025402264606282 -0.00363391084383815 0.00421920077932311
"AFz" 6.28755708663015e-05 6.26760476017376e-05 -0.00336125508751548 -0.00336145461078004 -0.000179927376763486 -9.89726474050945e-05 6.27758092340196e-05 -0.00336135484914776 -0.00013945001208429
"Fz" -0.000140466487759237 -0.000140364564842866 -0.00316622954857439 -0.00316612762565801 0.00501267581506266 0.00511682101835939 -0.000140415526301052 -0.0031661785871162 0.00506474841671103
"F2" -0.000142176341355224 -0.000141684527073223 -0.00302686696687771 -0.00302637515259571 0.0148063522309682 0.0148793589603075 -0.000141930434214224 -0.00302662105973671 0.0148428555956378
"F4" -0.000234747921679924 -0.000233751913246711 -0.00345680617695826 -0.00345581016852505 0.0165732519587637 0.0164172991564418 -0.000234249917463318 -0.00345630817274165 0.0164952755576028
"F6" 7.0558171975734e-05 7.04585894128452e-05 -0.00401310607084805 -0.00401320565341094 0.00193807384097473 0.0022149412085168 7.05083806942896e-05 -0.00401315586212949 0.00207650752474577
"F8" -6.39755376463214e-05 -6.38022237172123e-05 -0.00372737448091187 -0.00372720116698277 3.86542528351428e-05 4.77532396958476e-05 -6.38888806817668e-05 -0.00372728782394732 4.32037462654952e-05
"FT8" 0.000339661936727541 0.000338964358509784 -0.00448605554899739 -0.00448675312721515 -0.0305152498166129 -0.0294951928710845 0.000339313147618662 -0.00448640433810627 -0.0300052213438487
"FC6" 0.000101924424551377 0.000101684750033139 -0.00470076905966954 -0.00470100873418778 -0.00395268692109818 -0.00395223812396105 0.000101804587292258 -0.00470088889692866 -0.00395246252252961
"FC4" 9.61119190784536e-07 1.0630029932911e-06 -0.00400381862471607 -0.00400371674091356 0.00284337967654976 0.00296634718025597 1.01206109203782e-06 -0.00400376768281481 0.00290486342840287
"FC2" -0.000451661414120701 -0.000450106063651807 -0.0035693686809374 -0.00356781333046851 0.0372463592830742 0.0366895805852711 -0.000450883738886254 -0.00356859100570295 0.0369679699341727
"FCz" -0.000162767746280676 -0.000162242951991047 -0.00343267556173187 -0.00343215076744224 0.00860059362361764 0.00839780051735672 -0.000162505349135862 -0.00343241316458706 0.00849919707048718
"Cz" -0.00056495260838926 -0.00056358051544676 -0.00225437009703337 -0.00225299800409087 0.0359833199660129 0.0356208869724371 -0.00056426656191801 -0.00225368405056212 0.035802103469225
"C2" -0.000394763482539297 -0.00039345081102078 -0.00349880938963473 -0.00349749671811621 0.029366095745673 0.0288347063556431 -0.000394107146780038 -0.00349815305387547 0.0291004010506581
"C4" -3.86149381520271e-06 -3.64684993660918e-06 -0.00341410882915135 -0.00341389418527275 -0.000175600450243652 -0.000167454953807613 -3.75417187590595e-06 -0.00341400150721205 -0.000171527702025633
"C6" 0.000232275279234846 0.000231227304539495 -0.00472688462757609 -0.00472793260227144 -0.0120079403729997 -0.0114223310148858 0.00023175129188717 -0.00472740861492377 -0.0117151356939427
"T8" -3.17455835557441e-06 -3.27828067521491e-06 -0.00290786364863919 -0.00290796737095883 -0.00140240400184242 -0.00142891042960915 -3.22641951539466e-06 -0.00290791550979901 -0.00141565721572578
"TP8" 2.14658952536293e-05 2.14409522446649e-05 -0.00298983717204515 -0.00298986211505412 -0.00140131619865635 -0.00141062070073853 2.14534237491471e-05 -0.00298984964354964 -0.00140596844969744
"CP6" 5.63324811593781e-05 5.60047668634133e-05 -0.00308030715124211 -0.00308063486553808 -0.00505639541154544 -0.00505406223480418 5.61686240113957e-05 -0.00308047100839009 -0.00505522882317481
