"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.00163177643472754 0.00069315393360029 -0.0112446488549672 -0.0121832713560945 -0.0783185139023205 -0.0332451901554836 0.00116246518416392 -0.0117139601055308 -0.0557818520289021
"AF7" -0.000158371348875839 -7.96565675532185e-05 -0.0108367203115424 -0.0107580055302198 0.00309846486477143 0.00112704644079739 -0.000119013958214529 -0.0107973629208811 0.00211275565278441
"AF3" -0.000277165319582899 -9.75970854493775e-05 -0.0111111363511164 -0.0109315681169829 0.00809225900007369 0.00218105606051172 -0.000187381202516138 -0.0110213522340496 0.00513665753029271
"F1" 0.000160121411581693 1.5962202429338e-05 -0.0115360324431957 -0.011680191652348 -0.00212508607252467 -0.000121562673196575 8.80418070055153e-05 -0.0116081120477719 -0.00112332437286062
"F3" -2.12125790799758e-05 -6.13553146646524e-05 -0.011318528302171 -0.0113586710377557 0.000629160892846499 0.00181059917970437 -4.12839468723141e-05 -0.0113385996699634 0.00121988003627544
"F5" 0.000232058584589846 -0.00099030957004805 -0.0104192997148858 -0.0116416678695237 -0.00492304448129942 0.0438756372085493 -0.000379125492729102 -0.0110304837922047 0.0194762963636249
"F7" -0.000265168631262817 0.000207397261599578 -0.0115199336213198 -0.0110473677284574 0.00749497255959265 -0.00505833995358456 -2.88856848316198e-05 -0.0112836506748886 0.00121831630300404
"FT7" 0.000191968653774919 0.000757350469340592 -0.0119682399231565 -0.0114028581075908 -0.00781112160068047 -0.03455060223118 0.000474659561557755 -0.0116855490153736 -0.0211808619159302
"FC5" 0.000127657064111112 -0.000291577654770099 -0.010883004897851 -0.0113022396167322 -0.00192270261591169 0.0084557111934819 -8.19602953294936e-05 -0.0110926222572916 0.00326650428878511
"FC3" 5.33371262827493e-05 0.000530224476232912 -0.0117745275773345 -0.0112976402273844 -0.000932508384122424 -0.0177500902279031 0.000291780801257831 -0.0115360839023595 -0.00934129930601276
"FC1" 0.00015913330563291 5.45468939324689e-05 -0.0113225923521475 -0.011427178763848 -0.00210043016376442 -0.000212018294755335 0.000106840099782689 -0.0113748855579977 -0.00115622422925988
"C1" 0.000178738528449361 0.000124743049024606 -0.0114874072067852 -0.0115414026862099 -0.00202899083634356 -0.0014998654496376 0.000151740788736984 -0.0115144049464976 -0.00176442814299058
"C3" -0.00025132179833305 -0.000337421225531018 -0.0109339312817961 -0.0110200307089941 0.00459178679301304 0.00963625360198255 -0.000294371511932034 -0.0109769809953951 0.00711402019749779
"C5" -0.000593646715825778 -0.000294596059089799 -0.0109722735912052 -0.0106732229344692 0.0232809318232552 0.0124573596858377 -0.000444121387457788 -0.0108227482628372 0.0178691457545464
"T7" 0.000742012779812955 -0.0022609574383574 -0.00927211526803572 -0.0122750854862061 -0.0386140874737714 0.127136953919143 -0.000759472329272223 -0.0107736003771209 0.0442614332226857
"TP7" -0.000578548054735776 -0.000362022501968321 -0.0110080422095487 -0.0107915166567812 0.0163592199057058 0.0105511132552804 -0.000470285278352049 -0.0108997794331649 0.0134551665804931
"CP5" -0.000911178553613878 -0.000792881067729333 -0.0105061981582515 -0.0103879006723669 0.0373973662786486 0.0387200648981119 -0.000852029810671605 -0.0104470494153092 0.0380587155883803
"CP3" 0.000199395351296095 0.000394284938725381 -0.0118412375408933 -0.011646347953464 -0.00299958357849672 -0.0111305798260507 0.000296840145010738 -0.0117437927471787 -0.00706508170227373
"CP1" 0.000113847232832852 0.000225652601824218 -0.0118954983906193 -0.0117836930216279 -0.00159730850655512 -0.00462307643166162 0.000169749917328535 -0.0118395957061236 -0.00311019246910837
"P1" -0.000210016166423307 -0.000134183503908364 -0.012203128786328 -0.0121272961238131 0.00674190782008845 0.00404917746660788 -0.000172099835165836 -0.0121652124550705 0.00539554264334816
"P3" -0.000439045243896642 -0.000357865821645544 -0.0108508453466359 -0.0107696659243848 0.0202650166660062 0.0193448877403135 -0.000398455532771093 -0.0108102556355104 0.0198049522031599
"P5" -0.000419184842923042 -0.000653928582016322 -0.0108971379942099 -0.0111318817333032 0.0135578231299866 0.0367139574497451 -0.000536556712469682 -0.0110145098637565 0.0251358902898659
