"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.726 0.956 0.61 0.608 0.866 0.972 0.816 0.61 0.908
"AF7" 0.104 0.086 0.73 0.716 0.718 0.716 0.034 0.728 0.7
"AF3" 0.544 0.724 0.664 0.67 0.82 0.86 0.546 0.662 0.806
"F1" 0.088 0.36 0.656 0.672 0.652 0.74 0.09 0.662 0.654
"F3" 0.478 0.648 0.706 0.712 0.798 0.892 0.436 0.706 0.784
"F5" 0.428 0.36 0.61 0.606 0.76 0.744 0.348 0.606 0.744
"F7" 0.78 0.78 0.652 0.652 0.892 0.9 0.772 0.652 0.896
"FT7" 0.524 0.78 0.648 0.63 0.9 0.948 0.524 0.638 0.88
"FC5" 0.758 0.466 0.638 0.656 0.912 0.792 0.47 0.646 0.8
"FC3" 0.422 0.28 0.676 0.652 0.754 0.732 0.262 0.662 0.714
"FC1" 0.426 0.42 0.678 0.68 0.792 0.79 0.418 0.676 0.792
"C1" 0.03 0.322 0.68 0.712 0.664 0.76 0.026 0.694 0.66
"C3" 0.142 0.25 0.642 0.642 0.638 0.69 0.088 0.65 0.632
"C5" 0.238 0.394 0.706 0.696 0.798 0.814 0.158 0.702 0.754
"T7" 0.676 0.426 0.698 0.688 0.864 0.774 0.396 0.7 0.812
"TP7" 0.232 0.14 0.622 0.59 0.692 0.652 0.694 0.604 0.834
"CP5" 0.474 0.764 0.65 0.636 0.824 0.962 0.704 0.648 0.894
"CP3" 0.106 0.666 0.67 0.682 0.738 0.93 0.134 0.672 0.734
"CP1" 0.308 0.08 0.644 0.548 0.708 0.584 0.488 0.596 0.736
"P1" 0.788 0.418 0.64 0.644 0.964 0.806 0.42 0.642 0.828
"P3" 0.694 0.71 0.568 0.562 0.85 0.87 0.682 0.564 0.854
"P5" 0.76 0.958 0.628 0.624 0.896 0.99 0.88 0.626 0.932
"P7" 0.51 0.144 0.658 0.608 0.818 0.664 0.534 0.634 0.802
"P9" 0.106 0.004 0.52 0.586 0.654 0.632 0 0.554 0.632
"PO7" 0.406 0.4 0.612 0.624 0.784 0.758 0.342 0.618 0.732
"PO3" 0.042 0.154 0.602 0.59 0.648 0.692 0.018 0.594 0.64
"O1" 0.85 0.726 0.612 0.612 0.95 0.846 0.732 0.61 0.852
"Iz" 0.832 0.206 0.652 0.67 0.978 0.752 0.244 0.664 0.762
"Oz" 0.032 0.01 0.568 0.576 0.664 0.638 0 0.574 0.636
"POz" 0.814 0.806 0.644 0.642 0.936 0.916 0.796 0.64 0.922
"Pz" 0.174 0.264 0.636 0.628 0.662 0.72 0.072 0.632 0.612
"CPz" 0.946 0.094 0.638 0.582 0.978 0.626 0.114 0.61 0.638
"Fpz" 0.286 0.804 0.658 0.692 0.792 0.922 0.604 0.676 0.898
"Fp2" 0.382 0.39 0.65 0.686 0.802 0.802 0.98 0.662 0.984
"AF8" 0.17 0.208 0.67 0.684 0.69 0.696 0.17 0.676 0.69
"AF4" 0.402 0.41 0.634 0.638 0.764 0.76 0.402 0.636 0.764
"AFz" 0.638 0.788 0.618 0.606 0.84 0.882 0.644 0.608 0.83
"Fz" 0.524 0.548 0.632 0.63 0.77 0.802 0.504 0.632 0.77
"F2" 0.398 0.622 0.614 0.622 0.772 0.86 0.402 0.618 0.768
"F4" 0.238 0.302 0.654 0.646 0.716 0.728 0.202 0.65 0.692
"F6" 0.79 0.788 0.626 0.63 0.958 0.96 0.788 0.63 0.96
"F8" 0.96 0.966 0.638 0.642 0.952 0.954 0.964 0.638 0.952
"FT8" 0.244 0.274 0.626 0.606 0.758 0.764 0.244 0.62 0.758
"FC6" 0.578 0.432 0.634 0.636 0.87 0.836 0.404 0.636 0.832
"FC4" 0.946 0.986 0.65 0.646 0.938 0.99 0.964 0.65 0.94
"FC2" 0.078 0.052 0.732 0.72 0.718 0.704 0.014 0.72 0.682
"FCz" 0.944 0.218 0.706 0.676 0.97 0.712 0.334 0.688 0.764
"Cz" 0.118 0.038 0.694 0.68 0.662 0.642 0.006 0.686 0.634
"C2" 0.594 0.044 0.688 0.634 0.77 0.632 0.058 0.658 0.638
"C4" 0.668 0.928 0.662 0.676 0.898 0.918 0.774 0.666 0.984
"C6" 0.114 0.262 0.556 0.544 0.632 0.676 0.112 0.554 0.626
"T8" 0.984 0.872 0.628 0.628 0.964 0.924 0.936 0.628 0.968
"TP8" 0.874 0.944 0.67 0.668 0.976 0.978 0.874 0.67 1
"CP6" 0.636 0.964 0.676 0.654 0.898 0.926 0.726 0.664 0.916
"CP4" 0.576 0.548 0.632 0.63 0.896 0.888 0.526 0.634 0.874
"CP2" 0.83 0.554 0.638 0.622 0.942 0.798 0.756 0.632 0.868
"P2" 0.678 0.07 0.64 0.606 0.874 0.614 0.09 0.62 0.622
"P4" 0.096 0.468 0.656 0.624 0.738 0.834 0.096 0.634 0.73
"P6" 0.108 0.002 0.526 0.58 0.692 0.654 0.004 0.552 0.652
"P8" 0.062 0.096 0.62 0.598 0.7 0.706 0.02 0.612 0.682
"P10" 0.034 0.02 0.546 0.554 0.658 0.628 0 0.554 0.632
"PO8" 0.166 0.952 0.668 0.596 0.704 0.966 0.306 0.636 0.736
"PO4" 0 0 0.444 0.46 0.604 0.604 0 0.458 0.604
"O2" 0.298 0 0.53 0.63 0.798 0.692 0.002 0.576 0.69
