"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.81 0.81 0.624 0.624 0.924 0.924 0.81 0.624 0.924
"AF7" 0.034 0.034 0.668 0.668 0.628 0.628 0.034 0.668 0.628
"AF3" 0.548 0.548 0.682 0.682 0.828 0.828 0.548 0.682 0.828
"F1" 0.068 0.068 0.65 0.65 0.658 0.658 0.068 0.65 0.658
"F3" 0.44 0.44 0.596 0.596 0.794 0.794 0.44 0.596 0.794
"F5" 0.394 0.394 0.698 0.698 0.804 0.804 0.394 0.698 0.804
"F7" 0.746 0.746 0.632 0.632 0.92 0.92 0.746 0.632 0.92
"FT7" 0.474 0.474 0.618 0.618 0.774 0.774 0.474 0.618 0.774
"FC5" 0.466 0.466 0.562 0.562 0.74 0.74 0.466 0.562 0.74
"FC3" 0.242 0.242 0.628 0.628 0.726 0.726 0.242 0.628 0.726
"FC1" 0.422 0.422 0.7 0.7 0.786 0.786 0.422 0.7 0.786
"C1" 0.024 0.024 0.676 0.676 0.64 0.64 0.024 0.676 0.64
"C3" 0.084 0.084 0.744 0.744 0.748 0.748 0.084 0.744 0.748
"C5" 0.174 0.174 0.586 0.586 0.69 0.69 0.174 0.586 0.69
"T7" 0.38 0.38 0.674 0.674 0.83 0.83 0.38 0.674 0.83
"TP7" 0.684 0.684 0.624 0.624 0.902 0.902 0.684 0.624 0.902
"CP5" 0.828 0.828 0.658 0.658 0.922 0.922 0.828 0.658 0.922
"CP3" 0.174 0.174 0.6 0.6 0.652 0.652 0.174 0.6 0.652
"CP1" 0.636 0.636 0.694 0.694 0.886 0.886 0.636 0.694 0.886
"P1" 0.472 0.472 0.594 0.594 0.78 0.78 0.472 0.594 0.78
"P3" 0.748 0.748 0.662 0.662 0.914 0.914 0.748 0.662 0.914
"P5" 0.842 0.842 0.646 0.646 0.964 0.964 0.842 0.646 0.964
"P7" 0.494 0.494 0.7 0.7 0.862 0.862 0.494 0.7 0.862
"P9" 0.002 0.002 0.556 0.556 0.642 0.642 0.002 0.556 0.642
"PO7" 0.292 0.292 0.696 0.696 0.826 0.826 0.292 0.696 0.826
"PO3" 0.02 0.02 0.594 0.594 0.634 0.634 0.02 0.594 0.634
"O1" 0.768 0.768 0.642 0.642 0.916 0.916 0.768 0.642 0.916
"Iz" 0.296 0.296 0.656 0.656 0.77 0.77 0.296 0.656 0.77
"Oz" 0.002 0.002 0.546 0.546 0.596 0.596 0.002 0.546 0.596
"POz" 0.846 0.846 0.764 0.764 0.918 0.918 0.846 0.764 0.918
"Pz" 0.076 0.076 0.662 0.662 0.668 0.668 0.076 0.662 0.668
"CPz" 0.11 0.11 0.66 0.66 0.674 0.674 0.11 0.66 0.674
"Fpz" 0.502 0.502 0.652 0.652 0.784 0.784 0.502 0.652 0.784
"Fp2" 0.914 0.914 0.682 0.682 0.914 0.914 0.914 0.682 0.914
"AF8" 0.184 0.184 0.732 0.732 0.77 0.77 0.184 0.732 0.77
"AF4" 0.452 0.452 0.672 0.672 0.782 0.782 0.452 0.672 0.782
"AFz" 0.614 0.614 0.654 0.654 0.838 0.838 0.614 0.654 0.838
"Fz" 0.478 0.478 0.662 0.662 0.804 0.804 0.478 0.662 0.804
"F2" 0.466 0.466 0.716 0.716 0.828 0.828 0.466 0.716 0.828
"F4" 0.204 0.204 0.69 0.69 0.722 0.722 0.204 0.69 0.722
"F6" 0.738 0.738 0.656 0.656 0.968 0.968 0.738 0.656 0.968
"F8" 0.946 0.946 0.656 0.656 0.934 0.934 0.946 0.656 0.934
"FT8" 0.188 0.188 0.602 0.602 0.742 0.742 0.188 0.602 0.742
"FC6" 0.436 0.436 0.638 0.638 0.79 0.79 0.436 0.638 0.79
"FC4" 0.972 0.972 0.638 0.638 0.994 0.994 0.972 0.638 0.994
"FC2" 0.028 0.028 0.708 0.708 0.692 0.692 0.028 0.708 0.692
"FCz" 0.388 0.388 0.658 0.658 0.764 0.764 0.388 0.658 0.764
"Cz" 0.014 0.014 0.718 0.718 0.674 0.674 0.014 0.718 0.674
"C2" 0.06 0.06 0.62 0.62 0.612 0.612 0.06 0.62 0.612
"C4" 0.748 0.748 0.646 0.646 0.95 0.95 0.748 0.646 0.95
"C6" 0.14 0.14 0.628 0.628 0.712 0.712 0.14 0.628 0.712
"T8" 0.906 0.906 0.64 0.64 0.912 0.912 0.906 0.64 0.912
"TP8" 0.918 0.918 0.73 0.73 0.998 0.998 0.918 0.73 0.998
"CP6" 0.734 0.734 0.644 0.644 0.918 0.918 0.734 0.644 0.918
"CP4" 0.532 0.532 0.58 0.58 0.82 0.82 0.532 0.58 0.82
"CP2" 0.74 0.74 0.568 0.568 0.904 0.904 0.74 0.568 0.904
"P2" 0.084 0.084 0.702 0.702 0.724 0.724 0.084 0.702 0.724
"P4" 0.068 0.068 0.638 0.638 0.68 0.68 0.068 0.638 0.68
"P6" 0.004 0.004 0.51 0.51 0.612 0.612 0.004 0.51 0.612
"P8" 0.018 0.018 0.578 0.578 0.642 0.642 0.018 0.578 0.642
"P10" 0 0 0.654 0.654 0.716 0.716 0 0.654 0.716
"PO8" 0.308 0.308 0.62 0.62 0.766 0.766 0.308 0.62 0.766
"PO4" 0 0 0.472 0.472 0.61 0.61 0 0.472 0.61
"O2" 0.002 0.002 0.572 0.572 0.68 0.68 0.002 0.572 0.68
