"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.5738 0.6894 0.3132 0.284 0.7274 0.8006 0.5052 0.2942 0.6876
"AF7" 0.8614 0.9036 0.3168 0.3166 0.8858 0.9232 0.8442 0.318 0.8786
"AF3" 0.8228 0.8882 0.296 0.3062 0.8504 0.8934 0.8058 0.2986 0.8286
"F1" 0.8988 0.97 0.2896 0.2816 0.9402 0.9874 0.9136 0.2832 0.9582
"F3" 0.982 0.95 0.3014 0.301 0.969 0.9354 0.9532 0.3024 0.9358
"F5" 0.8618 0.29 0.3452 0.2946 0.9 0.4954 0.6358 0.3178 0.7412
"F7" 0.8686 0.8116 0.2858 0.307 0.8962 0.8752 0.9736 0.2942 0.9792
"FT7" 0.9252 0.5334 0.2718 0.3008 0.9428 0.6718 0.6924 0.282 0.782
"FC5" 0.888 0.7318 0.3276 0.3096 0.923 0.8116 0.9048 0.3192 0.9262
"FC3" 0.974 0.5388 0.2812 0.305 0.9788 0.6896 0.7274 0.291 0.8142
"FC1" 0.8834 0.9416 0.2952 0.2928 0.938 0.9806 0.877 0.2948 0.938
"C1" 0.8632 0.8516 0.2936 0.295 0.9206 0.919 0.8204 0.295 0.8982
"C3" 0.8308 0.658 0.3114 0.309 0.8844 0.74 0.6872 0.31 0.7788
"C5" 0.7294 0.8028 0.31 0.3364 0.8218 0.8568 0.6716 0.3152 0.7784
"T7" 0.8128 0.203 0.393 0.2834 0.8606 0.4232 0.6772 0.3238 0.7798
"TP7" 0.6436 0.666 0.3128 0.3206 0.7564 0.7596 0.5532 0.315 0.6956
"CP5" 0.5152 0.4438 0.324 0.329 0.63 0.5706 0.441 0.326 0.5662
"CP3" 0.858 0.6196 0.2748 0.28 0.9138 0.7254 0.681 0.2736 0.7844
"CP1" 0.9024 0.758 0.2666 0.2716 0.9354 0.8218 0.8038 0.2682 0.8656
"P1" 0.8572 0.8572 0.261 0.2646 0.8682 0.8694 0.845 0.2636 0.8568
"P3" 0.7922 0.7814 0.312 0.3142 0.8098 0.7994 0.7824 0.3138 0.8
"P5" 0.732 0.6444 0.3068 0.2962 0.768 0.7052 0.65 0.3022 0.7096
"P7" 0.922 0.472 0.322 0.2838 0.9322 0.599 0.5482 0.3028 0.6504
"P9" 0.57 0.0114 0.5924 0.485 0.7138 0.3428 0.1206 0.5294 0.42
"PO7" 0.8452 0.7808 0.3458 0.3436 0.8718 0.8218 0.7856 0.344 0.8254
"PO3" 0.6292 0.3754 0.364 0.3314 0.7252 0.5418 0.406 0.3458 0.5608
"O1" 0.5706 0.3798 0.3242 0.3292 0.739 0.6122 0.3678 0.326 0.613
"Oz" 0.9706 0.7718 0.3342 0.327 0.9816 0.8444 0.8388 0.3304 0.8902
"POz" 0.5134 0.9384 0.2952 0.2702 0.6682 0.9584 0.5746 0.2826 0.7078
"Pz" 0.6116 0.5228 0.2638 0.2642 0.7392 0.6712 0.5126 0.2626 0.6666
"CPz" 0.9744 0.7648 0.288 0.282 0.9836 0.8212 0.8916 0.2838 0.916
"Fpz" 0.9046 0.6286 0.4162 0.3252 0.9392 0.744 0.8614 0.3488 0.9068
"Fp2" 0.8954 0.7482 0.301 0.2968 0.9224 0.8176 0.796 0.2988 0.8542
"AF8" 0.945 0.7664 0.2812 0.291 0.9692 0.8438 0.8136 0.2852 0.8814
"AF4" 0.6996 0.3552 0.2318 0.2646 0.7854 0.5298 0.4056 0.2402 0.575
"AFz" 0.8654 0.7016 0.2814 0.303 0.8908 0.8038 0.9506 0.2902 0.9764
"Fz" 0.7786 0.3972 0.3408 0.3276 0.8296 0.5702 0.5052 0.3316 0.6382
"F2" 0.7336 0.7266 0.2774 0.2722 0.821 0.8068 0.673 0.2742 0.7812
"F4" 0.9882 0.9766 0.2748 0.2752 0.9862 0.9898 0.994 0.274 0.9772
"F6" 0.7422 0.9448 0.291 0.3062 0.8122 0.9624 0.7678 0.301 0.827
"F8" 0.7212 0.578 0.3066 0.3068 0.7964 0.6888 0.5722 0.3066 0.6842
"FT8" 0.754 0.6688 0.2754 0.3042 0.8178 0.7662 0.974 0.2882 0.9978
"FC6" 0.5886 0.9916 0.3024 0.3448 0.7006 0.992 0.6218 0.3238 0.7226
"FC4" 0.6178 0.9812 0.2982 0.2692 0.7398 0.992 0.6868 0.2816 0.7928
"FC2" 0.9092 0.313 0.1132 0.172 0.9288 0.4166 0.6228 0.133 0.6736
