"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000135802739717081 1.62800071019502e-05 0.0110755860998282 0.0109560633672131 0.00955043317327353 0.000441543701365194 7.60413734095158e-05 0.0110158247335206 0.00499598843731936
"AF7" 0.000355492158305964 9.27903731929816e-05 0.011155091383588 0.0108923895984751 0.0296475378372704 0.00639826686410577 0.000224141265749473 0.0110237404910316 0.0180229023506881
"AF3" 0.000177111512852485 -0.000102221140985454 0.0110454554452754 0.0107661227914375 0.0144735280724778 -0.00737442057445211 3.74451859335156e-05 0.0109057891183565 0.00354955374901282
"F1" 4.51425530452221e-05 -0.000200593752110958 0.0113919403174384 0.0111462040122822 0.00313927218981552 -0.0167061084043157 -7.77255995328679e-05 0.0112690721648603 -0.00678341810725007
"F3" 0.000193391446132687 -0.000221306250717877 0.0112712405894252 0.0108565428925746 0.015615850887132 -0.0176328316454087 -1.39574022925949e-05 0.0110638917409999 -0.00100849037913836
"F5" 0.000104464500660986 -0.000434016553255716 0.0113702400790813 0.0108317590251646 0.00757973774395926 -0.0370915349322532 -0.000164776026297365 0.0111009995521229 -0.014755898594147
"F7" 3.98156475053e-05 1.60511099055214e-05 0.0109546237553508 0.010930859217751 0.00176080372911224 0.000402091427409074 2.79333787054107e-05 0.0109427414865509 0.00108144757826066
"FT7" 2.7514358145262e-05 3.45934189825456e-05 0.0109453525598191 0.0109524316206564 0.00134763593806059 0.00189770338221847 3.10538885639038e-05 0.0109488920902377 0.00162266966013953
"FC5" 2.11511159297121e-05 -5.98740359480362e-05 0.0113557925132432 0.0112747673613655 0.000694894582091378 -0.00340582312130827 -1.93614600091621e-05 0.0113152799373044 -0.00135546426960845
"FC3" 2.13998809974917e-05 -0.000184760363799625 0.0111122951232518 0.0109061348784547 0.00132741911366465 -0.014926792352656 -8.16802414010669e-05 0.0110092150008533 -0.00679968661949568
"FC1" 9.37547834739267e-08 -0.000233117853497236 0.0113809379666607 0.0111477263583799 0.000106038697971072 -0.0189591016787793 -0.000116512049356881 0.0112643321625203 -0.00942653149040412
"C1" -4.71952997191899e-05 -6.56280034623972e-05 0.0110054355039573 0.0109870028002141 -0.00352627210141567 -0.0057050768265041 -5.64116515907936e-05 0.0109962191520857 -0.00461567446395989
"C3" 4.85636517821448e-05 -1.75905422665872e-05 0.011105485590463 0.0110393313964143 0.00387859052992898 -0.00103250791540513 1.54865547577788e-05 0.0110724084934386 0.00142304130726192
"C5" 1.03084624855348e-05 -4.18041750603884e-05 0.0111090618610763 0.0110569492235304 0.000284862803785487 -0.00240962912702304 -1.57478562874268e-05 0.0110830055423034 -0.00106238316161878
"T7" -0.000283739322964816 -0.000402459560727796 0.011269952460964 0.011151232223201 -0.0236418861474633 -0.0356312174504266 -0.000343099441846306 0.0112105923420825 -0.029636551798945
"TP7" -4.41487863941593e-06 -7.5234018732145e-05 0.0110167327023411 0.0109459135622484 1.20128754578991e-05 -0.00592191685340437 -3.98244486857805e-05 0.0109813231322947 -0.00295495198897324
"CP5" 6.36015531469642e-07 1.89191750460164e-06 0.0110283575185864 0.0110296134205596 3.50484164683053e-05 2.12013444365379e-05 1.26396651803564e-06 0.011028985469573 2.81248804524216e-05
"CP3" -7.19479695904946e-06 2.09290420295601e-05 0.0110425698062153 0.0110706936452039 -0.000482966314162381 0.00138475113069683 6.8671225352553e-06 0.0110566317257096 0.000450892408267227
"CP1" 0.000106384528256487 0.000489191661676072 0.0106351479905566 0.0110179551239762 0.0109216931471374 0.043456049034 0.00029778809496628 0.0108265515572664 0.0271888710905687
"P1" -3.74328446625216e-05 2.96791449099929e-05 0.0110245018440875 0.01109161383366 -0.00208400804139871 0.00127628305133648 -3.87684987626436e-06 0.0110580578388737 -0.000403862495031116
"P3" -0.000126023102342352 9.65874950464519e-05 0.0110787455497332 0.011301356147122 -0.00924858844421902 0.00646850089482134 -1.47178036479501e-05 0.0111900508484276 -0.00139004377469884
"P5" -9.89246805788548e-05 6.66463648804856e-05 0.0110007211786623 0.0111662922241217 -0.00691794880171371 0.00372675430921339 -1.61391578491846e-05 0.011083506701392 -0.00159559724625016
"P7" -1.45021419206038e-06 2.23162247891982e-06 0.0110393398865026 0.0110430217231736 -2.54822671711868e-05 -5.35577096509353e-06 3.9070414342972e-07 0.0110411808048381 -1.54190190681402e-05
"P9" -2.68827103383211e-05 0.000328579499238352 0.0105999429899532 0.0109554051995299 -0.0014961887281174 0.0290637511528112 0.000150848394450015 0.0107776740947415 0.0137837812123469
"PO7" -3.16655227053732e-05 -1.8635148094748e-05 0.0109672161682303 0.0109802465428409 -0.00128898484351758 -0.000522081147179202 -2.51503354000606e-05 0.0109737313555356 -0.000905532995348393
"PO3" -2.34214125814934e-05 -5.90374512580923e-06 0.0109666970924925 0.0109842147599482 -0.00126495499492442 -0.000244440348036629 -1.46625788536513e-05 0.0109754559262203 -0.000754697671480527
"O1" -0.000159469029289876 -0.000179036078589664 0.0111694621590889 0.0111498951097891 -0.0128060955426139 -0.013901191486028 -0.00016925255393977 0.011159678634439 -0.013353643514321
"Iz" 1.61787742730377e-05 -6.58105148536444e-05 0.0112457413704376 0.0111637520813109 0.000249290728317428 -0.00342134530601891 -2.48158702903033e-05 0.0112047467258743 -0.00158602728885074
