"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 7.64513607021862e-05 7.64513607021862e-05 0.0109474128639357 0.0109474128639357 0.00540126609120755 0.00540126609120754 7.64513607021862e-05 0.0109474128639357 0.00540126609120754
"AF7" 0.0002465172754426 0.0002465172754426 0.0105247918897002 0.0105247918897002 0.0215910052744085 0.0215910052744085 0.0002465172754426 0.0105247918897002 0.0215910052744085
"AF3" 4.31016314255633e-05 4.31016314255632e-05 0.0109636652144921 0.0109636652144921 0.00278787045019043 0.00278787045019043 4.31016314255633e-05 0.0109636652144921 0.00278787045019043
"F1" -7.28538399944819e-05 -7.28538399944819e-05 0.0111299953793335 0.0111299953793335 -0.00562308846647895 -0.00562308846647895 -7.28538399944819e-05 0.0111299953793335 -0.00562308846647895
"F3" 1.2859519562507e-06 1.28595195625071e-06 0.0111270251366328 0.0111270251366328 9.74477295681563e-06 9.74477295682885e-06 1.28595195625071e-06 0.0111270251366328 9.74477295682224e-06
"F5" -0.000137827104872684 -0.000137827104872684 0.0109736052006489 0.0109736052006489 -0.0117102311460762 -0.0117102311460761 -0.000137827104872684 0.0109736052006489 -0.0117102311460762
"F7" 2.68005934003831e-05 2.68005934003831e-05 0.011137368546496 0.011137368546496 0.00128951351910697 0.00128951351910692 2.68005934003831e-05 0.011137368546496 0.00128951351910694
"FT7" 3.09999396784044e-05 3.09999396784044e-05 0.0109459324647052 0.0109459324647052 0.00197676596541444 0.00197676596541444 3.09999396784044e-05 0.0109459324647052 0.00197676596541444
"FC5" -2.23383218701299e-05 -2.23383218701299e-05 0.011040580924757 0.011040580924757 -0.000981538473019478 -0.000981538473019507 -2.23383218701299e-05 0.011040580924757 -0.000981538473019493
"FC3" -6.63599259067155e-05 -6.63599259067155e-05 0.011096397463986 0.011096397463986 -0.00510571475724174 -0.00510571475724174 -6.63599259067155e-05 0.011096397463986 -0.00510571475724174
"FC1" -0.000104569917301589 -0.000104569917301589 0.0109311035502693 0.0109311035502693 -0.00855823857828732 -0.00855823857828723 -0.000104569917301589 0.0109311035502693 -0.00855823857828727
"C1" -5.51008691991137e-05 -5.51008691991136e-05 0.0109049920447929 0.0109049920447929 -0.0045135757458796 -0.00451357574587964 -5.51008691991137e-05 0.0109049920447929 -0.00451357574587962
"C3" 9.21293933370743e-06 9.21293933370745e-06 0.0108962725909574 0.0108962725909574 0.00049103960341887 0.000491039603418851 9.21293933370744e-06 0.0108962725909574 0.00049103960341886
"C5" -1.42560965758401e-05 -1.42560965758401e-05 0.0111199099192486 0.0111199099192486 -0.000481246772507864 -0.000481246772507902 -1.42560965758401e-05 0.0111199099192486 -0.000481246772507883
"T7" -0.000357498054373173 -0.000357498054373173 0.0113002551232371 0.0113002551232371 -0.0317922813058565 -0.0317922813058564 -0.000357498054373173 0.0113002551232371 -0.0317922813058564
"TP7" -4.00723754597688e-05 -4.00723754597688e-05 0.0110105893278271 0.0110105893278271 -0.00294728121291039 -0.00294728121291039 -4.00723754597688e-05 0.0110105893278271 -0.00294728121291039
"CP5" 2.71976131281055e-08 2.7197613128094e-08 0.0108532377349434 0.0108532377349434 4.18750542440193e-05 4.18750542440262e-05 2.71976131280997e-08 0.0108532377349434 4.18750542440227e-05
