"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000458432925670598 0.00222202217644918 0.0131274289390873 0.0148910181898659 0.0286553161439771 0.138019183654172 0.00134022755105989 0.0140092235644766 0.0833372498990744
"AF7" 0.000467568401485541 0.00157036620025332 0.0136297971554176 0.0147325949541853 0.0284542987634143 0.0968838096733316 0.00101896730086943 0.0141811960548015 0.0626690542183729
"AF3" 0.00139719407133697 0.00156955812228603 0.0136820375657219 0.013854401616671 0.0868644301884463 0.0953611162262945 0.0014833760968115 0.0137682195911965 0.0911127732073704
"F1" -0.000417664883713387 0.000246300868870425 0.0148763084739524 0.0155402742265362 -0.0229952610929499 0.0135907218969577 -8.56820074214807e-05 0.0152082913502443 -0.00470226959799612
"F3" -0.000595932635922665 0.000556936886783698 0.0146464934723794 0.0157993629950857 -0.0344626212382764 0.031069212001516 -1.94978745694835e-05 0.0152229282337326 -0.00169670461838022
"F5" -0.000262801841837635 -0.000846775346281478 0.0161093779093649 0.0155254044049211 -0.00985812992203144 -0.0460206403642537 -0.000554788594059557 0.015817391157143 -0.0279393851431426
"F7" -0.000244038004573217 5.44027944651886e-05 0.0150667966518217 0.0153652374508601 -0.00910264613592222 0.00104202746236153 -9.48176050540141e-05 0.0152160170513409 -0.00403030933678035
"FT7" -8.25596049874236e-05 4.56703660652994e-05 0.0150331746627712 0.0151614046338239 -0.00253621327578743 0.00155217443199832 -1.84446194610621e-05 0.0150972896482976 -0.000492019421894555
"FC5" 0.00028568563427622 0.000175266591187307 0.0150175004169511 0.0149070813738622 0.0112578975465348 0.00558863580249677 0.000230476112731763 0.0149622908954067 0.0084232666745158
"FC3" 4.7981977943779e-05 -9.94306092559785e-06 0.0149973647997906 0.0149394397609212 0.00109340523591924 -0.00011336656489411 1.90194585090906e-05 0.0149684022803559 0.000490019335512566
"FC1" 0.000472253728525873 -0.000257818479641812 0.0153910020394125 0.0146609298312448 0.0274098904447956 -0.0151061816846651 0.00010721762444203 0.0150259659353287 0.00615185438006527
"C1" 0.00149846050346117 -0.00127746220050281 0.0168565841338943 0.0140806614299303 0.0853582080498248 -0.0725646115317911 0.000110499151479181 0.0154686227819123 0.00639679825901685
"C3" -0.00162590151108795 -6.18569115272758e-07 0.0154056834736805 0.0170309664156532 -0.095346720606851 0.000297431903622437 -0.000813260040101613 0.0162183249446668 -0.0475246443516143
"C5" 0.000765050979949888 0.00162492618471845 0.0137080080262821 0.0145678832310507 0.0470135651685222 0.100611193752356 0.00119498858233417 0.0141379456286664 0.0738123794604391
"T7" 0.000458225015937018 0.000536451566907512 0.0146824370888102 0.0147606636397807 0.0266765080774274 0.0306622701667861 0.000497338291422265 0.0147215503642955 0.0286693891221068
"TP7" 2.48437129869759e-05 3.70558964099405e-05 0.0152734758705931 0.015285688054016 0.000352357911328229 0.000577896571160176 3.09498046984582e-05 0.0152795819623045 0.000465127241244202
"CP5" 0.000487958009172057 -0.00031869074015767 0.0155488581676228 0.014742209418293 0.0278085829509136 -0.0168589962545485 8.46336345071937e-05 0.0151455337929579 0.00547479334818257
"CP3" -7.95403373504701e-05 0.000361375335420091 0.0148282390975588 0.0152691547703294 -0.00239332933572294 0.0167260928784879 0.000140917499034811 0.0150486969339441 0.0071663817713825
"CP1" 0.00150335286052884 -0.0003899720288408 0.0157963384077845 0.0139030135184148 0.0876583860260031 -0.0174556036542508 0.000556690415844022 0.0148496759630997 0.0351013911858761
"P1" -0.00438109460527541 0.000529814933909722 0.016803500318343 0.0217144098575281 -0.232895528855739 0.0272630679175091 -0.00192563983568284 0.0192589550879355 -0.102816230469115
"P3" 0.000583486073760754 -0.00033729206291959 0.0154801984449622 0.0145594203082819 0.0276550352463989 -0.0150226286216487 0.000123097005420582 0.0150198093766221 0.00631620331237508
"P5" 0.00237022613630841 0.000180377235296972 0.0150978679891372 0.0129080190881258 0.145099643163214 0.0103498530132893 0.00127530168580269 0.0140029435386315 0.0777247480882518
"P7" 0.00268791091450142 0.000135414215677714 0.0150419845114268 0.0124894878126031 0.167252949255762 0.00881351675472397 0.00141166256508957 0.013765736162015 0.0880332330052431
"P9" -0.000109915558686239 0.00282698823413343 0.0122920182610183 0.015228922053838 -0.00372343723090276 0.178319671222946 0.0013585363377236 0.0137604701574281 0.0872981169960218
"PO7" 0.00408477182874508 -0.000916071743489901 0.0161220781601952 0.0111212345879602 0.244863443112469 -0.0557883493492722 0.00158435004262759 0.0136216563740777 0.0945375468815983
"PO3" 0.00325044066002661 -0.000777868053320027 0.0160409164453778 0.0120126077320312 0.19918523358491 -0.0472487607520063 0.00123628630335329 0.0140267620887045 0.075968236416452
"O1" 8.82904938200516e-05 0.000147998789784976 0.0151042980090848 0.0151640063050497 0.00181269877623436 0.00381421003790153 0.000118144641802514 0.0151341521570672 0.00281345440706794
"Oz" -0.0049805656001143 -0.000395505703568936 0.0155725596795254 0.0201576195760708 -0.305827370935532 -0.0228549004537813 -0.00268803565184162 0.0178650896277981 -0.164341135694657
"POz" -0.00144864864501334 0.00207036868336617 0.0133812063626426 0.0169002236910221 -0.0848951887164265 0.118957333925679 0.000310860019176415 0.0151407150268323 0.0170310726046263
"Pz" 4.96501082923334e-05 -4.46158784358046e-06 0.0152304747737678 0.0151763630776318 0.000967442820888717 5.43304135052713e-07 2.25942602243765e-05 0.0152034189256998 0.000483993062511885
"CPz" 0.000620909516790753 -9.81994889761542e-05 0.0154889432116578 0.0147698342058909 0.03232082760082 -0.00223251633346925 0.000261355013907299 0.0151293887087744 0.0150441556336754
"Fpz" -0.000140648480489319 0.00108658987757706 0.0141180500785198 0.0153452884365861 -0.00892125563748728 0.0673395292412634 0.000472970698543871 0.0147316692575529 0.0292091368018881
"Fp2" 0.00223981219493376 0.000780062505419362 0.0144788822849853 0.0130191325954709 0.142585729712139 0.048347086163329 0.00150993735017656 0.0137490074402281 0.0954664079377341
"AF8" -0.000156887047304401 -0.00119693655632207 0.0164137320311117 0.0153736825220941 -0.00949180407349062 -0.0719735154385265 -0.000676911801813234 0.0158937072766029 -0.0407326597560086
"AF4" 0.000931556479317438 -0.000195349529186667 0.0154306349322952 0.0143037289237911 0.0554474339856959 -0.0112548242116717 0.000368103475065386 0.0148671819280431 0.0220963048870121
"AFz" -0.000251295445488273 -9.21978429974046e-05 0.0152556892685892 0.01541478687108 -0.0142808287994157 -0.00424304843988947 -0.000171746644242839 0.0153352380698346 -0.00926193861965257
"Fz" 0.000872586497200091 -6.50894622397445e-06 0.0152107664068133 0.0143316709633892 0.0533863970105183 -0.000610180781368831 0.000433038775488058 0.0147712186851012 0.0263881081145747
"F2" 0.000432197395346735 -6.35140515194498e-05 0.0152082116472605 0.0147125002003943 0.0237957357596879 -0.00265222318969355 0.000184341671913642 0.0149603559238274 0.0105717562849972
"F4" 0.00145777326868821 -0.000359031180416215 0.0156359825819587 0.0138191781328542 0.0875192895654535 -0.020456472546517 0.000549371044136 0.0147275803574064 0.0335314085094683
"F6" 0.00249065227481967 -9.95810949792687e-05 0.0153673497765931 0.0127771164067942 0.155200570003454 -0.0056687168618538 0.0011955355899202 0.0140722330916936 0.0747659265708003
"F8" 0.000565673279840171 -0.000358135557258094 0.0154961663872167 0.0145723575501185 0.0294624437245781 -0.0177329306579639 0.000103768861291039 0.0150342619686676 0.00586475653330708
"FT8" -0.000143241939268539 4.99073504123782e-05 0.0151981316739045 0.0153912809635854 -0.00335631409341795 0.000778613158142107 -4.66672944280807e-05 0.015294706318745 -0.00128885046763792
"FC6" 0.000457309317019773 7.03653371559805e-05 0.0149788767061298 0.014591932726266 0.0216208012292689 0.00227945590712049 0.000263837327087877 0.0147854047161979 0.0119501285681947
"FC4" -8.1480051899804e-06 -7.34317390538622e-06 0.0152379657482181 0.0152387705795027 -7.17226148495105e-05 -2.71675926615256e-05 -7.74558954768331e-06 0.0152383681638604 -4.94451037555181e-05
"FC2" -0.00041007433077959 -0.00122530279487145 0.0163461252396116 0.0155308967755198 -0.0237726820062294 -0.0719209127772672 -0.00081768856282552 0.0159385110075657 -0.0478467973917483
"FCz" 0.00215203541268592 -0.000414962475961356 0.0156072876086331 0.0130402897199858 0.137030515474598 -0.0263057502548866 0.000868536468362281 0.0143237886643094 0.0553623826098555
"Cz" 0.00197574948386159 -0.000802931030794092 0.0161182406578914 0.0133395601432357 0.121190878334233 -0.0476572908573053 0.000586409226533749 0.0147289004005636 0.0367667937384639
"C2" -7.2974202762434e-05 -0.0009887882715301 0.0163133698356688 0.0153975557669012 -0.00281322806285749 -0.055516636531868 -0.000530881237146267 0.015855462801285 -0.0291649322973627
"C4" -0.000796533558647093 -2.52974655991494e-05 0.0154422178153426 0.0162134539083905 -0.0420855316963228 -0.000398779176694832 -0.000410915512123121 0.0158278358618666 -0.0212421554365088
"C6" 0.000817710127931029 0.00011509281242635 0.0148901521242391 0.0141875348087344 0.0438667910163595 0.00378871163714031 0.00046640147017869 0.0145388434664867 0.0238277513267499
"T8" -0.000496599929892093 -0.00015315151324417 0.0153345430548663 0.0156779914715142 -0.023958718685514 -0.00410015431958832 -0.000324875721568132 0.0155062672631902 -0.0140294365025511
"TP8" 0.00300755252477534 0.000267287502982692 0.0150335925075842 0.0122933274857915 0.184168667774776 0.015455874888473 0.00163742001387901 0.0136634599966878 0.0998122713316245
"CP6" 0.00188373894401886 3.48622396816615e-05 0.01511587096598 0.0132669942616428 0.113963183518997 0.00119536066036091 0.000959300591850261 0.0141914326138114 0.0575792720896789
"CP4" -0.000142855136995682 -0.000322716195922932 0.0155911672018519 0.0154113061429246 -0.00409746369762328 -0.0125488258754064 -0.000232785666459307 0.0155012366723882 -0.00832314478651486
"CP2" 0.000309251513372118 -0.000126626628243823 0.0154238160449146 0.0149879379032986 0.0121885433288771 -0.00357155166735143 9.13124425641472e-05 0.0152058769741066 0.00430849583076282
"P2" -6.64074336109214e-06 0.000281752970990956 0.0147526735302917 0.0150410672446438 -4.93519841635189e-05 0.0109772302699215 0.000137556113814932 0.0148968703874678 0.00546393914287898
