"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.264 0.9 0.008 0.008 0.264 0.904 0.318 0.008 0.326
"AF7" 0.012 0.554 0.002 0.002 0.014 0.556 0.016 0.002 0.018
"AF3" 0.266 0.358 0.002 0.002 0.268 0.36 0.556 0.002 0.558
"F1" 0.708 0.158 0.002 0.002 0.706 0.16 0.414 0.002 0.416
"F3" 0.122 0.106 0.004 0.008 0.13 0.114 0.866 0.008 0.87
"F5" 0.346 0.032 0 0 0.346 0.032 0.092 0 0.092
"F7" 0.638 0.85 0.004 0.006 0.642 0.846 0.63 0.004 0.634
"FT7" 0.718 0.696 0.008 0.008 0.718 0.692 0.648 0.008 0.648
"FC5" 0.826 0.504 0.008 0.008 0.832 0.51 0.782 0.008 0.78
"FC3" 0.902 0.332 0.006 0.006 0.9 0.334 0.506 0.006 0.508
"FC1" 0.992 0.082 0.008 0.01 0.99 0.092 0.22 0.01 0.23
"C1" 0.818 0.784 0 0 0.818 0.784 0.724 0 0.724
"C3" 0.78 0.938 0 0 0.78 0.938 0.914 0 0.914
"C5" 0.884 0.722 0 0 0.884 0.722 0.802 0 0.802
"T7" 0.084 0.008 0.002 0.002 0.086 0.01 0.004 0.002 0.006
"TP7" 0.986 0.724 0 0 0.986 0.724 0.73 0 0.73
"CP5" 0.978 0.99 0.002 0.002 0.976 0.992 0.968 0.002 0.97
"CP3" 0.946 0.864 0 0 0.946 0.864 0.918 0 0.918
"CP1" 0.7 0.198 0.002 0.002 0.698 0.2 0.23 0.002 0.232
"P1" 0.628 0.776 0.002 0.002 0.626 0.774 0.924 0.002 0.922
"P3" 0.25 0.38 0.002 0.002 0.252 0.378 0.808 0.002 0.81
"P5" 0.41 0.508 0.004 0.004 0.41 0.508 0.806 0.004 0.806
"P7" 0.994 0.994 0.002 0.002 0.992 0.992 0.986 0.002 0.988
"P9" 0.862 0.042 0.006 0.004 0.866 0.046 0.116 0.004 0.12
"PO7" 0.7 0.838 0.008 0.008 0.704 0.834 0.668 0.008 0.668
"PO3" 0.816 0.912 0.006 0.006 0.814 0.918 0.8 0.006 0.802
"O1" 0.146 0.16 0 0.002 0.148 0.162 0.104 0 0.106
"Iz" 0.91 0.54 0.008 0.008 0.906 0.54 0.688 0.008 0.692
"Oz" 0.532 0.538 0.008 0.004 0.536 0.546 0.956 0.006 0.956
"POz" 0.712 0.594 0.002 0 0.712 0.594 0.916 0 0.916
"Pz" 0.334 0.564 0 0 0.334 0.564 0.828 0 0.828
"CPz" 0.578 0.562 0.004 0.004 0.576 0.568 0.902 0.004 0.904
"Fpz" 0.078 0.522 0.01 0.012 0.09 0.53 0.494 0.012 0.502
"Fp2" 0.76 0.072 0.01 0.008 0.76 0.08 0.088 0.008 0.096
"AF8" 0.638 0.192 0 0.002 0.636 0.194 0.436 0.002 0.438
"AF4" 0.484 0.41 0.002 0.002 0.486 0.412 0.932 0.002 0.934
"AFz" 0.744 0.944 0.004 0.006 0.744 0.944 0.762 0.006 0.762
"Fz" 0.888 0.23 0.002 0.002 0.89 0.232 0.39 0.002 0.388
"F2" 0.416 0.102 0 0 0.418 0.104 0.108 0 0.11
"F4" 0.194 0.026 0 0.002 0.194 0.026 0.342 0 0.342
"F6" 0.456 0.14 0 0 0.46 0.144 0.144 0 0.148
"F8" 0.59 0.824 0.002 0.002 0.588 0.822 0.798 0.002 0.796
"FT8" 0.924 0.86 0.006 0.006 0.93 0.858 0.828 0.006 0.826
"FC6" 0.646 0.746 0.004 0.004 0.642 0.746 0.584 0.004 0.584
"FC4" 0.504 0.208 0.002 0.002 0.506 0.21 0.644 0.002 0.646
"FC2" 0.414 0.854 0.002 0 0.414 0.854 0.704 0 0.704
"FCz" 0.956 0.652 0.004 0.004 0.96 0.652 0.72 0.004 0.72
"Cz" 0.894 0.104 0 0.002 0.892 0.106 0.15 0 0.152
"C2" 0.676 0.424 0.002 0.004 0.676 0.428 0.746 0.002 0.746
"C4" 0.286 0.936 0.006 0.008 0.284 0.942 0.396 0.006 0.398
"C6" 0.794 0.72 0.002 0.002 0.792 0.718 0.704 0.002 0.702
"T8" 0.56 0.614 0.006 0.006 0.566 0.616 0.47 0.006 0.476
"TP8" 0.348 0.856 0.004 0.004 0.352 0.86 0.572 0.004 0.572
"CP6" 0.758 0.744 0.006 0.004 0.764 0.746 0.726 0.004 0.732
"CP4" 0.23 0.79 0.004 0.006 0.232 0.792 0.436 0.006 0.438
"CP2" 0.328 0.818 0 0 0.328 0.818 0.428 0 0.428
"P2" 0.77 0.892 0.004 0.002 0.774 0.896 0.73 0.004 0.734
"P4" 0.132 0.61 0.004 0.004 0.136 0.61 0.164 0.004 0.168
"P6" 0.806 0.266 0.002 0.002 0.808 0.268 0.304 0.002 0.306
"P8" 0.872 0.596 0.002 0.002 0.87 0.598 0.832 0.002 0.834
"P10" 0.746 0.482 0.006 0.006 0.752 0.48 0.728 0.006 0.726
"PO8" 0.176 0.344 0.004 0.004 0.176 0.348 0.732 0.004 0.732
"PO4" 0.082 0.24 0.004 0.004 0.086 0.244 0.062 0.004 0.066
"O2" 0.69 0.864 0.004 0.004 0.694 0.868 0.82 0.004 0.824
