"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.318 0.318 0.006 0.006 0.32 0.32 0.318 0.006 0.32
"AF7" 0.038 0.038 0.004 0.004 0.042 0.042 0.038 0.004 0.042
"AF3" 0.498 0.498 0.008 0.008 0.502 0.502 0.498 0.008 0.502
"F1" 0.454 0.454 0.004 0.004 0.458 0.458 0.454 0.004 0.458
"F3" 0.994 0.994 0.002 0.002 0.996 0.996 0.994 0.002 0.996
"F5" 0.152 0.152 0.004 0.004 0.156 0.156 0.152 0.004 0.156
"F7" 0.62 0.62 0 0 0.62 0.62 0.62 0 0.62
"FT7" 0.708 0.708 0.002 0.002 0.71 0.71 0.708 0.002 0.71
"FC5" 0.742 0.742 0.004 0.004 0.746 0.746 0.742 0.004 0.746
"FC3" 0.586 0.586 0 0 0.586 0.586 0.586 0 0.586
"FC1" 0.266 0.266 0.004 0.004 0.27 0.27 0.266 0.004 0.27
"C1" 0.748 0.748 0.006 0.006 0.748 0.748 0.748 0.006 0.748
"C3" 0.956 0.956 0.002 0.002 0.958 0.958 0.956 0.002 0.958
"C5" 0.784 0.784 0.002 0.002 0.786 0.786 0.784 0.002 0.786
"T7" 0.002 0.002 0.002 0.002 0.008 0.008 0.002 0.002 0.008
"TP7" 0.74 0.74 0.004 0.004 0.74 0.74 0.74 0.004 0.74
"CP5" 0.972 0.972 0.008 0.008 0.972 0.972 0.972 0.008 0.972
"CP3" 0.902 0.902 0 0 0.902 0.902 0.902 0 0.902
"CP1" 0.286 0.286 0.006 0.006 0.286 0.286 0.286 0.006 0.286
"P1" 0.946 0.946 0.01 0.01 0.948 0.948 0.946 0.01 0.948
"P3" 0.64 0.64 0.008 0.008 0.648 0.648 0.64 0.008 0.648
"P5" 0.704 0.704 0.002 0.002 0.706 0.706 0.704 0.002 0.706
"P7" 0.972 0.972 0 0 0.972 0.972 0.972 0 0.972
"P9" 0.116 0.116 0 0 0.116 0.116 0.116 0 0.116
"PO7" 0.76 0.76 0.002 0.002 0.758 0.758 0.76 0.002 0.758
"PO3" 0.798 0.798 0.004 0.004 0.802 0.802 0.798 0.004 0.802
"O1" 0.108 0.108 0.002 0.002 0.11 0.11 0.108 0.002 0.11
"Iz" 0.776 0.776 0 0 0.776 0.776 0.776 0 0.776
"Oz" 0.936 0.936 0 0 0.936 0.936 0.936 0 0.936
"POz" 0.946 0.946 0.002 0.002 0.948 0.948 0.946 0.002 0.948
"Pz" 0.69 0.69 0 0 0.69 0.69 0.69 0 0.69
"CPz" 0.954 0.954 0 0 0.954 0.954 0.954 0 0.954
"Fpz" 0.382 0.382 0 0 0.382 0.382 0.382 0 0.382
"Fp2" 0.156 0.156 0.002 0.002 0.154 0.154 0.156 0.002 0.154
"AF8" 0.596 0.596 0.002 0.002 0.598 0.598 0.596 0.002 0.598
"AF4" 0.968 0.968 0.002 0.002 0.966 0.966 0.968 0.002 0.966
"AFz" 0.746 0.746 0.004 0.004 0.746 0.746 0.746 0.004 0.746
"Fz" 0.53 0.53 0.002 0.002 0.532 0.532 0.53 0.002 0.532
"F2" 0.092 0.092 0.002 0.002 0.094 0.094 0.092 0.002 0.094
"F4" 0.48 0.48 0.004 0.004 0.48 0.48 0.48 0.004 0.48
"F6" 0.156 0.156 0.004 0.004 0.16 0.16 0.156 0.004 0.16
"F8" 0.88 0.88 0 0 0.882 0.882 0.88 0 0.882
"FT8" 0.86 0.86 0.008 0.008 0.864 0.864 0.86 0.008 0.864
"FC6" 0.554 0.554 0.002 0.002 0.552 0.552 0.554 0.002 0.552
"FC4" 0.626 0.626 0.002 0.002 0.624 0.624 0.626 0.002 0.624
"FC2" 0.634 0.634 0.004 0.004 0.634 0.634 0.634 0.004 0.634
"FCz" 0.81 0.81 0.004 0.004 0.81 0.81 0.81 0.004 0.81
"Cz" 0.248 0.248 0.006 0.006 0.254 0.254 0.248 0.006 0.254
"C2" 0.848 0.848 0.002 0.002 0.85 0.85 0.848 0.002 0.85
"C4" 0.39 0.39 0.004 0.004 0.39 0.39 0.39 0.004 0.39
"C6" 0.652 0.652 0.002 0.002 0.65 0.65 0.652 0.002 0.65
"T8" 0.482 0.482 0.004 0.004 0.482 0.482 0.482 0.004 0.482
"TP8" 0.528 0.528 0.002 0.002 0.526 0.526 0.528 0.002 0.526
"CP6" 0.694 0.694 0.006 0.006 0.696 0.696 0.694 0.006 0.696
"CP4" 0.406 0.406 0.002 0.002 0.408 0.408 0.406 0.002 0.408
"CP2" 0.43 0.43 0.002 0.002 0.432 0.432 0.43 0.002 0.432
"P2" 0.688 0.688 0 0 0.69 0.69 0.688 0 0.69
"P4" 0.142 0.142 0.006 0.006 0.144 0.144 0.142 0.006 0.144
"P6" 0.3 0.3 0 0 0.3 0.3 0.3 0 0.3
"P8" 0.778 0.778 0 0 0.778 0.778 0.778 0 0.778
"P10" 0.762 0.762 0.008 0.008 0.762 0.762 0.762 0.008 0.762
"PO8" 0.866 0.866 0.002 0.002 0.864 0.864 0.866 0.002 0.864
"PO4" 0.054 0.054 0.008 0.008 0.06 0.06 0.054 0.008 0.06
"O2" 0.734 0.734 0.004 0.004 0.734 0.734 0.734 0.004 0.734
