"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.574 0.1444 0.0348 0.102 0.6016 0.1988 0.8162 0.061 0.825
"AF7" 0.7418 0.7468 0.0958 0.082 0.768 0.7702 0.904 0.0894 0.921
"AF3" 0.7882 0.9504 0.0732 0.0692 0.8036 0.951 0.8174 0.071 0.8356
"F1" 0.8862 0.9142 0.0808 0.076 0.896 0.9196 0.9162 0.0772 0.9296
"F3" 0.969 0.9378 0.0676 0.0692 0.9746 0.947 0.9842 0.0678 0.9838
"F5" 0.343 0.6954 0.0762 0.0492 0.395 0.727 0.516 0.062 0.5568
"F7" 0.9872 0.5498 0.0776 0.0664 0.992 0.5818 0.7712 0.0718 0.7852
"FT7" 0.5032 0.0692 0.119 0.0556 0.5454 0.1362 0.7012 0.0808 0.7186
"FC5" 0.9666 0.7012 0.0674 0.074 0.9636 0.729 0.8006 0.0684 0.8236
"FC3" 0.228 0.2866 0.101 0.0562 0.2986 0.3496 0.5414 0.0744 0.5832
"FC1" 0.8394 0.8302 0.0856 0.0772 0.8536 0.8404 0.9558 0.0792 0.9584
"C1" 0.675 0.822 0.0858 0.1038 0.689 0.8316 0.6936 0.0948 0.7068
"C3" 0.4994 0.418 0.0898 0.0622 0.545 0.4668 0.9414 0.0736 0.9534
"C5" 0.5438 0.1072 0.1046 0.0572 0.5774 0.1696 0.6472 0.0754 0.672
"T7" 0.4914 0.2064 0.1164 0.055 0.5254 0.2608 0.9638 0.0754 0.9658
"TP7" 0.877 0.2262 0.1004 0.075 0.8918 0.2858 0.4428 0.0878 0.4804
"CP5" 0.532 0.5016 0.0826 0.0624 0.5722 0.5382 0.8364 0.0706 0.8562
"CP3" 0.5218 0.373 0.0598 0.084 0.5574 0.4182 0.9478 0.0718 0.9578
"CP1" 0.5848 0.6138 0.078 0.0988 0.6178 0.646 0.7942 0.0846 0.814
"P1" 0.9624 0.8302 0.0956 0.0916 0.9714 0.8436 0.897 0.0924 0.8992
"P3" 0.7758 0.7894 0.0908 0.083 0.8004 0.8116 0.8756 0.0838 0.893
"P5" 0.8968 0.6584 0.0788 0.0738 0.8994 0.6798 0.719 0.0762 0.7356
"P7" 0.615 0.4774 0.1068 0.0824 0.6536 0.5208 0.8038 0.0922 0.8156
"P9" 0.4532 0.5088 0.0922 0.047 0.4864 0.5476 0.6728 0.0594 0.6908
"PO7" 0.9504 0.8208 0.1 0.0974 0.9576 0.8332 0.9234 0.0976 0.9274
"PO3" 0.394 0.4124 0.0978 0.0658 0.4458 0.459 0.6858 0.0796 0.7228
"O1" 0.326 0.7768 0.0954 0.1296 0.393 0.8014 0.4586 0.109 0.5108
"Oz" 0.64 0.4716 0.1052 0.0852 0.6772 0.5228 0.8678 0.093 0.8774
"POz" 0.6454 0.1994 0.058 0.0954 0.6796 0.2712 0.3908 0.0724 0.4462
"Pz" 0.4858 0.611 0.082 0.1098 0.5328 0.648 0.6108 0.0962 0.6466
"CPz" 0.4264 0.4692 0.1012 0.0702 0.479 0.5146 0.5578 0.0804 0.6016
"Fpz" 0.1248 0.0504 0.024 0.3128 0.1966 0.1266 0.9068 0.0918 0.9138
"Fp2" 0.2756 0.9124 0.0684 0.1076 0.328 0.9148 0.4018 0.0832 0.4462
"AF8" 0.7686 0.7452 0.0626 0.071 0.7824 0.7602 0.9588 0.0658 0.9626
"AF4" 0.0184 0.8158 0.0742 0.2144 0.0956 0.8354 0.0886 0.1248 0.163
"AFz" 0.4228 0.9402 0.0678 0.089 0.455 0.9392 0.4756 0.0776 0.5014
"Fz" 0.3268 0.5584 0.0658 0.1002 0.3704 0.5904 0.6078 0.0818 0.6342
"F2" 0.5126 0.9586 0.07 0.057 0.554 0.956 0.5952 0.062 0.6294
"F4" 0.9954 0.98 0.0734 0.072 0.9964 0.9746 0.9968 0.0696 0.9978
"F6" 0.1912 0.542 0.0822 0.1346 0.2562 0.5846 0.2854 0.1 0.344
"F8" 0.5108 0.432 0.061 0.0834 0.5472 0.4748 0.9806 0.0716 0.985
"FT8" 0.8824 0.5968 0.0652 0.0762 0.8916 0.6332 0.697 0.0698 0.7258
"FC6" 0.6106 0.7562 0.0734 0.0876 0.6398 0.7686 0.7312 0.0794 0.748
"FC4" 0.651 0.3506 0.0896 0.0668 0.6792 0.3992 0.8646 0.0794 0.8684
"FC2" 0.0706 0.8392 0.0868 0.2388 0.1574 0.8524 0.2044 0.1432 0.2804
"FCz" 0.0442 0.6346 0.0888 0.2328 0.1392 0.6728 0.1662 0.1466 0.2536
"Cz" 0.212 0.0964 0.0434 0.1894 0.2884 0.1824 0.898 0.093 0.9128
"C2" 0.05 0.9764 0.096 0.223 0.1358 0.9758 0.1514 0.142 0.2292
"C4" 0.7554 0.8352 0.0726 0.0656 0.7766 0.846 0.8504 0.068 0.8656
"C6" 0.4414 0.7452 0.0734 0.0932 0.4706 0.7632 0.5608 0.0798 0.5844
"T8" 0.4438 0.3526 0.0718 0.1102 0.4994 0.4182 0.9304 0.0892 0.9412
"TP8" 0.7924 0.801 0.0834 0.0972 0.808 0.8186 0.8778 0.088 0.8846
"CP6" 0.6918 0.8038 0.0826 0.0686 0.721 0.8238 0.7748 0.0748 0.7968
"CP4" 0.722 0.817 0.0748 0.0644 0.7484 0.837 0.7794 0.0688 0.8034
"CP2" 0.9174 0.9882 0.076 0.0802 0.9144 0.9916 0.9218 0.0776 0.916
"P2" 0.7476 0.9772 0.0748 0.0688 0.7696 0.9776 0.7614 0.0704 0.7846
"P4" 0.4796 0.9476 0.0752 0.0604 0.5214 0.9518 0.5164 0.067 0.557
"P6" 0.4336 0.8532 0.0822 0.0638 0.4816 0.8636 0.4896 0.071 0.5356
"P8" 0.0312 0.8026 0.0844 0.03 0.109 0.8176 0.087 0.0508 0.1596
"P10" 0.513 0.5348 0.1708 0.0778 0.5744 0.589 0.7186 0.0938 0.7616
"PO8" 0.4172 0.0078 0.174 0.0618 0.4778 0.0944 0.582 0.101 0.6186
"PO4" 0.1656 0.086 0.1202 0.047 0.2274 0.155 0.8596 0.073 0.869
"O2" 0.0322 0.1778 0.1848 0.02 0.14 0.2716 0.2158 0.0618 0.3048
