"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000222462649835386 -8.40852091843013e-05 -0.000906098168787647 -0.00121264602780733 -0.184489671411718 0.0658758683648577 6.91887203255425e-05 -0.00105937209829749 -0.0593069015234299
"AF7" -0.000450985478635142 0.000263348813831994 -0.00090493570887233 -0.000190601416405194 0.62870949738447 -0.325260958386808 -9.38183324015738e-05 -0.000547768562638762 0.151724269498831
"AF3" -0.000458714087342501 0.000230492135329257 -0.00137654044099023 -0.000687334218318474 0.247715603157283 -0.149119479678145 -0.000114110976006622 -0.00103193732965435 0.0492980617395691
"F1" -0.000101495922133009 0.000168509267500323 -0.000959165832630772 -0.00068916064299744 0.0183333335995077 -0.166962079647882 3.35066726836567e-05 -0.000824163237814106 -0.0743143730241871
"F3" -0.000510100786801942 0.0003119336037719 -0.000825761342800106 -3.72695222626354e-06 0.431536791040047 -0.218859495173147 -9.90835915150212e-05 -0.000414744147513185 0.10633864793345
"F5" -0.000266501216724369 4.2916207693136e-05 -0.000921978970997369 -0.000612561546579865 0.289111505560567 -0.0241800404190118 -0.000111792504515616 -0.000767270258788617 0.132465732570778
"F7" -0.000256174652999803 -1.98193889047542e-06 -0.000671177742233862 -0.000416985028124535 0.475007796891417 0.02704774903898 -0.000129078295945139 -0.000544081385179199 0.251027772965198
"FT7" 1.26556168238366e-05 2.68329669002726e-05 -0.000700706481917079 -0.000686529131840643 -0.00301429985903262 -0.0570652694459927 1.97442918620546e-05 -0.000693617806878861 -0.0300397846525127
"FC5" -4.24172980453282e-05 0.000151764739797542 -0.000888096475400923 -0.000693914437558053 0.0147054019912378 -0.0848935685819075 5.46737208761068e-05 -0.000791005456479488 -0.0350940832953349
"FC3" 2.39791038504571e-06 0.000193800219637348 -0.000867130491954186 -0.000675728182701883 -0.0491074160399245 -0.255413317556649 9.80990650111971e-05 -0.000771429337328034 -0.152260366798287
"FC1" 0.000227866299252717 0.000353893942034638 -0.00117229472990312 -0.0010462670871212 -0.122035236549675 -0.192100909201433 0.000290880120643677 -0.00110928090851216 -0.157068072875554
