"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.849 0.6116 0.1072 0.0986 0.8544 0.6454 0.6544 0.1032 0.6794
"AF7" 0.7716 0.705 0.107 0.1042 0.7862 0.7264 0.6752 0.1064 0.697
"AF3" 0.6946 0.5414 0.0866 0.1046 0.7234 0.581 0.9292 0.0936 0.9332
"F1" 0.5026 0.2338 0.0818 0.1294 0.553 0.3142 0.8364 0.102 0.854
"F3" 0.3972 0.9592 0.097 0.1216 0.4484 0.9696 0.5514 0.1094 0.587
"F5" 0.7846 0.602 0.0842 0.0872 0.8138 0.6412 0.617 0.0854 0.6622
"F7" 0.1166 0.1196 0.1556 0.1726 0.191 0.1924 0.0526 0.1602 0.1334
"FT7" 0.7982 0.0076 0.3558 0.1366 0.8082 0.1072 0.125 0.2274 0.2074
"FC5" 0.8218 0.7572 0.0886 0.0938 0.8378 0.7752 0.7452 0.0894 0.7664
"FC3" 0.195 0.8266 0.1238 0.2476 0.2772 0.8432 0.304 0.174 0.3754
"FC1" 0.2512 0.654 0.1126 0.1492 0.324 0.6836 0.32 0.129 0.3856
"C1" 0.8546 0.396 0.1248 0.0976 0.8716 0.4638 0.7358 0.1082 0.7652
"C3" 0.518 0.8442 0.1206 0.078 0.5628 0.8662 0.6794 0.0894 0.7058
"C5" 0.135 0.5506 0.1486 0.3678 0.2168 0.5896 0.1512 0.2296 0.231
"T7" 0.4884 0.0506 0.2296 0.1526 0.5298 0.1392 0.116 0.1814 0.1982
"TP7" 0.6018 0.749 0.098 0.0884 0.6426 0.7706 0.8008 0.0932 0.8236
"CP5" 0.603 0.5176 0.0802 0.0802 0.639 0.5656 0.4546 0.079 0.505
"CP3" 0.5186 0.4146 0.1198 0.0856 0.5674 0.4718 0.97 0.1006 0.9696
"CP1" 0.0816 0.8508 0.1082 0.0576 0.188 0.8648 0.151 0.0802 0.2498
"P1" 0.3028 0.248 0.0514 0.085 0.381 0.3314 0.163 0.0576 0.258
"P3" 0.1832 0.1802 0.0712 0.0696 0.2764 0.2702 0.1666 0.0698 0.259
"P5" 0.7068 0.8128 0.0924 0.1018 0.7294 0.825 0.71 0.0974 0.7326
"P7" 0.3424 0.2914 0.0718 0.1544 0.4006 0.354 0.7904 0.1014 0.8146
"P9" 0.8334 0.9486 0.1128 0.1082 0.8608 0.9564 0.8428 0.11 0.8698
"PO7" 0.0796 0.084 0.052 0.0638 0.1748 0.1792 0.0692 0.0564 0.166
"PO3" 0.4882 0.4292 0.079 0.0878 0.5532 0.497 0.422 0.0826 0.4914
"O1" 0.3872 0.0884 0.028 0.1024 0.4598 0.207 0.0652 0.0484 0.185
"Oz" 0.898 0.7766 0.0944 0.097 0.9174 0.8012 0.7996 0.095 0.8246
"POz" 0.3636 0.0266 0.0068 0.1222 0.4558 0.1844 0.0186 0.0254 0.1768
"Pz" 0.9658 0.9154 0.1022 0.1034 0.9726 0.9326 0.9544 0.1024 0.966
"CPz" 0.2594 0.1514 0.1806 0.0674 0.3474 0.245 0.9652 0.1112 0.9748
"Fpz" 0.9536 0.7778 0.0896 0.0926 0.9638 0.8028 0.849 0.0908 0.8708
"Fp2" 0.76 0.471 0.1158 0.104 0.7754 0.5144 0.5282 0.11 0.5608
"AF8" 0.8526 0.8842 0.1018 0.0978 0.868 0.8964 0.9602 0.102 0.9668
"AF4" 0.9018 0.9376 0.1082 0.112 0.8956 0.9402 0.938 0.1102 0.9306
"AFz" 0.818 0.5692 0.0884 0.101 0.8394 0.6094 0.781 0.0952 0.796
"Fz" 0.8084 0.7192 0.0894 0.0996 0.8216 0.7536 0.98 0.0944 0.9848
"F2" 0.4066 0.9494 0.0978 0.118 0.4588 0.962 0.5442 0.1068 0.5856
"F4" 0.3356 0.6846 0.1016 0.1188 0.4036 0.713 0.3838 0.11 0.4478
"F6" 0.2356 0.7044 0.0898 0.1268 0.3106 0.7322 0.5016 0.1044 0.5478
"F8" 0.0218 0.8896 0.1158 0.2286 0.1314 0.9072 0.1174 0.1588 0.215
"FT8" 0.0212 0.7796 0.1228 0.2708 0.145 0.807 0.0456 0.1836 0.1678
"FC6" 0.0276 0.9436 0.1222 0.3904 0.1382 0.945 0.1202 0.2262 0.2184
"FC4" 0.1656 0.8896 0.1034 0.1764 0.244 0.8944 0.2782 0.135 0.3462
"FC2" 0.5426 0.724 0.0874 0.1038 0.587 0.7484 0.886 0.0958 0.8928
"FCz" 0.9302 0.8588 0.0994 0.0984 0.9282 0.86 0.8882 0.0996 0.8878
"Cz" 0.5126 0.9812 0.1032 0.0938 0.5636 0.9742 0.6192 0.0976 0.6586
"C2" 0.6006 0.5816 0.1228 0.1036 0.6502 0.626 0.987 0.1114 0.9834
"C4" 0.3066 0.6522 0.12 0.0746 0.3794 0.6894 0.5876 0.09 0.626
"C6" 0.1156 0.29 0.0876 0.1896 0.2124 0.3696 0.5682 0.1286 0.6158
"T8" 0.3106 0.8494 0.1104 0.0882 0.3858 0.8706 0.675 0.0974 0.7126
"TP8" 0.398 0.62 0.0912 0.1196 0.4582 0.6522 0.6948 0.1048 0.7242
"CP6" 0.1744 0.7158 0.0876 0.1674 0.254 0.7494 0.387 0.1196 0.443
"CP4" 0.992 0.6882 0.0978 0.0952 0.9984 0.7074 0.7456 0.0964 0.7636
"CP2" 0.184 0.4164 0.13 0.0782 0.2732 0.4844 0.6582 0.1014 0.6914
"P2" 0.2802 0.021 0.0362 0.1946 0.3762 0.1454 0.218 0.0848 0.3204
"P4" 0.8222 0.779 0.0912 0.0972 0.8538 0.8186 0.7804 0.0932 0.82
"P6" 0.678 0.7088 0.111 0.0884 0.7038 0.7382 0.8906 0.096 0.8948
"P8" 0.7764 0.7456 0.0938 0.0934 0.7946 0.7682 0.7028 0.0918 0.7246
"P10" 0.429 0.588 0.1126 0.1392 0.4934 0.6368 0.7756 0.1238 0.7988
"PO8" 0.5688 0.258 0.1246 0.1136 0.6046 0.3262 0.3234 0.1194 0.382
"PO4" 0.7256 0.7114 0.1 0.101 0.7378 0.7252 0.7024 0.0996 0.7166
"O2" 0.5908 0.2416 0.1318 0.1202 0.6312 0.3188 0.3524 0.1236 0.4176
