"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -9.86001422595735e-06 -6.26113441314031e-05 0.0453655237638737 0.0453127724339682 -4.94299041137712e-05 -0.000888459825478047 -3.62356791786802e-05 0.045339148098921 -0.000468944864795909
"AF7" 7.53416313099421e-05 1.98597182112725e-05 0.0449749232695385 0.0449194413564398 0.00114787178374096 0.000157918781098815 4.76006747606073e-05 0.0449471823129891 0.000652895282419886
"AF3" 0.000212246694858229 0.000124826332738035 0.0447120866578483 0.0446246662957281 0.00406290610825846 0.00199133694892252 0.000168536513798132 0.0446683764767882 0.00302712152859049
"F1" 0.000594094383948281 0.000134394625579893 0.045266383777257 0.0448066840188886 0.012139890642812 0.00235301339961138 0.000364244504764087 0.0450365338980728 0.00724645202121171
"F3" 9.45739515694338e-05 0.000412061037557393 0.0445724821986437 0.0448899692846317 0.00130683939520288 0.00868803187790396 0.000253317494563413 0.0447312257416377 0.00499743563655342
"F5" 0.000233395292113684 0.000383031718094457 0.0444634532554754 0.0446130896814562 0.00453544018236765 0.00775925079494741 0.000308213505104071 0.0445382714684658 0.00614734548865753
"F7" 0.00068589626865556 0.000497529190853221 0.0443421506305635 0.0441537835527612 0.0141435516292452 0.0106001096738588 0.000591712729754391 0.0442479670916623 0.012371830651552
"FT7" 0.000309130829109174 0.000375295879523984 0.0446204627594482 0.044686627809863 0.00615153202760128 0.00748183936367723 0.000342213354316579 0.0446535452846556 0.00681668569563925
"FC5" 2.88783857131107e-05 0.000400994137368425 0.0443334701984441 0.0447055859500994 0.000280040403736467 0.00846062232570712 0.000214936261540768 0.0445195280742717 0.00437033136472179
"FC3" 0.000522000223603983 0.000965468246067285 0.0441888313219334 0.0446322993443967 0.0110591305330291 0.0207752249086197 0.000743734234835634 0.0444105653331651 0.0159171777208244
"FC1" 0.000931786149342419 0.000976497362390262 0.0437001146088095 0.0437448258218573 0.020379864756002 0.0209051544754646 0.00095414175586634 0.0437224702153334 0.0206425096157333
"C1" 0.000490418443834186 0.000493976844861907 0.0444852681386579 0.0444888265396856 0.00990226184287365 0.0100417035053466 0.000492197644348047 0.0444870473391718 0.00997198267411012
"C3" 0.000405415884419901 0.000971574861271512 0.0443515416230198 0.0449177005998714 0.00801655672684597 0.0205024839384073 0.000688495372845706 0.0446346211114456 0.0142595203326266
"C5" 0.000142038162039129 0.000226760883674539 0.044588754528529 0.0446734772501644 0.0023657619884647 0.00411213182909797 0.000184399522856834 0.0446311158893467 0.00323894690878134
"T7" -0.000212078746346099 6.02686781066873e-05 0.0444301587568691 0.0447025061813219 -0.00417637661225365 0.00139252488147502 -7.59050341197057e-05 0.0445663324690955 -0.00139192586538932
"TP7" -5.55417269122922e-05 6.86696258671359e-05 0.0449558817825689 0.0450800931353483 -0.000677425167476227 0.00084264901233884 6.56394947742185e-06 0.0450179874589586 8.26119224313065e-05
"CP5" 1.30243787108473e-05 1.40445322472701e-05 0.0449855739586124 0.0449865941121488 8.62205960914195e-05 0.000134963662314831 1.35344554790587e-05 0.0449860840353806 0.000110592129203125
"CP3" 1.69244648720045e-05 1.60942285518304e-05 0.0445709025550486 0.0445700723187284 0.000192878963284174 4.88412090885762e-05 1.65093467119175e-05 0.0445704874368885 0.000120860086186375
"CP1" -7.04189968504287e-05 0.000121947656572523 0.0447573509279259 0.0449497175813489 -0.000822086873198148 0.00203418586734897 2.57643298610471e-05 0.0448535342546374 0.000606049497075409
"P1" -1.39939239828944e-05 -6.71766669494122e-05 0.0451731163543116 0.0451199336113451 -1.19734518980753e-05 -0.00100891293314513 -4.05852954661533e-05 0.0451465249828284 -0.000510443192521602
"P3" -0.000397451452893279 -0.000207772463263535 0.0450267851147226 0.0452164641043523 -0.00823561575328577 -0.00392324003032736 -0.000302611958078407 0.0451216246095375 -0.00607942789180657
"P5" -7.7802206218573e-05 -0.000260221445590543 0.0449712082229453 0.0447887889835733 -0.0012569627481197 -0.00488499820284731 -0.000169011825904558 0.0448799986032593 -0.00307098047548351
"P7" 5.97978304666117e-05 0.000334038936704507 0.0447128190445604 0.0449870601507983 0.000728251832607377 0.00666505300514245 0.000196918383585559 0.0448499395976794 0.00369665241887491
"P9" 0.000122248476800602 0.000101379841291978 0.0455600087013135 0.0455391400658049 0.00174531365050009 0.00139989901043434 0.00011181415904629 0.0455495743835592 0.00157260633046721
"PO7" -0.000114137807981938 -0.000336417045372824 0.045139638016753 0.0449173587793621 -0.00172398447191808 -0.00659412479194582 -0.000225277426677381 0.0450284983980576 -0.00415905463193195
"PO3" 0.000116082646622357 0.000172275199622273 0.0448509201010619 0.0449071126540619 0.00181472754992199 0.00339814472217744 0.000144178923122315 0.0448790163775619 0.00260643613604971
"O1" -2.11995914433539e-05 -0.000133001211214201 0.0454099513767446 0.0452981497569737 -0.000144292725213748 -0.00205259123649822 -7.71004013287773e-05 0.0453540505668592 -0.00109844198085599
"Iz" 7.06382162610487e-06 0.000548474942914945 0.0443825851937017 0.0449239963149905 7.86763790198276e-05 0.0114116534510026 0.000277769382270525 0.0446532907543461 0.00574516491501119
"Oz" 0.000126614006593429 0.000144108485618625 0.0447438254154401 0.0447613198944653 0.00222634220968996 0.00266419840298802 0.000135361246106027 0.0447525726549527 0.00244527030633899
"POz" -0.000348266016671886 -0.000655518608696499 0.0453680665264931 0.0450608139344685 -0.00704711896734426 -0.0136633302009075 -0.000501892312684193 0.0452144402304808 -0.0103552245841259
"Pz" -0.000183098066107994 -0.0003298845244671 0.0452460807595225 0.0450992943011633 -0.00324492401060935 -0.00608647620877504 -0.000256491295287547 0.0451726875303429 -0.0046657001096922
"CPz" 9.51132679971095e-05 0.000641823364790333 0.0444128617256008 0.044959571822394 0.0019956758607627 0.0135430891348186 0.000368468316393721 0.0446862167739974 0.00776938249779066
"Fpz" 0.000103913994193166 0.00021678032598959 0.0450731542288267 0.0451860205606231 0.00150725574414221 0.00373259524353149 0.000160347160091378 0.0451295873947249 0.00261992549383685
"Fp2" 9.20057384459208e-05 2.07571394442994e-05 0.0449445953507908 0.0448733467517892 0.0013338812730435 0.000207545068957076 5.63814389451101e-05 0.04490897105129 0.000770713171000286
