"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -3.62912051298286e-05 -3.62912051298286e-05 0.0449034390564474 0.0449034390564474 -0.000408022835089631 -0.000408022835089631 -3.62912051298286e-05 0.0449034390564474 -0.000408022835089631
"AF7" 4.26779521867593e-05 4.26779521867593e-05 0.0450939352842433 0.0450939352842433 0.000605594345669395 0.000605594345669398 4.26779521867593e-05 0.0450939352842433 0.000605594345669397
"AF3" 0.000164425959731481 0.000164425959731482 0.0446622249256728 0.0446622249256728 0.00314722163468774 0.00314722163468774 0.000164425959731481 0.0446622249256728 0.00314722163468774
"F1" 0.000356029279802684 0.000356029279802684 0.0446356235960242 0.0446356235960242 0.00716878334107527 0.00716878334107529 0.000356029279802684 0.0446356235960242 0.00716878334107528
"F3" 0.000267926371057205 0.000267926371057205 0.0451418054582851 0.0451418054582851 0.00528891882087131 0.00528891882087131 0.000267926371057205 0.0451418054582851 0.00528891882087131
"F5" 0.000309336584572317 0.000309336584572317 0.0451210627300193 0.0451210627300193 0.00613307188507234 0.00613307188507235 0.000309336584572317 0.0451210627300193 0.00613307188507234
"F7" 0.000585207825937693 0.000585207825937693 0.0448871996976294 0.0448871996976294 0.0123158509371467 0.0123158509371467 0.000585207825937693 0.0448871996976294 0.0123158509371467
"FT7" 0.000341683980463909 0.000341683980463909 0.0448686836110765 0.0448686836110765 0.00720928322612695 0.00720928322612694 0.000341683980463909 0.0448686836110765 0.00720928322612694
"FC5" 0.000206458997382046 0.000206458997382046 0.0447553010223118 0.0447553010223118 0.00406991455989728 0.00406991455989729 0.000206458997382046 0.0447553010223118 0.00406991455989728
"FC3" 0.000782389705800909 0.000782389705800909 0.0440855224329089 0.0440855224329089 0.0169660698037623 0.0169660698037623 0.000782389705800909 0.0440855224329089 0.0169660698037623
"FC1" 0.00096738230717321 0.00096738230717321 0.043827033527669 0.043827033527669 0.0209807874770922 0.0209807874770922 0.00096738230717321 0.043827033527669 0.0209807874770922
