"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.000625121903498266 -0.00248021555098722 0.048727617726351 0.0468725240788621 -0.00887388703862687 -0.0495755683829508 -0.00155266872724274 0.0478000709026066 -0.0292247277107888
"AF7" -0.00057031668606399 -0.00099434350226571 0.0472263935020707 0.046802366685869 -0.0122586856493017 -0.0204851953707236 -0.00078233009416485 0.0470143800939698 -0.0163719405100127
"AF3" -0.00268374735559528 -0.00297413689283584 0.0493809054146945 0.0490905158774539 -0.0546411641898952 -0.0608738979146725 -0.00282894212421556 0.0492357106460742 -0.0577575310522838
"F1" 0.00396094357233722 -0.00215674460364086 0.0483771965480962 0.0422595083721182 0.0822128189905029 -0.0442220134888833 0.000902099484348179 0.0453183524601072 0.0189954027508098
"F3" 0.000918126547436264 -6.50182747283425e-05 0.0465135990527974 0.0455304542306328 0.0185224320786727 -0.00120782513972141 0.000426554136353961 0.0460220266417151 0.00865730346947566
"F5" 0.00109147884669244 -0.00136482474307951 0.0475435504565485 0.0450872468667766 0.0203046453675642 -0.0270131116966145 -0.000136672948193534 0.0463153986616625 -0.00335423316452511
"F7" 0.0015761129992937 -0.00341631096444826 0.0496238354203204 0.0446314114565784 0.0339230436264253 -0.0711892578770408 -0.000920098982577278 0.0471276234384494 -0.0186331071253078
"FT7" 0.000827481716846738 0.00194046552975384 0.0440773212624569 0.045190305075364 0.0180843153957051 0.0412531329983708 0.00138397362330029 0.0446338131689104 0.029668724197038
"FC5" -0.000140726453225615 0.000309582062147954 0.0457628501324075 0.0462131586477811 -0.00194566426994549 0.00543686567462715 8.44278044611695e-05 0.0459880043900943 0.00174560070234083
"FC3" 0.00191871865053122 0.000395495149757428 0.0460915658175263 0.0445683423167525 0.0399580433751746 0.00817580044649605 0.00115710690014432 0.0453299540671394 0.0240669219108353
"FC1" 0.0040020247785278 0.000198622474815052 0.0461412693233319 0.0423378670196192 0.0836551359921031 0.00397815373440861 0.00210032362667143 0.0442395681714756 0.0438166448632558
"C1" -0.00144167817261105 -0.00188126645227007 0.0480559956137795 0.0476164073341205 -0.0302124206143998 -0.0381735992236963 -0.00166147231244056 0.04783620147395 -0.0341930099190481
"C3" -0.00140485456528193 -0.00484026836939364 0.0510913020184783 0.0476558882143666 -0.028775977859455 -0.101697069371388 -0.00312256146733778 0.0493735951164225 -0.0652365236154214
"C5" -0.00145544459972378 -0.00166595881993272 0.0479243182046312 0.0477138039844223 -0.0279401135913745 -0.0331052065260238 -0.00156070170982825 0.0478190610945268 -0.0305226600586992
"T7" 0.00245531442115406 -0.000771162275452018 0.0469096324162995 0.0436831557196935 0.0498927448921946 -0.0153446086515651 0.000842076072851019 0.0452963940679965 0.0172740681203148
"TP7" -0.000952513553372657 -0.00135043895229744 0.0474600846302474 0.0470621592313226 -0.0177854147214023 -0.0257785303649139 -0.00115147625283505 0.047261121930785 -0.0217819725431581
"CP5" -0.00245199940713801 -0.00247149574325475 0.0487426020084655 0.0487231056723487 -0.0469304116250687 -0.0487739211716952 -0.00246174757519638 0.0487328538404071 -0.0478521663983819
"CP3" -0.00104635990287712 -0.00457266849866269 0.0507139837966421 0.0471876752008565 -0.0206340403340153 -0.0945065767437456 -0.0028095142007699 0.0489508294987493 -0.0575703085388804
"CP1" -0.000103868920841686 -0.00550373380495064 0.0518906816610009 0.0464908167768919 -0.00283166377966554 -0.11474153773413 -0.00280380136289616 0.0491907492189464 -0.0587866007568979
"P1" -0.000105532891627752 -1.71291597289516e-05 0.0460759666827188 0.0461643704146176 -0.0007700756910872 -5.22620164479534e-05 -6.13310256783519e-05 0.0461201685486682 -0.000411168853767577
"P3" -0.00157294762515711 -0.000841617931151539 0.0470153206966143 0.0477466503906199 -0.0272027034672998 -0.0139079283263714 -0.00120728277815433 0.0473809855436171 -0.0205553158968356
"P5" -0.00342904092041957 -0.00409031784298357 0.0507164148682162 0.0500551379456522 -0.0668878950574749 -0.0833108394999433 -0.00375967938170157 0.0503857764069342 -0.0750993672787091
"P7" -0.000815495681832161 -0.00156785897985098 0.0552617617508312 0.0545093984528124 -0.0131895297785203 -0.0269497731472388 -0.00119167733084157 0.0548855801018218 -0.0200696514628796
"P9" -0.00165309447901556 -0.00196905877679377 0.0480769769535694 0.0477610126557912 -0.0316472837428753 -0.0383852590582551 -0.00181107662790467 0.0479189948046803 -0.0350162714005652
"PO7" -0.00117904326255933 0.000311865538400226 0.0458461499466904 0.04733705874765 -0.0231016063731008 0.00608376117908153 -0.00043358886207955 0.0465916043471702 -0.00850892259700963
"PO3" -0.000376278676464333 -0.00123882112047478 0.0475249020350001 0.0466623595909896 -0.00497990258909948 -0.0221751152407413 -0.000807549898469556 0.0470936308129949 -0.0135775089149204
"O1" -0.000890696069924343 0.00170006443777527 0.0445659461775192 0.0471567066852188 -0.0170247086200533 0.0334800938094087 0.000404684183925462 0.045861326431369 0.0082276925946777
"Oz" 0.000464508718476296 0.00201699854543521 0.0439189234806145 0.0454714133075734 0.00552047116086751 0.0415526854154588 0.00124075363195575 0.0446951683940939 0.0235365782881632
"POz" 0.000498107107180203 -0.00166385676855283 0.0478287445518358 0.0456667806761027 0.00643342513451905 -0.0320823407255536 -0.000582874830686314 0.0467477626139692 -0.0128244577955173
"Pz" -0.00160049399429124 -0.00169247658068666 0.0478388002233692 0.0477468176369738 -0.0301015109435196 -0.0329534085114353 -0.00164648528748895 0.0477928089301715 -0.0315274597274774
"CPz" 0.00230542149073544 -0.00403353078085544 0.0500498211050498 0.0437108688334589 0.046952205337964 -0.08542849247209 -0.000864054645060003 0.0468803449692543 -0.019238143567063
"Fpz" -4.99174559185742e-05 -8.9026694488886e-05 0.0461035048439237 0.0460643956053534 -0.000284145567284161 -0.000623019221686566 -6.94720752037301e-05 0.0460839502246386 -0.000453582394485364
"Fp2" 0.000978553009577125 -0.00226037642780615 0.0485995300968504 0.0453606006594671 0.0178457570233551 -0.0444503559258901 -0.000640911709114514 0.0469800653781587 -0.0133022994512675
"AF8" 0.000162174495355322 -0.0031752380452717 0.0503202624805056 0.0469828499398786 0.0028506498348974 -0.0627388956721674 -0.00150653177495819 0.0486515562101921 -0.029944122918635
"AF4" 1.11648580280187e-05 -0.000921868700172836 0.046806484490113 0.0458734509319121 0.000145032343858156 -0.0156085547757219 -0.000455351921072409 0.0463399677110126 -0.00773176121593186
"AFz" 0.000802683514666717 -0.00131136272851713 0.0474704645640872 0.0453564183209033 0.0169529153646999 -0.0270929862978044 -0.000254339606925205 0.0464134414424952 -0.00507003546655225
"Fz" 0.000490249596019264 -0.00274957205080848 0.0487941757903574 0.0455543541435297 0.00971489067387984 -0.0556379910371493 -0.00112966122739461 0.0471742649669436 -0.0229615501816347
"F2" 0.00404761370351598 -0.00490268509078937 0.0512190355845155 0.0422687367902101 0.0839132168695652 -0.102481418076151 -0.000427535693636692 0.0467438861873628 -0.00928410060329313
"F4" 0.0028899374780534 -0.0040520570164919 0.0502356757902263 0.043293681295681 0.0579142636309231 -0.0838003665759991 -0.000581059769219252 0.0467646785429537 -0.012943051472538
"F6" 0.00117779936107155 0.000315612589199234 0.0458535006006315 0.0449913138287592 0.0209645871150346 0.00534636867483646 0.000746705975135394 0.0454224072146953 0.0131554778949356
"F8" 0.00112320062107548 -0.000474225751210484 0.053347435843017 0.0517500094707311 0.0168209454097418 -0.0068487030787725 0.000324487434932498 0.0525487226568741 0.00498612116548463
"FT8" 0.0010242737173101 -0.000650583048524431 0.0469091611475547 0.0452343043817202 0.0177452170064523 -0.0110631517306786 0.000186845334392834 0.0460717327646375 0.00334103263788683
"FC6" 0.00322014198998254 -0.00253442064605055 0.0486767290055783 0.0429221663695452 0.063219356526845 -0.0505324606906841 0.000342860671965993 0.0457994476875617 0.00634344791808046
"FC4" 0.00346013593874291 -0.00588013381482993 0.0520291198933 0.0426888501397271 0.0723160701258618 -0.12290860983822 -0.00120999893804351 0.0473589850165136 -0.025296269856179
"FC2" 0.00114559257992704 -0.000201484331366084 0.0473348671672334 0.0459877902559403 0.0202306609774612 -0.0032079400733941 0.000472054124280479 0.0466613287115868 0.00851136045203353
"FCz" 0.00119945098231564 0.00100697358470523 0.0451265295591584 0.044934052161548 0.0239043355737638 0.0199751163213265 0.00110321228351043 0.0450302908603532 0.0219397259475451
"Cz" -0.00124235814243058 0.000928280444594135 0.0456311693975006 0.0478018079845253 -0.0208239736394434 0.0156467880699208 -0.000157038848918223 0.046716488691013 -0.00258859278476134
"C2" 0.000879281370166754 -0.000277836991689262 0.0473419119483557 0.0461847935864997 0.0146465970774728 -0.00427708383224206 0.000300722189238746 0.0467633527674277 0.00518475662261537
"C4" -0.000184653598049221 -0.0019102956690219 0.0482151534722583 0.0464895114012856 -0.00307654002306365 -0.0387791612401707 -0.00104747463353556 0.0473523324367719 -0.0209278506316172
