"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.94 0.678 0 0 0.94 0.678 0.708 0 0.708
"AF7" 0.586 0.838 0 0 0.586 0.838 0.63 0 0.63
"AF3" 0.274 0.454 0 0 0.274 0.454 0.26 0 0.26
"F1" 0.046 0.458 0 0 0.046 0.458 0.05 0 0.05
"F3" 0.532 0.164 0 0 0.532 0.164 0.17 0 0.17
"F5" 0.258 0.074 0 0 0.258 0.074 0.07 0 0.07
"F7" 0.074 0.162 0 0 0.074 0.162 0.018 0 0.018
"FT7" 0.292 0.142 0 0 0.292 0.142 0.08 0 0.08
"FC5" 0.84 0.152 0 0 0.84 0.152 0.164 0 0.164
"FC3" 0.188 0.002 0 0 0.188 0.002 0 0 0
"FC1" 0.01 0.012 0 0 0.01 0.012 0 0 0
"C1" 0.036 0.028 0 0 0.036 0.028 0.018 0 0.018
"C3" 0.134 0 0 0 0.134 0 0 0 0
"C5" 0.4 0.214 0 0 0.4 0.214 0.186 0 0.186
"T7" 0.52 0.806 0 0 0.52 0.806 0.754 0 0.754
"TP7" 0.648 0.602 0 0 0.648 0.602 0.942 0 0.942
"CP5" 0.914 0.892 0 0 0.914 0.892 0.862 0 0.862
"CP3" 0.93 0.97 0 0 0.93 0.97 0.93 0 0.93
"CP1" 0.628 0.492 0 0 0.628 0.492 0.796 0 0.796
"P1" 0.972 0.726 0 0 0.972 0.726 0.754 0 0.754
"P3" 0.064 0.366 0 0 0.064 0.366 0.068 0 0.068
"P5" 0.596 0.148 0 0 0.596 0.148 0.178 0 0.178
"P7" 0.72 0.156 0 0 0.72 0.156 0.18 0 0.18
"P9" 0.48 0.538 0 0 0.48 0.538 0.43 0 0.43
"PO7" 0.414 0.22 0 0 0.414 0.22 0.222 0 0.222
"PO3" 0.534 0.492 0 0 0.534 0.492 0.492 0 0.492
"O1" 0.868 0.502 0 0 0.868 0.502 0.532 0 0.532
"Iz" 0.962 0.068 0 0 0.962 0.068 0.078 0 0.078
"Oz" 0.464 0.446 0 0 0.464 0.446 0.434 0 0.434
"POz" 0.11 0.012 0 0 0.11 0.012 0.01 0 0.01
"Pz" 0.25 0.132 0 0 0.25 0.132 0.132 0 0.132
"CPz" 0.716 0.018 0 0 0.716 0.018 0.088 0 0.088
"Fpz" 0.464 0.288 0 0 0.464 0.288 0.28 0 0.28
"Fp2" 0.52 0.846 0 0 0.52 0.846 0.544 0 0.544
"AF8" 0 0 0 0 0 0 0 0 0
"AF4" 0.038 0.038 0 0 0.038 0.038 0.038 0 0.038
"AFz" 0.148 0.126 0 0 0.148 0.126 0.1 0 0.1
"Fz" 0.046 0.018 0 0 0.046 0.018 0.016 0 0.016
"F2" 0.026 0.044 0 0 0.026 0.044 0.02 0 0.02
"F4" 0.056 0.262 0 0 0.056 0.262 0.052 0 0.052
"F6" 0.016 0.06 0 0 0.016 0.06 0.002 0 0.002
"F8" 0.154 0.12 0 0 0.154 0.12 0.12 0 0.12
"FT8" 0.016 0.016 0 0 0.016 0.016 0.016 0 0.016
"FC6" 0.256 0.014 0 0 0.256 0.014 0.01 0 0.01
"FC4" 0.018 0.234 0 0 0.018 0.234 0.008 0 0.008
"FC2" 0.102 0.034 0 0 0.102 0.034 0.034 0 0.034
"FCz" 0.83 0.028 0 0 0.83 0.028 0.054 0 0.054
"Cz" 0.238 0.208 0 0 0.238 0.208 0.184 0 0.184
"C2" 0.828 0.772 0 0 0.828 0.772 0.746 0 0.746
"C4" 0.202 0.066 0 0 0.202 0.066 0.042 0 0.042
"C6" 0.018 0.584 0 0 0.018 0.584 0.156 0 0.156
"T8" 0.824 0.596 0 0 0.824 0.596 0.572 0 0.572
"TP8" 0.534 0.67 0 0 0.534 0.67 0.888 0 0.888
"CP6" 0.528 0.846 0 0 0.528 0.846 0.566 0 0.566
"CP4" 0.278 0.59 0 0 0.278 0.59 0.284 0 0.284
"CP2" 0.99 0.176 0 0 0.99 0.176 0.344 0 0.344
"P2" 0.758 0.164 0 0 0.758 0.164 0.202 0 0.202
"P4" 0.188 0.08 0 0 0.188 0.08 0.04 0 0.04
"P6" 0.136 0 0 0 0.136 0 0 0 0
"P8" 0.174 0.06 0 0 0.174 0.06 0.02 0 0.02
"P10" 0.078 0.454 0 0 0.078 0.454 0.076 0 0.076
"PO8" 0.148 0.15 0 0 0.148 0.15 0.048 0 0.048
"PO4" 0.002 0 0 0 0.002 0 0 0 0
"O2" 0.428 0.012 0 0 0.428 0.012 0.02 0 0.02
