"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.714 0.714 0 0 0.714 0.714 0.714 0 0.714
"AF7" 0.634 0.634 0 0 0.634 0.634 0.634 0 0.634
"AF3" 0.266 0.266 0 0 0.266 0.266 0.266 0 0.266
"F1" 0.052 0.052 0 0 0.052 0.052 0.052 0 0.052
"F3" 0.16 0.16 0 0 0.16 0.16 0.16 0 0.16
"F5" 0.062 0.062 0 0 0.062 0.062 0.062 0 0.062
"F7" 0.016 0.016 0 0 0.016 0.016 0.016 0 0.016
"FT7" 0.094 0.094 0 0 0.094 0.094 0.094 0 0.094
"FC5" 0.196 0.196 0 0 0.196 0.196 0.196 0 0.196
"FC3" 0 0 0 0 0 0 0 0 0
"FC1" 0 0 0 0 0 0 0 0 0
"C1" 0.024 0.024 0 0 0.024 0.024 0.024 0 0.024
"C3" 0.002 0.002 0 0 0.002 0.002 0.002 0 0.002
"C5" 0.176 0.176 0 0 0.176 0.176 0.176 0 0.176
"T7" 0.83 0.83 0 0 0.83 0.83 0.83 0 0.83
"TP7" 0.914 0.914 0 0 0.914 0.914 0.914 0 0.914
"CP5" 0.838 0.838 0 0 0.838 0.838 0.838 0 0.838
"CP3" 0.94 0.94 0 0 0.94 0.94 0.94 0 0.94
"CP1" 0.722 0.722 0 0 0.722 0.722 0.722 0 0.722
"P1" 0.754 0.754 0 0 0.754 0.754 0.754 0 0.754
"P3" 0.048 0.048 0 0 0.048 0.048 0.048 0 0.048
"P5" 0.208 0.208 0 0 0.208 0.208 0.208 0 0.208
"P7" 0.168 0.168 0 0 0.168 0.168 0.168 0 0.168
"P9" 0.364 0.364 0 0 0.364 0.364 0.364 0 0.364
"PO7" 0.208 0.208 0 0 0.208 0.208 0.208 0 0.208
"PO3" 0.454 0.454 0 0 0.454 0.454 0.454 0 0.454
"O1" 0.552 0.552 0 0 0.552 0.552 0.552 0 0.552
"Iz" 0.112 0.112 0 0 0.112 0.112 0.112 0 0.112
"Oz" 0.4 0.4 0 0 0.4 0.4 0.4 0 0.4
"POz" 0.01 0.01 0 0 0.01 0.01 0.01 0 0.01
"Pz" 0.19 0.19 0 0 0.19 0.19 0.19 0 0.19
"CPz" 0.056 0.056 0 0 0.056 0.056 0.056 0 0.056
"Fpz" 0.276 0.276 0 0 0.276 0.276 0.276 0 0.276
"Fp2" 0.624 0.624 0 0 0.624 0.624 0.624 0 0.624
"AF8" 0 0 0 0 0 0 0 0 0
"AF4" 0.04 0.04 0 0 0.04 0.04 0.04 0 0.04
"AFz" 0.112 0.112 0 0 0.112 0.112 0.112 0 0.112
"Fz" 0.022 0.022 0 0 0.022 0.022 0.022 0 0.022
"F2" 0.018 0.018 0 0 0.018 0.018 0.018 0 0.018
"F4" 0.052 0.052 0 0 0.052 0.052 0.052 0 0.052
"F6" 0.002 0.002 0 0 0.002 0.002 0.002 0 0.002
"F8" 0.102 0.102 0 0 0.102 0.102 0.102 0 0.102
"FT8" 0.02 0.02 0 0 0.02 0.02 0.02 0 0.02
"FC6" 0.012 0.012 0 0 0.012 0.012 0.012 0 0.012
"FC4" 0.014 0.014 0 0 0.014 0.014 0.014 0 0.014
"FC2" 0.05 0.05 0 0 0.05 0.05 0.05 0 0.05
"FCz" 0.032 0.032 0 0 0.032 0.032 0.032 0 0.032
"Cz" 0.186 0.186 0 0 0.186 0.186 0.186 0 0.186
"C2" 0.728 0.728 0 0 0.728 0.728 0.728 0 0.728
"C4" 0.036 0.036 0 0 0.036 0.036 0.036 0 0.036
"C6" 0.134 0.134 0 0 0.134 0.134 0.134 0 0.134
"T8" 0.576 0.576 0 0 0.576 0.576 0.576 0 0.576
"TP8" 0.822 0.822 0 0 0.822 0.822 0.822 0 0.822
"CP6" 0.558 0.558 0 0 0.558 0.558 0.558 0 0.558
"CP4" 0.276 0.276 0 0 0.276 0.276 0.276 0 0.276
"CP2" 0.292 0.292 0 0 0.292 0.292 0.292 0 0.292
"P2" 0.196 0.196 0 0 0.196 0.196 0.196 0 0.196
"P4" 0.046 0.046 0 0 0.046 0.046 0.046 0 0.046
"P6" 0.002 0.002 0 0 0.002 0.002 0.002 0 0.002
"P8" 0.022 0.022 0 0 0.022 0.022 0.022 0 0.022
"P10" 0.072 0.072 0 0 0.072 0.072 0.072 0 0.072
"PO8" 0.042 0.042 0 0 0.042 0.042 0.042 0 0.042
"PO4" 0 0 0 0 0 0 0 0 0
"O2" 0.026 0.026 0 0 0.026 0.026 0.026 0 0.026
