"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.5922 0.4764 0 0 0.5922 0.4764 0.8822 0 0.8822
"AF7" 0.6816 0.694 0 0 0.6816 0.694 0.6382 0 0.6382
"AF3" 0.9482 0.8094 0 0 0.9482 0.8094 0.9188 0 0.9188
"F1" 0.0142 0.0164 0 0 0.0142 0.0164 0.0114 0 0.0114
"F3" 0.1004 0.234 0 0 0.1004 0.234 0.1012 0 0.1012
"F5" 0.345 0.4106 0 0 0.345 0.4106 0.3442 0 0.3442
"F7" 0.1482 0.032 0 0 0.1482 0.032 0.0288 0 0.0288
"FT7" 0.5512 0.7926 0 0 0.5512 0.7926 0.7854 0 0.7854
"FC5" 0.018 0.0382 0 2e-04 0.018 0.0382 0.0076 2e-04 0.0076
"FC3" 0 0.0024 2e-04 0.005 2e-04 0.0026 0 0.001 2e-04
"FC1" 6e-04 8e-04 0 4e-04 6e-04 8e-04 6e-04 0 6e-04
"C1" 0.0064 0.0284 0 0 0.0064 0.0284 0.0046 0 0.0046
"C3" 0.0284 0.0408 0 6e-04 0.0284 0.0408 0.006 2e-04 0.006
"C5" 0.3742 0.0454 2e-04 0 0.3742 0.0454 0.0948 0 0.0948
"T7" 0.2368 0.223 0 0 0.2368 0.223 0.8906 0 0.8906
"TP7" 0.9614 0.9192 0 0 0.9614 0.9192 0.975 0 0.975
"CP5" 0.412 0.899 0 0 0.412 0.899 0.596 0 0.596
"CP3" 0.8316 0.162 0 0 0.8316 0.162 0.46 0 0.46
"CP1" 0.7098 0.3626 0 0 0.7098 0.3626 0.4496 0 0.4496
"P1" 0.5262 0.039 0 2e-04 0.5262 0.039 0.085 0 0.085
"P3" 0.9018 0.1834 0 0 0.9018 0.1834 0.26 0 0.26
"P5" 0.8594 0.9514 0 0 0.8594 0.9514 0.9174 0 0.9174
"P7" 0.8316 0.7312 0 0 0.8316 0.7312 0.719 0 0.719
"P9" 0.8396 0.9366 0 0 0.8396 0.9366 0.9376 0 0.9376
"PO7" 0.115 0.1508 0 0 0.115 0.1508 0.0904 0 0.0904
"PO3" 0.8974 0.422 0 0 0.8974 0.422 0.4558 0 0.4558
"O1" 4e-04 0.3374 0 0 4e-04 0.3374 0.0466 0 0.0466
"Oz" 0.7026 0.7004 0 0 0.7026 0.7004 0.7002 0 0.7002
"POz" 0.2698 0.0466 0 2e-04 0.2698 0.0466 0.0272 0 0.0272
"Pz" 0.8902 0.897 0 0 0.8902 0.897 0.9384 0 0.9384
"CPz" 0.2552 0.0552 2e-04 0 0.2552 0.0552 0.817 0 0.817
"Fpz" 0.9706 0.6616 0 0 0.9706 0.6616 0.6654 0 0.6654
"Fp2" 0.5714 0.3974 0 0 0.5714 0.3974 0.399 0 0.399
"AF8" 0.4554 0.8414 0 0 0.4554 0.8414 0.4852 0 0.4852
"AF4" 0.9012 0.8978 0 0 0.9012 0.8978 0.8982 0 0.8982
"AFz" 0.993 0.524 0 0 0.993 0.524 0.5736 0 0.5736
"Fz" 0.3294 0.329 0 0 0.3294 0.329 0.329 0 0.329
"F2" 0.3358 0.3354 0 0 0.3358 0.3354 0.3322 0 0.3322
"F4" 0.224 0.3458 0 0 0.224 0.3458 0.2164 0 0.2164
"F6" 0.087 0.1212 0 0 0.087 0.1212 0.087 0 0.087
"F8" 0.0354 0.479 0 0 0.0354 0.479 0.0638 0 0.0638
"FT8" 0.4666 0.4602 0 0 0.4666 0.4602 0.362 0 0.362
"FC6" 0.0612 0.4414 0 2e-04 0.0612 0.4414 0.0796 0 0.0796
"FC4" 0.0032 0.491 0 4e-04 0.0032 0.491 0.0084 0 0.0084
"FC2" 0.207 0.209 0 0 0.207 0.209 0.207 0 0.207
"FCz" 0.7224 0.7224 0 0 0.7224 0.7224 0.7224 0 0.7224
"Cz" 0.485 0.4836 0 0 0.485 0.4836 0.4836 0 0.4836
"C2" 0.4908 0.4942 0 0 0.4908 0.4942 0.4908 0 0.4908
"C4" 0.0664 0.0352 0 0 0.0664 0.0352 0.0188 0 0.0188
"C6" 0.6816 0.1788 0 0 0.6816 0.1788 0.2874 0 0.2874
"T8" 0.2912 0.8452 0 0 0.2912 0.8452 0.4586 0 0.4586
"TP8" 0.3716 0.3656 0 0 0.3716 0.3656 0.2676 0 0.2676
"CP6" 0.0502 0.112 0 0 0.0502 0.112 0.0148 0 0.0148
"CP4" 0.9664 0.6906 0 0 0.9664 0.6906 0.7556 0 0.7556
"CP2" 0.5734 0.1154 0 0 0.5734 0.1154 0.5092 0 0.5092
"P2" 0.6678 0.023 0 0 0.6678 0.023 0.0458 0 0.0458
"P4" 0.854 0.782 0 0 0.854 0.782 0.7868 0 0.7868
"P6" 0.3208 0.0052 0 0 0.3208 0.0052 0.0158 0 0.0158
"P8" 0.5356 0.5716 0 0 0.5356 0.5716 0.5284 0 0.5284
"P10" 0.992 0.5788 0 0 0.992 0.5788 0.6956 0 0.6956
"PO8" 0.0144 0.054 0 0 0.0144 0.054 0.0144 0 0.0144
"PO4" 0.8834 0.6794 0 0 0.8834 0.6794 0.7074 0 0.7074
"O2" 0.005 0.0048 2e-04 2e-04 0.005 0.0048 0.0048 2e-04 0.0048
