"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000128316461902814 3.51463765573018e-05 0.00845357978193363 0.00836040969658811 0.0122786776232868 0.00172523985809726 8.17314192300577e-05 0.00840699473926087 0.007001958740692
"AF7" -0.000203515851749875 -5.38618781211046e-05 0.00839574957197823 0.008545403545607 -0.0209410803970394 -0.00397851065469468 -0.00012868886493549 0.00847057655879262 -0.0124597955258671
"AF3" -0.000113284000643553 -2.68981621562824e-05 0.00844096043726989 0.00852734627575717 -0.0116285725269096 -0.00121683730907448 -7.00910813999175e-05 0.00848415335651353 -0.00642270491799202
"F1" 1.00116318702224e-05 -5.10460147348328e-05 0.00840338407704476 0.0083423264304397 0.000321713614852951 -0.00462485661236575 -2.05171914323052e-05 0.00837285525374223 -0.0021515714987564
"F3" -2.45796313630151e-06 8.26803708387678e-07 0.00843264501345698 0.00843592978030167 -0.000169063533495142 -5.32746775196719e-05 -8.15579713956914e-07 0.00843428739687933 -0.000111169105507407
"F5" -3.47569913615674e-05 -1.07371120407453e-05 0.00837125487726787 0.00839527475658869 -0.00217267147420563 -0.000331942590902703 -2.27470517011563e-05 0.00838326481692828 -0.00125230703255417
"F7" -0.000228554429056091 -0.000111754284559389 0.00853356082135213 0.00865036096584883 -0.0252293360672114 -0.0121721358128846 -0.00017015435680774 0.00859196089360048 -0.018700735940048
"FT7" -0.00017657663574866 0.000258531438873611 0.00835180186011852 0.00878690993474079 -0.018751546685378 0.028316270575384 4.09774015624758e-05 0.00856935589742966 0.00478236194500297
"FC5" -3.18192858122002e-06 -1.22971711284454e-06 0.00841930630807535 0.00842125851954372 7.47296050200844e-06 1.06980696768004e-05 -2.20582284703228e-06 0.00842028241380954 9.08551508940442e-06
"FC3" 2.25513885196508e-05 -9.13420360971891e-05 0.00870970904253338 0.00859581561791654 0.00196570468305921 -0.00874721238946449 -3.43953237887692e-05 0.00865276233022496 -0.00339075385320264
"FC1" 2.37420167495775e-05 -0.000156072543802247 0.00857797716417989 0.00839816260362807 0.00198611487486658 -0.0160027616764581 -6.61652635263346e-05 0.00848806988390398 -0.00700832340079575
"C1" -2.34033779437325e-06 -7.91071900992572e-05 0.00843760711347916 0.00836084026117428 -9.30800014328316e-05 -0.00721584708390405 -4.07237639468152e-05 0.00839922368732672 -0.00365446354266844
"C3" 2.5903229310704e-06 -0.000189865013219651 0.00870014952594012 0.0085076941897894 0.000292361775140061 -0.0195532402853686 -9.36373451442901e-05 0.00860392185786476 -0.00963043925511426
"C5" -2.98033570869488e-06 -1.67024859491294e-05 0.00849244399782757 0.00847872184758713 -5.409761454429e-05 -0.000728447480037837 -9.84141082891212e-06 0.00848558292270735 -0.000391272547291063
"T7" -0.00028663778354716 -3.379613402334e-05 0.00836470862885055 0.00861755027837437 -0.0322079111960523 -0.00367239034983586 -0.00016021695878525 0.00849112945361246 -0.0179401507729441
"TP7" 3.10195728576098e-06 -9.58937057164432e-07 0.00839878139136443 0.00839472049702151 0.00012482883541328 0.000318531580710603 1.07151011429827e-06 0.00839675094419297 0.000221680208061942
"CP5" 3.77129156057373e-06 1.11505203737069e-06 0.00813404910176951 0.00813139286224631 0.000114262714307528 2.41011814620884e-05 2.44317179897221e-06 0.00813272098200791 6.9181947884808e-05
"CP3" -3.68879564419224e-06 -7.703981334235e-07 0.00849797173654922 0.00850089013405999 -7.96735305249581e-05 1.90138407034374e-05 -2.22959688880787e-06 0.0084994309353046 -3.03298449107604e-05
"CP1" 3.37126665597752e-05 2.0908278040423e-05 0.00847078953600001 0.00845798514748066 0.0015709762738165 0.000710341479226088 2.73104723000991e-05 0.00846438734174033 0.0011406588765213
"P1" 5.64706834837298e-05 0.000158135924516653 0.00809156849049127 0.00819323373152419 0.00466237487453344 0.016426290746713 0.000107303304000191 0.00814240111100773 0.0105443328106232
"P3" -8.89877028004815e-05 -9.97003370069895e-05 0.00849680107505439 0.00848608844084788 -0.00880789573252475 -0.00923466871884415 -9.43440199037355e-05 0.00849144475795113 -0.00902128222568445
"P5" -0.000172018572203487 0.000116830770255983 0.00841777139331647 0.00870662073577594 -0.0176594540169763 0.012423252932407 -2.75939009737522e-05 0.00856219606454621 -0.00261810054228467
"P7" 1.33314481943074e-05 -5.68811379109077e-06 0.00839272175923961 0.00837370219725421 0.000729002539817674 -0.000329307798523703 3.82166720160832e-06 0.00838321197824691 0.000199847370646986
