"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 9.7984661400389e-05 9.7984661400389e-05 0.00831480992090828 0.00831480992090828 0.0141420325946361 0.0141420325946361 9.7984661400389e-05 0.00831480992090828 0.0141420325946361
"AF7" -0.00011366865056385 -0.00011366865056385 0.0080185960570901 0.0080185960570901 -0.0149746770734929 -0.0149746770734929 -0.00011366865056385 0.0080185960570901 -0.0149746770734929
"AF3" -7.16500802864279e-05 -7.16500802864278e-05 0.00869394684959786 0.00869394684959786 -0.00684048484261456 -0.00684048484261456 -7.16500802864278e-05 0.00869394684959786 -0.00684048484261456
"F1" -1.0721952773098e-05 -1.0721952773098e-05 0.0081661628869446 0.0081661628869446 -0.000429143749188836 -0.000429143749188931 -1.0721952773098e-05 0.0081661628869446 -0.000429143749188883
"F3" 9.36516585497598e-06 9.36516585497597e-06 0.0077104227732496 0.0077104227732496 7.95282946266748e-05 7.95282946266748e-05 9.36516585497597e-06 0.0077104227732496 7.95282946266748e-05
"F5" -1.89443053939134e-05 -1.89443053939134e-05 0.00868480451633208 0.00868480451633208 -0.000920452577168716 -0.000920452577168716 -1.89443053939134e-05 0.00868480451633208 -0.000920452577168716
"F7" -0.000167542177516598 -0.000167542177516598 0.00814845684952278 0.00814845684952278 -0.0166482622645559 -0.0166482622645559 -0.000167542177516598 0.00814845684952278 -0.0166482622645559
"FT7" 6.54543112720983e-05 6.54543112720983e-05 0.00830900921999064 0.00830900921999064 0.00912254366308158 0.00912254366308158 6.54543112720983e-05 0.00830900921999064 0.00912254366308158
"FC5" -5.26991896532308e-06 -5.26991896532308e-06 0.009003267104915 0.009003267104915 -0.000143568410744469 -0.000143568410744469 -5.26991896532308e-06 0.009003267104915 -0.000143568410744469
"FC3" -3.10781540944417e-05 -3.10781540944417e-05 0.00868441674403718 0.00868441674403718 -0.00127219716709312 -0.00127219716709312 -3.10781540944417e-05 0.00868441674403718 -0.00127219716709312
"FC1" -6.63139201997667e-05 -6.63139201997667e-05 0.00889808777540006 0.00889808777540006 -0.0048114280225439 -0.0048114280225439 -6.63139201997667e-05 0.00889808777540006 -0.0048114280225439
"C1" -3.82009534942431e-05 -3.82009534942431e-05 0.00839174187101889 0.00839174187101889 -0.00205073334071495 -0.00205073334071495 -3.82009534942431e-05 0.00839174187101889 -0.00205073334071495
"C3" -8.82776535092653e-05 -8.82776535092652e-05 0.00809872559560852 0.00809872559560852 -0.00793021667298731 -0.00793021667298732 -8.82776535092652e-05 0.00809872559560852 -0.00793021667298731
"C5" -1.7168688527379e-05 -1.71686885273791e-05 0.00880633167852724 0.00880633167852724 -0.000734400103287655 -0.000734400103287645 -1.7168688527379e-05 0.00880633167852724 -0.00073440010328765
"T7" -0.000154543067414317 -0.000154543067414317 0.00889853648199654 0.00889853648199654 -0.0147096954453252 -0.0147096954453252 -0.000154543067414317 0.00889853648199654 -0.0147096954453252
"TP7" -7.95018308794216e-06 -7.95018308794207e-06 0.00807030711704002 0.00807030711704002 -0.000552319936894077 -0.000552319936894031 -7.95018308794212e-06 0.00807030711704002 -0.000552319936894054
"CP5" 6.26394990424172e-06 6.26394990424173e-06 0.00856210538296454 0.00856210538296454 0.000526451278929218 0.000526451278929218 6.26394990424173e-06 0.00856210538296454 0.000526451278929218
"CP3" 3.2057138763708e-06 3.20571387637081e-06 0.00839298576366096 0.00839298576366096 -0.000196984031433303 -0.000196984031433303 3.2057138763708e-06 0.00839298576366096 -0.000196984031433303
"CP1" 2.03508944178703e-05 2.03508944178703e-05 0.00882323716443872 0.00882323716443872 0.00102072229856516 0.00102072229856516 2.03508944178703e-05 0.00882323716443872 0.00102072229856516
"P1" 9.45639465273882e-05 9.45639465273881e-05 0.00833499196925996 0.00833499196925996 0.00801651583447689 0.00801651583447691 9.45639465273882e-05 0.00833499196925996 0.0080165158344769
"P3" -7.60953406503324e-05 -7.60953406503325e-05 0.00814122981900007 0.00814122981900007 -0.00776826354955354 -0.00776826354955356 -7.60953406503325e-05 0.00814122981900007 -0.00776826354955355
"P5" -4.19725278705728e-05 -4.19725278705728e-05 0.0077599911163623 0.0077599911163623 -0.0028383960491202 -0.0028383960491202 -4.19725278705728e-05 0.0077599911163623 -0.0028383960491202
"P7" 3.0719438628096e-06 3.07194386280961e-06 0.00834985000563013 0.00834985000563013 0.000191359782551785 0.000191359782551732 3.07194386280961e-06 0.00834985000563013 0.000191359782551759
"P9" -1.86187077300884e-05 -1.86187077300884e-05 0.00905926081135409 0.00905926081135409 -9.74314163291841e-05 -9.74314163291841e-05 -1.86187077300884e-05 0.00905926081135409 -9.74314163291841e-05
"PO7" -2.55016560129256e-05 -2.55016560129256e-05 0.0085847671331723 0.0085847671331723 -0.00150522096741673 -0.00150522096741673 -2.55016560129256e-05 0.0085847671331723 -0.00150522096741673
"PO3" 1.0173886537722e-05 1.0173886537722e-05 0.00807158666203937 0.00807158666203937 0.000279922611340856 0.000279922611340856 1.0173886537722e-05 0.00807158666203937 0.000279922611340856
"O1" -5.15892540771866e-05 -5.15892540771866e-05 0.00823522575755856 0.00823522575755856 -0.00478161544883513 -0.00478161544883513 -5.15892540771866e-05 0.00823522575755856 -0.00478161544883513
"Iz" -1.53610897199854e-06 -1.53610897199853e-06 0.00899694993614864 0.00899694993614864 -1.93889845573066e-05 -1.93889845573066e-05 -1.53610897199853e-06 0.00899694993614864 -1.93889845573066e-05
"Oz" -3.16182071076746e-05 -3.16182071076745e-05 0.00896752995598786 0.00896752995598786 -0.00172007149092813 -0.00172007149092813 -3.16182071076746e-05 0.00896752995598786 -0.00172007149092813
"POz" -5.12624411693293e-05 -5.12624411693293e-05 0.00829349448855943 0.00829349448855943 -0.00529837054925826 -0.00529837054925826 -5.12624411693293e-05 0.00829349448855943 -0.00529837054925826
"Pz" 0.000131670051970191 0.000131670051970191 0.00821981807115016 0.00821981807115016 0.0142855090791068 0.0142855090791068 0.000131670051970191 0.00821981807115016 0.0142855090791068
"CPz" -8.45291417333766e-06 -8.45291417333766e-06 0.00844144468791851 0.00844144468791851 -0.000490252419820659 -0.000490252419820659 -8.45291417333766e-06 0.00844144468791851 -0.000490252419820659
"Fpz" -4.36860585603046e-05 -4.36860585603045e-05 0.00821684420868464 0.00821684420868464 -0.00448872969950313 -0.00448872969950313 -4.36860585603046e-05 0.00821684420868464 -0.00448872969950313
"Fp2" -1.28538234907995e-06 -1.28538234907992e-06 0.00784382566450096 0.00784382566450096 -0.000293446782292559 -0.000293446782292559 -1.28538234907993e-06 0.00784382566450096 -0.000293446782292559
