"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -5.38403582180853e-05 -0.000351550772943961 0.0132307929285638 0.0129330825138379 -0.00121679449274576 -0.0180938154856377 -0.000202695565581023 0.0130819377212009 -0.00965530498919171
"AF7" 0.000146879021082367 -0.000130636177368012 0.0130109848327274 0.0127334696342771 0.00480405548984598 -0.00403620949726398 8.12142185717746e-06 0.0128722272335023 0.000383922996290999
"AF3" -0.000185819766826849 4.46253813519924e-05 0.0128146287721027 0.0130450739202815 -0.00653464939496635 0.000983009573746891 -7.05971927374282e-05 0.0129298513461921 -0.00277581991060973
"F1" 0.000736817470321306 0.00136996033022185 0.0115580424190177 0.0121911852789183 0.0496394966386317 0.0979377806170869 0.00105338890027158 0.011874613848968 0.0737886386278593
"F3" 0.000613620637291601 0.000398522931125489 0.0125048994022814 0.0122898016961153 0.0364941569624682 0.0236082371779317 0.000506071784208545 0.0123973505491983 0.0300511970701999
"F5" 0.000220027055767169 0.00041556182414034 0.0124500908951803 0.0126456256635535 0.00936247120548468 0.0244676984256728 0.000317794439953755 0.0125478582793669 0.0169150848155788
"F7" 0.00107248865424054 0.001231401025544 0.0117082829735112 0.0118671953448147 0.0760090960308146 0.0872243260827597 0.00115194483989227 0.0117877391591629 0.0816167110567871
"FT7" -0.00107083954442105 0.00065628121359176 0.0123866734395711 0.0141137941975839 -0.0765704077521774 0.0473328766828129 -0.000207279165414646 0.0132502338185775 -0.0146187655346823
"FC5" 0.00135249867313573 0.000734231853939196 0.0121289962476597 0.0115107294284632 0.0983093071367284 0.0518106852959979 0.00104336526353746 0.0118198628380615 0.0750599962163631
"FC3" 0.00471909147337336 0.00241877468604397 0.0105345061255712 0.0082341893382418 0.352491938726795 0.179787015401862 0.00356893307970866 0.0093843477319065 0.266139477064329
"FC1" 0.00160694130151762 0.00183034895662411 0.011199360214652 0.0114227678697585 0.115043945496371 0.131960996091168 0.00171864512907086 0.0113110640422053 0.12350247079377
"C1" -0.000290466969801459 0.000243818447243433 0.0128511306059018 0.0133854160229467 -0.0186170711648732 0.0152086341219068 -2.3324261279013e-05 0.0131182733144242 -0.0017042185214832
"C3" 0.00183263159811851 0.00151965500433623 0.0114693678642456 0.0111563912704633 0.134151371051431 0.11140273490578 0.00167614330122737 0.0113128795673544 0.122777052978606
"C5" -0.000120139260636829 0.000403706359877898 0.0124233873948799 0.0129472330153947 -0.00993152139001371 0.0298125020131762 0.000141783549620535 0.0126853102051373 0.00994049031158124
"T7" 8.92731855510863e-05 0.00113670584690474 0.0116881364256441 0.0127355690869977 0.00754783935354018 0.0823131055119041 0.000612989516227912 0.0122118527563209 0.0449304724327221
"TP7" -6.6939494237632e-06 2.49936249971622e-06 0.0128265132853925 0.012835706597316 -8.74185925094772e-05 0.000121688878944574 -2.09729346202349e-06 0.0128311099413542 1.71351432175483e-05
"CP5" 0.000605885647461362 -0.000263243551383321 0.013173756265625 0.0123046270667803 0.0358049835797268 -0.0129268305958752 0.00017132104803902 0.0127391916662026 0.0114390764919258
