"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.362 0.698 0.01 0.01 0.372 0.704 0.372 0.01 0.382
"AF7" 0.23 0.534 0.022 0.02 0.248 0.536 0.23 0.022 0.248
"AF3" 0.44 0.742 0.018 0.018 0.444 0.754 0.436 0.018 0.44
"F1" 0.992 0.714 0.02 0.02 0.986 0.72 0.804 0.02 0.81
"F3" 0.954 0.97 0.014 0.016 0.956 0.976 0.958 0.016 0.96
"F5" 0.658 0.928 0.024 0.022 0.662 0.936 0.716 0.024 0.724
"F7" 0.25 0.516 0.022 0.024 0.266 0.532 0.212 0.022 0.232
"FT7" 0.298 0.148 0.03 0.022 0.318 0.172 0.77 0.026 0.766
"FC5" 0.99 0.996 0.028 0.028 0.994 0.992 0.984 0.028 0.98
"FC3" 0.872 0.544 0.014 0.018 0.872 0.556 0.742 0.014 0.742
"FC1" 0.876 0.316 0.028 0.034 0.884 0.34 0.544 0.032 0.564
"C1" 0.968 0.448 0.016 0.018 0.968 0.452 0.544 0.016 0.552
"C3" 0.95 0.138 0.014 0.016 0.954 0.142 0.236 0.014 0.24
"C5" 0.966 0.8 0.018 0.018 0.964 0.806 0.86 0.018 0.862
"T7" 0.092 0.824 0.022 0.018 0.11 0.822 0.172 0.02 0.186
"TP7" 0.952 0.976 0.024 0.024 0.944 0.96 0.964 0.024 0.948
"CP5" 0.968 0.994 0.03 0.03 0.97 0.988 0.946 0.03 0.936
"CP3" 0.97 0.998 0.024 0.024 0.97 0.994 0.972 0.024 0.976
"CP1" 0.69 0.838 0.022 0.022 0.692 0.844 0.672 0.022 0.674
"P1" 0.556 0.204 0.032 0.022 0.568 0.224 0.228 0.024 0.248
"P3" 0.508 0.558 0.018 0.018 0.514 0.568 0.37 0.018 0.38
"P5" 0.24 0.506 0.026 0.024 0.264 0.522 0.824 0.024 0.824
"P7" 0.846 0.91 0.024 0.024 0.85 0.91 0.95 0.024 0.95
"P9" 0.836 0.91 0.014 0.014 0.838 0.92 0.858 0.014 0.864
"PO7" 0.588 0.934 0.014 0.014 0.596 0.942 0.798 0.016 0.798
"PO3" 0.842 0.88 0.024 0.022 0.848 0.89 0.952 0.022 0.942
"O1" 0.516 0.47 0.018 0.018 0.524 0.482 0.398 0.018 0.414
"Iz" 0.986 0.982 0.018 0.018 0.988 0.98 0.978 0.018 0.98
"Oz" 0.59 0.868 0.02 0.022 0.594 0.868 0.714 0.02 0.718
"POz" 0.628 0.236 0.022 0.024 0.644 0.256 0.556 0.024 0.56
"Pz" 0.324 0.328 0.038 0.036 0.356 0.36 0.188 0.036 0.224
"CPz" 0.996 0.696 0.02 0.02 0.996 0.7 0.734 0.02 0.734
"Fpz" 0.516 0.99 0.006 0.004 0.522 0.992 0.556 0.006 0.562
"Fp2" 0.314 0.362 0.01 0.01 0.312 0.364 0.972 0.01 0.97
"AF8" 0.614 0.97 0.042 0.042 0.624 0.964 0.662 0.042 0.664
"AF4" 0.394 0.556 0.016 0.016 0.404 0.562 0.846 0.016 0.856
"AFz" 0.204 0.592 0.034 0.034 0.226 0.598 0.22 0.034 0.238
"Fz" 0.87 0.872 0.02 0.02 0.858 0.872 0.986 0.02 0.978
"F2" 0.476 0.908 0.02 0.02 0.484 0.908 0.59 0.02 0.602
"F4" 0.206 0.08 0.02 0.008 0.216 0.09 0.746 0.012 0.752
"F6" 0.566 0.826 0.024 0.024 0.57 0.838 0.556 0.026 0.564
"F8" 0.696 0.818 0.026 0.026 0.712 0.81 0.676 0.026 0.684
"FT8" 0.798 0.676 0.014 0.016 0.806 0.692 0.678 0.014 0.686
"FC6" 0.678 0.392 0.02 0.02 0.688 0.402 0.408 0.02 0.414
"FC4" 0.582 0.55 0.028 0.026 0.59 0.558 0.422 0.028 0.422
"FC2" 0.658 0.98 0.02 0.02 0.662 0.984 0.782 0.02 0.778
"FCz" 0.934 0.998 0.032 0.032 0.926 0.994 0.95 0.032 0.946
"Cz" 0.802 0.876 0.01 0.01 0.804 0.87 0.938 0.01 0.94
"C2" 0.974 0.98 0.022 0.024 0.968 0.986 0.994 0.022 0.988
"C4" 0.776 0.9 0.01 0.01 0.782 0.898 0.878 0.01 0.88
"C6" 0.656 0.878 0.024 0.024 0.664 0.878 0.67 0.026 0.678
"T8" 0.362 0.928 0.024 0.024 0.378 0.936 0.536 0.024 0.544
"TP8" 0.976 0.984 0.032 0.03 0.98 0.984 0.978 0.032 0.982
"CP6" 0.668 0.528 0.016 0.016 0.672 0.54 0.474 0.016 0.482
"CP4" 0.584 0.778 0.02 0.016 0.59 0.784 0.77 0.018 0.772
"CP2" 0.308 0.548 0.014 0.012 0.318 0.558 0.242 0.012 0.256
"P2" 0.844 0.45 0.016 0.016 0.846 0.464 0.484 0.016 0.49
"P4" 0.34 0.936 0.026 0.028 0.362 0.93 0.5 0.026 0.518
"P6" 0.472 0.324 0.024 0.022 0.49 0.346 0.826 0.022 0.812
"P8" 0.202 0.396 0.026 0.022 0.226 0.396 0.752 0.026 0.768
"P10" 0.426 0.476 0.022 0.018 0.44 0.49 0.324 0.018 0.342
"PO8" 0.082 0.488 0.016 0.01 0.102 0.484 0.074 0.014 0.094
"PO4" 0.298 0.252 0.012 0.018 0.3 0.262 0.178 0.012 0.188
"O2" 0.114 0.264 0.02 0.016 0.132 0.278 0.686 0.018 0.696
