"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.388 0.388 0.018 0.018 0.402 0.402 0.388 0.018 0.402
"AF7" 0.244 0.244 0.026 0.026 0.262 0.262 0.244 0.026 0.262
"AF3" 0.47 0.47 0.022 0.022 0.48 0.48 0.47 0.022 0.48
"F1" 0.81 0.81 0.012 0.012 0.818 0.818 0.81 0.012 0.818
"F3" 0.996 0.996 0.016 0.016 0.994 0.994 0.996 0.016 0.994
"F5" 0.676 0.676 0.02 0.02 0.688 0.688 0.676 0.02 0.688
"F7" 0.218 0.218 0.012 0.012 0.234 0.234 0.218 0.012 0.234
"FT7" 0.746 0.746 0.012 0.012 0.746 0.746 0.746 0.012 0.746
"FC5" 0.886 0.886 0.024 0.024 0.892 0.892 0.886 0.024 0.892
"FC3" 0.728 0.728 0.022 0.022 0.734 0.734 0.728 0.022 0.734
"FC1" 0.602 0.602 0.02 0.02 0.606 0.606 0.602 0.02 0.606
"C1" 0.592 0.592 0.008 0.008 0.596 0.596 0.592 0.008 0.596
"C3" 0.206 0.206 0.008 0.008 0.214 0.214 0.206 0.008 0.214
"C5" 0.89 0.89 0.026 0.026 0.888 0.888 0.89 0.026 0.888
"T7" 0.2 0.2 0.014 0.014 0.21 0.21 0.2 0.014 0.21
"TP7" 0.984 0.984 0.032 0.032 0.99 0.99 0.984 0.032 0.99
"CP5" 0.96 0.96 0.032 0.032 0.956 0.956 0.96 0.032 0.956
"CP3" 0.954 0.954 0.008 0.008 0.946 0.946 0.954 0.008 0.946
"CP1" 0.67 0.67 0.024 0.024 0.682 0.682 0.67 0.024 0.682
"P1" 0.214 0.214 0.016 0.016 0.23 0.23 0.214 0.016 0.23
"P3" 0.378 0.378 0.016 0.016 0.388 0.388 0.378 0.016 0.388
"P5" 0.71 0.71 0.016 0.016 0.706 0.706 0.71 0.016 0.706
"P7" 0.928 0.928 0.028 0.028 0.922 0.922 0.928 0.028 0.922
"P9" 0.88 0.88 0.026 0.026 0.874 0.874 0.88 0.026 0.874
"PO7" 0.808 0.808 0.02 0.02 0.806 0.806 0.808 0.02 0.806
"PO3" 0.968 0.968 0.014 0.014 0.966 0.966 0.968 0.014 0.966
"O1" 0.422 0.422 0.02 0.02 0.432 0.432 0.422 0.02 0.432
"Iz" 0.972 0.972 0.022 0.022 0.976 0.976 0.972 0.022 0.976
"Oz" 0.672 0.672 0.03 0.03 0.678 0.678 0.672 0.03 0.678
"POz" 0.69 0.69 0.028 0.028 0.692 0.692 0.69 0.028 0.692
"Pz" 0.198 0.198 0.032 0.032 0.214 0.214 0.198 0.032 0.214
"CPz" 0.776 0.776 0.034 0.034 0.77 0.77 0.776 0.034 0.77
"Fpz" 0.622 0.622 0.012 0.012 0.632 0.632 0.622 0.012 0.632
"Fp2" 0.976 0.976 0.02 0.02 0.978 0.978 0.976 0.02 0.978
"AF8" 0.68 0.68 0.026 0.026 0.69 0.69 0.68 0.026 0.69
"AF4" 0.882 0.882 0.024 0.024 0.886 0.886 0.882 0.024 0.886
"AFz" 0.224 0.224 0.012 0.012 0.236 0.236 0.224 0.012 0.236
"Fz" 0.978 0.978 0.022 0.022 0.978 0.978 0.978 0.022 0.978
"F2" 0.718 0.718 0.02 0.02 0.726 0.726 0.718 0.02 0.726
"F4" 0.658 0.658 0.022 0.022 0.658 0.658 0.658 0.022 0.658
"F6" 0.504 0.504 0.024 0.024 0.504 0.504 0.504 0.024 0.504
"F8" 0.678 0.678 0.022 0.022 0.688 0.688 0.678 0.022 0.688
"FT8" 0.626 0.626 0.026 0.026 0.64 0.64 0.626 0.026 0.64
"FC6" 0.298 0.298 0.018 0.018 0.314 0.314 0.298 0.018 0.314
"FC4" 0.416 0.416 0.014 0.014 0.422 0.422 0.416 0.014 0.422
"FC2" 0.73 0.73 0.016 0.016 0.742 0.742 0.73 0.016 0.742
"FCz" 0.922 0.922 0.016 0.016 0.918 0.918 0.922 0.016 0.918
"Cz" 0.998 0.998 0.016 0.016 0.998 0.998 0.998 0.016 0.998
"C2" 0.996 0.996 0.024 0.024 0.992 0.992 0.996 0.024 0.992
"C4" 0.908 0.908 0.014 0.014 0.898 0.898 0.908 0.014 0.898
"C6" 0.656 0.656 0.016 0.016 0.656 0.656 0.656 0.016 0.656
"T8" 0.47 0.47 0.018 0.018 0.476 0.476 0.47 0.018 0.476
"TP8" 0.962 0.962 0.024 0.024 0.958 0.958 0.962 0.024 0.958
"CP6" 0.53 0.53 0.028 0.028 0.53 0.53 0.53 0.028 0.53
"CP4" 0.69 0.69 0.024 0.024 0.706 0.706 0.69 0.024 0.706
"CP2" 0.262 0.262 0.034 0.034 0.298 0.298 0.262 0.034 0.298
"P2" 0.532 0.532 0.02 0.02 0.544 0.544 0.532 0.02 0.544
"P4" 0.536 0.536 0.022 0.022 0.55 0.55 0.536 0.022 0.55
"P6" 0.87 0.87 0.022 0.022 0.878 0.878 0.87 0.022 0.878
"P8" 0.756 0.756 0.014 0.014 0.762 0.762 0.756 0.014 0.762
"P10" 0.326 0.326 0.016 0.016 0.336 0.336 0.326 0.016 0.336
"PO8" 0.076 0.076 0.01 0.01 0.092 0.092 0.076 0.01 0.092
"PO4" 0.152 0.152 0.018 0.018 0.162 0.162 0.152 0.018 0.162
"O2" 0.628 0.628 0.028 0.028 0.64 0.64 0.628 0.028 0.64
