"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.8576 0.1654 0.0956 0.1286 0.8758 0.2628 0.5638 0.1066 0.6148
"AF7" 0.4802 0.3444 0.0924 0.0876 0.5456 0.4242 0.311 0.0764 0.398
"AF3" 0.7082 0.1192 0.076 0.116 0.7406 0.2344 0.3166 0.0882 0.4026
"F1" 0.368 0.1506 0.068 0.0728 0.4414 0.2488 0.1636 0.067 0.2622
"F3" 0.8526 0.5026 0.093 0.1406 0.8698 0.5574 0.8644 0.1114 0.8768
"F5" 0.5978 0.3846 0.0958 0.0998 0.644 0.456 0.399 0.0958 0.4684
"F7" 0.4036 0.6602 0.1122 0.2812 0.482 0.6954 0.6232 0.174 0.6744
"FT7" 0.9408 0.2818 0.2188 0.1482 0.9588 0.3746 0.642 0.17 0.6848
"FC5" 0.5336 0.5018 0.105 0.1464 0.5924 0.567 0.898 0.1226 0.9068
"FC3" 0.3664 0.781 0.1122 0.0728 0.4426 0.8148 0.3898 0.0838 0.4636
"FC1" 0.4586 0.9208 0.1302 0.0872 0.5266 0.922 0.533 0.1012 0.5946
"C1" 0.0876 0.5464 0.1066 0.0406 0.2088 0.5984 0.0948 0.0616 0.2132
"C3" 0.5984 0.6208 0.101 0.102 0.6444 0.6704 0.5098 0.0956 0.5662
"C5" 0.9842 0.6 0.1042 0.1308 0.9916 0.6426 0.7664 0.1122 0.7998
"T7" 0.9246 0.7656 0.1332 0.1132 0.9398 0.7956 0.932 0.121 0.9352
"TP7" 0.8718 0.7076 0.1086 0.1332 0.8894 0.7384 0.9514 0.1176 0.9538
"CP5" 0.287 0.8342 0.1182 0.0918 0.3768 0.85 0.3562 0.1016 0.4352
"CP3" 0.739 0.8964 0.1306 0.1104 0.7762 0.9092 0.8692 0.1202 0.8848
"CP1" 0.2182 0.6072 0.1006 0.055 0.3148 0.6502 0.2282 0.0684 0.3204
"P1" 0.9472 0.982 0.121 0.1226 0.9408 0.9704 0.9578 0.1222 0.9474
"P3" 0.2308 0.7026 0.1216 0.0976 0.3342 0.7364 0.2692 0.1074 0.363
"P5" 0.3432 0.4098 0.145 0.181 0.4248 0.4814 0.2478 0.1568 0.3422
"P7" 0.4812 0.9494 0.1368 0.102 0.5508 0.9594 0.6024 0.1132 0.6548
"P9" 0.9774 0.2028 0.154 0.1198 0.981 0.2936 0.5814 0.1342 0.631
"PO7" 0.7318 0.1906 0.0802 0.1574 0.77 0.286 0.6638 0.112 0.6972
"PO3" 0.1446 0.1678 0.0918 0.0778 0.2496 0.2688 0.0898 0.0848 0.202
"O1" 0.171 0.4958 0.0982 0.068 0.2634 0.5466 0.1574 0.0812 0.2518
"Oz" 0.8748 0.8714 0.1318 0.122 0.8948 0.8774 0.9936 0.1274 0.9896
"POz" 0.9714 0.5956 0.1114 0.1208 0.9786 0.6532 0.7184 0.1138 0.7664
"Pz" 0.0854 0.6198 0.107 0.0652 0.195 0.6626 0.1276 0.0838 0.2336
"CPz" 0.0934 0.9526 0.157 0.0334 0.2152 0.9672 0.1886 0.0638 0.2984
"Fpz" 0.84 0.785 0.1338 0.1374 0.8608 0.8186 0.7642 0.1356 0.7974
"Fp2" 0.9762 0.533 0.0972 0.1236 0.9814 0.5902 0.8094 0.109 0.8346
"AF8" 0.7404 0.1872 0.0852 0.1046 0.7756 0.2804 0.3632 0.0928 0.438
"AF4" 0.221 0.2242 0.1014 0.0892 0.328 0.3304 0.1782 0.0914 0.2884
"AFz" 0.516 0.0336 0.0596 0.0982 0.566 0.15 0.1332 0.073 0.236
"Fz" 0.8842 0.2848 0.0896 0.123 0.8892 0.3634 0.5284 0.1004 0.5742
"F2" 0.8256 0.1036 0.0616 0.128 0.8436 0.2112 0.3346 0.0846 0.4114
"F4" 0.698 0.3146 0.0822 0.1038 0.7304 0.3962 0.4264 0.0904 0.4924
"F6" 0.1056 0.5416 0.112 0.0746 0.217 0.5934 0.1044 0.0894 0.2182
"F8" 0.5598 0.4118 0.1186 0.118 0.6262 0.485 0.3836 0.117 0.4708
"FT8" 0.818 0.4626 0.1392 0.1276 0.8378 0.5236 0.5488 0.1326 0.6054
"FC6" 0.418 0.9614 0.1348 0.101 0.4994 0.968 0.524 0.114 0.587
"FC4" 0.9896 0.4944 0.0958 0.1474 0.9932 0.5468 0.7656 0.1112 0.792
"FC2" 0.2684 0.2278 0.0998 0.0906 0.3602 0.3308 0.1362 0.0926 0.2472
"FCz" 0.34 0.6902 0.1118 0.0802 0.4198 0.7208 0.3298 0.0896 0.4108
"Cz" 0.871 0.7448 0.125 0.1284 0.888 0.777 0.7592 0.1258 0.7902
"C2" 0.3154 0.9136 0.1424 0.1012 0.4096 0.9198 0.4948 0.1202 0.5658
"C4" 0.5698 0.9582 0.1256 0.0968 0.6252 0.9656 0.6234 0.1042 0.67
"C6" 0.272 0.5704 0.1452 0.0914 0.3658 0.6326 0.573 0.1146 0.6232
"T8" 0.5138 0.4432 0.1474 0.1024 0.5816 0.5114 0.9188 0.126 0.9334
"TP8" 0.183 0.5218 0.1552 0.0704 0.289 0.5874 0.4426 0.103 0.5158
"CP6" 0.322 0.462 0.1752 0.08 0.418 0.5336 0.713 0.117 0.7566
"CP4" 0.2586 0.6386 0.15 0.0794 0.3638 0.6806 0.5414 0.1102 0.6158
"CP2" 0.0804 0.337 0.0816 0.0342 0.1942 0.412 0.0674 0.0488 0.1808
"P2" 0.3478 0.9042 0.1224 0.1024 0.4282 0.9174 0.4306 0.1116 0.5018
"P4" 0.195 0.5542 0.1436 0.095 0.2938 0.6134 0.5368 0.1154 0.594
"P6" 0.1582 0.375 0.1726 0.069 0.2726 0.4594 0.4964 0.1086 0.5692
"P8" 0.1778 0.7082 0.1094 0.064 0.2788 0.7336 0.2116 0.0804 0.3042
"P10" 0.8202 0.0128 0.5774 0.335 0.8288 0.1766 0.2718 0.416 0.384
"PO8" 0.605 0.6354 0.096 0.091 0.6584 0.6784 0.5316 0.0894 0.5902
