"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000369795890959911 -0.000152082491638652 -0.000260302751117015 -0.000782181133715578 -0.422877322356177 0.0641758785865919 0.00010885669966063 -0.000521241942416296 -0.179350721884792
"AF7" 0.000158401270185929 -2.1821659505414e-05 -0.00081134894923638 -0.000991571878927723 -0.113774552362452 0.0111925824426558 6.82898053402574e-05 -0.000901460414082051 -0.0512909849598981
"AF3" -0.000199102100558409 1.22387660454207e-05 -0.000399645071826571 -0.000188304205222741 0.219624587838727 -0.0129181152280301 -9.34316672564939e-05 -0.000293974638524656 0.103353236305348
"F1" -0.000126334076859543 -8.79948734305424e-05 -8.3942804381183e-05 -4.56036009521823e-05 0.206950511324818 0.129579377999245 -0.000107164475145043 -6.47732026666826e-05 0.168264944662032
"F3" -0.000302330667745974 -2.13180173794443e-05 -0.000542324175651663 -0.000261311525285134 0.248288827317217 0.0121966342044856 -0.000161824342562709 -0.000401817850468398 0.130242730760851
"F5" 5.76252257683875e-05 7.96175591719934e-06 -0.000699172250475199 -0.000748835720326387 0.0399272641670196 0.0015789727447787 3.27934908427934e-05 -0.000724003985400793 0.0207531184558992
"F7" 0.000122208852240787 0.000110046025290366 -0.000984319972401952 -0.000996482799352373 -0.0477976112593307 -0.0526451710755882 0.000116127438765577 -0.000990401385877162 -0.0502213911674594
"FT7" -3.20024994733637e-05 2.1065028851161e-06 -0.000228966945383608 -0.000194857943025128 0.0167061775122382 0.00804786550500828 -1.49479982941238e-05 -0.000211912444204368 0.0123770215086233
"FC5" -0.00018765741992496 -0.000156254971983513 -0.000848206778878023 -0.000816804330936576 0.134297302627845 0.102801845651365 -0.000171956195954237 -0.000832505554907299 0.118549574139605
"FC3" -1.07402613522059e-05 -3.22914454993961e-06 -0.000396708312987252 -0.000389197196184986 0.0124848992203888 -0.00363486037010974 -6.98470295107277e-06 -0.000392952754586119 0.00442501942513955
"FC1" 3.79914164886349e-05 2.08346196943912e-05 -0.000198528343513863 -0.000215685140308107 0.0525164987932286 0.00783684919972711 2.94130180915131e-05 -0.000207106741910985 0.0301766739964779
"C1" 1.95543806616952e-05 1.52715486197255e-05 -0.0004453361251891 -0.00044961895723107 -0.00788007549522509 -0.0367611474795298 1.74129646407103e-05 -0.000447477541210085 -0.0223206114873775
