"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0 0.2 0.8 0.4 0.4 0.6 0.2 0.4 0.6
"AF7" 0.2 0.6 0.2 0.4 0.4 0.8 0.2 0.4 0.4
"AF3" 0.6 1 0.6 0.6 0.4 0.8 0.6 0.6 0.4
"F1" 0 0 0.8 0.8 0.6 0.6 0 0.8 0.6
"F3" 0 0.8 0.4 0.8 0.4 0.8 0 0.6 0.4
"F5" 0.6 0.6 0.4 0.4 1 1 0.6 0.4 1
"F7" 0 0 0.4 0.4 0.6 0.6 0 0.4 0.6
"FT7" 0.4 0.6 0.6 0.6 1 0.8 1 0.6 0.8
"FC5" 0 0 0.4 0.4 0.4 0.4 0 0.4 0.4
"FC3" 0.8 0.8 0.4 0.4 0.8 0.8 1 0.4 1
"FC1" 0.4 0.6 1 0.6 0.8 1 0.2 0.8 1
"C1" 1 0.6 0.4 0.4 1 0.6 1 0.4 1
"C3" 0.4 0.8 0.2 0.2 0.2 1 0.8 0.2 0.6
"C5" 1 0.8 0.6 0.4 1 0.8 0.8 0.4 0.8
"T7" 0.8 0 0.8 0.8 0.6 0.6 0 0.8 0.6
"TP7" 0 0 0 0 0 0 0 0 0
"CP5" 0.4 0.2 0.8 0.6 1 0.8 0.2 0.6 0.8
"CP3" 0.2 0.2 1 0.8 0.8 0.8 0.8 0.8 1
"CP1" 0 0.6 0.4 0.6 0.4 0.2 0.8 0.4 0.8
"P1" 1 0.2 1 0.8 0.8 0.8 0.2 0.8 0.8
"P3" 0.6 0.4 0.8 0.8 1 0.8 1 0.8 1
"P5" 0.8 0.6 0.4 0.4 1 0.8 0.4 0.4 0.6
"P7" 0.2 0 0.6 0.8 1 0.8 0 0.6 0.8
"P9" 0.4 1 0.6 0.6 0.6 0.8 0.8 0.6 0.6
"PO7" 0.8 0 0 0.2 0.8 0.4 0.2 0 0.6
"PO3" 0.4 0.2 0.2 0.4 0.6 0.4 0.4 0.2 0.6
"O1" 0.8 0 0.6 0.6 1 0.6 0.6 0.6 0.8
"Oz" 0 0.2 0.4 0.4 0.6 0.4 0 0.4 0.6
"POz" 0 0 0.2 0.2 0.6 0.6 0 0.2 0.6
"Pz" 0.8 0.8 0.8 0.8 0.8 0.8 0.6 0.8 1
"CPz" 0.4 0.8 0.4 0.6 0.6 1 0.6 0.4 0.8
"Fpz" 0.2 1 0.2 0 0.4 0.8 0.4 0.2 0.6
"Fp2" 0.2 0.8 0.4 0.2 0.6 0.8 0.2 0.2 0.6
"AF8" 0.6 0.6 0.4 0.4 1 0.6 0.8 0.4 0.8
"AF4" 0.2 1 0.4 0.6 0.6 0.6 0.2 0.4 0.6
"AFz" 0 0.4 0.6 0.8 0.6 1 0.6 0.8 0.4
"Fz" 0 0.8 0.4 0.6 0.4 0.8 0.2 0.4 0.2
"F2" 0.6 0.4 0.2 0.8 0.4 1 0.8 0.4 1
"F4" 0.4 0.4 0.6 0.6 1 0.6 0.6 0.6 0.8
"F6" 0.6 0.4 0.4 0.4 1 0.8 0.6 0.4 1
"F8" 0.8 0.6 0.6 0.6 0.8 1 0.8 0.6 0.8
"FT8" 0.2 0 0.4 0.2 0.6 0.4 0 0.2 0.4
"FC6" 1 0.6 0 0 0.8 0.4 0.8 0 0.6
"FC4" 0.4 0.6 0.6 0.6 1 0.8 0.6 0.6 0.8
"FC2" 1 1 0.6 0.6 0.4 0.4 1 0.6 0.4
"FCz" 1 0.2 0.8 0.8 0.8 0.4 0.6 0.8 0.8
"Cz" 0.8 0.6 0.6 0.6 1 0.4 0.8 0.6 1
"C2" 0.4 0.8 0.4 0.6 0.4 0.8 0.8 0.4 0.8
"C4" 0.6 0.2 0.6 0.4 0.4 0.4 0.8 0.6 0.6
"C6" 1 0.8 0.4 0.6 0.6 0.8 0.4 0.6 0.8
"T8" 0 0 0.8 0.8 0.8 0.8 0 0.8 0.8
"TP8" 0.2 0.2 0.2 0.2 0.6 0.6 0.2 0.2 0.6
"CP6" 1 0.6 0.8 0.6 0.8 0.8 1 0.6 0.8
"CP4" 0 0 0.4 0.4 0.4 0.4 0.2 0.4 0.6
"CP2" 1 0.8 0.2 0.8 1 0.8 0.6 0.6 0.6
"P2" 0 0 0.4 0.4 0.4 0.4 0 0.4 0.4
"P4" 0.4 0.8 0.6 0.6 1 1 0.8 0.6 1
"P6" 0.8 0.4 0.8 0.8 0.8 0.8 0.4 0.8 0.8
"P8" 0.8 0.2 0.8 0.8 0.8 1 0.2 0.8 1
"P10" 0 0.8 0 0 0 0.8 0 0 0
"PO8" 0 0 0.2 0.4 0.6 0.6 0 0.4 0.6
"PO4" 0.6 0.2 0.8 0.8 1 0.6 0.4 0.8 0.8
"O2" 0.6 0 0.8 1 1 0.8 0 0.8 0.8
