"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -7.59485474301378e-05 -0.00013937948187979 -0.10382218558853 -0.10388561652298 0.000660100711446383 0.00141105882007298 -0.000107664014654964 -0.103853901055755 0.00103557976575968
"AF7" -0.000400780755130898 -0.000412907152809499 -0.103431601434991 -0.103443727832669 0.00376212364915918 0.00361245216560591 -0.000406843953970198 -0.10343766463383 0.00368728790738254
"AF3" -0.000492419712265502 -0.000790546467165639 -0.103501413185397 -0.103799539940297 0.00435244033412726 0.0070611856066481 -0.000641483089715571 -0.103650476562847 0.00570681297038768
"F1" -0.000355507451834247 -0.0003065930321258 -0.103649147094326 -0.103600232674618 0.00323444336368163 0.00256777114157892 -0.000331050241980024 -0.103624689884472 0.00290110725263028
"F3" -4.16753194704427e-05 -0.000142859321976058 -0.10382618359384 -0.103927367596346 0.000138846106460249 0.00117155277867548 -9.22673207232504e-05 -0.103876775595093 0.000655199442567866
"F5" -6.33340061847875e-05 -0.000195872268677588 -0.103527413317564 -0.103659951580057 0.000350186028489594 0.00172129955020857 -0.000129603137431188 -0.103593682448811 0.00103574278934908
"F7" 0.000505518781173922 0.000273254690655788 -0.104174362869758 -0.104406626960276 -0.00435544872032208 -0.00228725923014714 0.000389386735914855 -0.104290494915017 -0.00332135397523461
"FT7" 0.000331543245611349 0.000115165107802571 -0.103863600991887 -0.104079979129696 -0.00279797900606478 -0.000905384605138239 0.00022335417670696 -0.103971790060792 -0.00185168180560151
"FC5" 4.24580390151907e-05 0.000248850409534419 -0.103853733241703 -0.103647340871184 -0.000253055336485075 -0.00204945602324549 0.000145654224274805 -0.103750537056443 -0.00115125567986528
"FC3" -4.70938650497717e-05 -0.000110608757045183 -0.103475075639221 -0.103538590531217 0.000240637198445608 0.000908200069010837 -7.88513110474773e-05 -0.103506833085219 0.000574418633728223
"FC1" -0.000331012938935954 -0.000355620594296251 -0.103664399667705 -0.103689007323065 0.0029213595001422 0.00310134620632069 -0.000343316766616102 -0.103676703495385 0.00301135285323145
"C1" -0.000280850827466525 -0.000221499639788537 -0.103383865206692 -0.103324514019014 0.00234011386632759 0.00176001884919303 -0.000251175233627531 -0.103354189612853 0.00205006635776031
"C3" -0.00027621728123809 -0.000224829673949791 -0.103351860493574 -0.103300472886286 0.00235428351723622 0.00188799412300341 -0.00025052347759394 -0.10332616668993 0.00212113882011982
