"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.000139238857939588 -0.000116573400358895 -0.104347051320809 -0.104324385863229 0.000762003657958879 0.000590393516321915 -0.000127906129149241 -0.104335718592019 0.000676198587140397
"AF7" -0.000432866961202091 -0.000365906223994022 -0.103506820958507 -0.103439860221299 0.00357657604082157 0.00299160466943465 -0.000399386592598056 -0.103473340589903 0.00328409035512811
"AF3" -0.000698615368665476 -0.000594805149136372 -0.103843006505695 -0.103739196286166 0.00691196310425528 0.00577326121766164 -0.000646710258900924 -0.103791101395931 0.00634261216095846
"F1" -0.000334824371664969 -0.000283127762970142 -0.103761084406371 -0.103709387797677 0.00298822813608642 0.00254382318902943 -0.000308976067317556 -0.103735236102024 0.00276602566255792
"F3" -7.7144634613084e-05 -6.76709843832701e-05 -0.102365748619688 -0.102356274969459 0.00101956491134171 0.00097738087709763 -7.2407809498177e-05 -0.102361011794573 0.000998472894219669
"F5" -0.000125755152939679 -0.000111365168025616 -0.104208035918063 -0.104193645933149 0.00130522676388946 0.00116653023948749 -0.000118560160482648 -0.104200840925606 0.00123587850168848
"F7" 0.000401036911177213 0.000343324952182126 -0.104508901156965 -0.10456661311596 -0.00340643270014786 -0.00291614258617555 0.000372180931679669 -0.104537757136462 -0.00316128764316171
"FT7" 0.000242204893913277 0.000201815777087228 -0.103772203416448 -0.103812592533274 -0.00190287310043665 -0.00156062397574601 0.000222010335500253 -0.103792397974861 -0.00173174853809133
"FC5" 0.000162659556619085 0.00013876938514084 -0.103474788414293 -0.103498678585771 -0.00126632813623631 -0.0011558009841793 0.000150714470879962 -0.103486733500032 -0.0012110645602078
"FC3" -4.15435522207204e-05 -3.51067433522735e-05 -0.10321644972956 -0.103210012920691 8.98369465745146e-05 6.5385057498346e-05 -3.8325147786497e-05 -0.103213231325126 7.76110020364303e-05
"FC1" -0.0003179462413867 -0.000266982744059077 -0.102686487380356 -0.102635523883028 0.00303593170703599 0.00251115284182172 -0.000292464492722888 -0.102661005631692 0.00277354227442885
"C1" -0.000295657310262121 -0.000245993743970878 -0.102509752617394 -0.102460089051103 0.00249610719359341 0.00192954318716695 -0.0002708255271165 -0.102484920834249 0.00221282519038018
"C3" -0.000235426374568375 -0.00020435922889423 -0.104218181935581 -0.104187114789907 0.00199362891092422 0.00173939147273225 -0.000219892801731302 -0.104202648362744 0.00186651019182823
"C5" -3.87409543181371e-05 -3.41216026328222e-05 -0.103282906914359 -0.103278287562674 0.000449018342864891 0.000356367216019215 -3.64312784754796e-05 -0.103280597238516 0.000402692779442053
"T7" 3.40512767823813e-06 3.522408727903e-06 -0.102530016160021 -0.102529898878972 -5.4066672684596e-06 -7.95193583781676e-07 3.46376820307057e-06 -0.102529957519497 -3.10093042612064e-06
"TP7" -7.80442368326035e-05 -6.67530304650029e-05 -0.102863906015255 -0.102852614808888 0.000695638265951287 0.000555191844507586 -7.23986336488032e-05 -0.102858260412072 0.000625415055229436
"CP5" -0.000306265629215028 -0.000256922014940852 -0.102682008753758 -0.102632665139484 0.00237278516995326 0.00211277062693206 -0.00028159382207794 -0.102657336946621 0.00224277789844266
"CP3" -0.000271438631731861 -0.000234487977431656 -0.104204980839315 -0.104168030185015 0.00228632261411844 0.00190284908558614 -0.000252963304581758 -0.104186505512165 0.00209458584985229
"CP1" 0.000173502706406506 0.000146814717246509 -0.104305269509692 -0.104331957498852 -0.00161496837848149 -0.00137431154209832 0.000160158711826507 -0.104318613504272 -0.0014946399602899
"P1" -0.000187823995385301 -0.00015794427011354 -0.102474254170758 -0.102444374445486 0.00182153593258591 0.00145946359018702 -0.00017288413274942 -0.102459314308122 0.00164049976138646
"P3" -0.000354881960968213 -0.000304012044033035 -0.104896470118645 -0.10484560020171 0.00297004854860347 0.00249632557145942 -0.000329447002500624 -0.104871035160177 0.00273318706003144
"P5" -0.000701783258194221 -0.000590341594345655 -0.101843947844737 -0.101732506180888 0.00649367773601844 0.00551686616986578 -0.000646062426269938 -0.101788227012812 0.00600527195294211
"P7" 1.95421956899411e-05 1.55338656457974e-05 -0.105259780736099 -0.105263789066143 -6.23355123884558e-05 -4.03904632553395e-05 1.75380306678692e-05 -0.105261784901121 -5.13629878218977e-05
"P9" 8.1196446163164e-06 8.21616339537555e-06 -0.102811345161348 -0.102811248642569 -5.60571729519918e-05 -5.97842178546394e-05 8.16790400584598e-06 -0.102811296901958 -5.79206954033156e-05
"PO7" 1.23770671561462e-05 7.618759206879e-06 -0.102818090251617 -0.102822848559566 -9.0975846768128e-05 -7.46540379835431e-05 9.99791318151262e-06 -0.102820469405592 -8.28149423758356e-05
"PO3" -0.000212809128638501 -0.000184113509820895 -0.104510627331893 -0.104481931713076 0.00143143538248026 0.00120535852447915 -0.000198461319229698 -0.104496279522484 0.00131839695347971
"O1" -2.44403846018476e-05 -2.13636255572492e-05 -0.102355792880636 -0.102352716121592 8.39652165701928e-05 9.44167176669454e-05 -2.29020050795484e-05 -0.102354254501114 8.91909671185691e-05
"Iz" 0.000363867394346203 0.000303794014002384 -0.104234344149648 -0.104294417529992 -0.00289057416379455 -0.00241722657627521 0.000333830704174294 -0.10426438083982 -0.00265390037003488
"Oz" 2.96156698642185e-05 2.39230011424882e-05 -0.104649435121229 -0.104655127789951 -0.000170102366099446 -0.000146427579816108 2.67693355033533e-05 -0.10465228145559 -0.000158264972957777
"POz" -0.00018863426040573 -0.000158351738750437 -0.102476308187878 -0.102446025666223 0.00151571800897614 0.00122537169514038 -0.000173492999578083 -0.10246116692705 0.00137054485205826
"Pz" -0.000261995722470263 -0.000220507798898721 -0.104589186140691 -0.104547698217119 0.00229994006189704 0.00185144688916953 -0.000241251760684492 -0.104568442178905 0.00207569347553328
"CPz" -0.00019277397399237 -0.000161957937022744 -0.104025056241587 -0.103994240204617 0.00153908674128963 0.00137224522231743 -0.000177365955507557 -0.104009648223102 0.00145566598180353
"Fpz" -0.000283993578206266 -0.000236922699649971 -0.1031223190406 -0.103075248162043 0.00237456338949728 0.00199142277292478 -0.000260458138928118 -0.103098783601322 0.00218299308121103
"Fp2" -0.000601504578291815 -0.000510328079628947 -0.101538905980614 -0.101447729481951 0.00511440288380088 0.0043468462625169 -0.000555916328960381 -0.101493317731283 0.00473062457315889
"AF8" -0.000785435520654802 -0.000677018720771515 -0.103257476229999 -0.103149059430116 0.00721599027042212 0.00617159682615962 -0.000731227120713158 -0.103203267830057 0.00669379354829087
"AF4" -0.000934877016168838 -0.000810423159254145 -0.103285897418804 -0.103161443561889 0.00826692555738247 0.00723947604971243 -0.000872650087711491 -0.103223670490346 0.00775320080354745
"AFz" -0.000458644299745077 -0.000387929697415584 -0.102797246532848 -0.102726531930518 0.0037439780632665 0.00320669203604734 -0.00042328699858033 -0.102761889231683 0.00347533504965692
"Fz" -2.59198481775489e-05 -1.91483195098333e-05 -0.104991434764479 -0.104984663235812 0.00014593255851575 0.00017600112271723 -2.25340838436911e-05 -0.104988049000145 0.00016096684061649
"F2" -3.53688238290229e-05 -3.23038076194738e-05 -0.10328943777379 -0.103286372757581 0.000579559420480238 0.000445450929410171 -3.38363157242483e-05 -0.103287905265686 0.000512505174945205
"F4" 0.000184055673207541 0.00016134350477665 -0.103621250560465 -0.103643962728896 -0.00162193503366444 -0.00135927773328346 0.000172699588992096 -0.10363260664468 -0.00149060638347395
"F6" 0.000571844906017258 0.000488878975193135 -0.103525381416806 -0.10360834734763 -0.00488215553158986 -0.0042165474497267 0.000530361940605197 -0.103566864382218 -0.00454935149065828
"F8" 5.57202561522278e-05 4.78912460413918e-05 -0.104486173563969 -0.10449400257408 -0.000272406806441329 -0.0002855128809478 5.18057510968098e-05 -0.104490088069025 -0.000278959843694565
"FT8" 0.000137316843392297 0.000113479363589743 -0.105808310074422 -0.105832147554225 -0.00109061057141482 -0.000938772293182193 0.00012539810349102 -0.105820228814323 -0.00101469143229851
"FC6" -2.76492661463568e-05 -2.19815598938187e-05 -0.103490465981748 -0.103484798275496 0.000123544155632767 0.000138426467214288 -2.48154130200877e-05 -0.103487632128622 0.000130985311423528
"FC4" -0.000121075224880196 -0.000103989470729876 -0.10344940993856 -0.10343232418441 0.000752079890645674 0.000430271574226032 -0.000112532347805036 -0.103440867061485 0.000591175732435853
"FC2" -0.000293395524328166 -0.000246229316622705 -0.103829246972462 -0.103782080764757 0.002343368130381 0.00194981777879558 -0.000269812420475436 -0.103805663868609 0.00214659295458829
"FCz" -0.000180428518961907 -0.000149843836905463 -0.102386977149947 -0.102356392467891 0.00150821827810449 0.00123509485244034 -0.000165136177933685 -0.102371684808919 0.00137165656527242
"Cz" -0.000512411054288967 -0.000429437962200066 -0.103526107417741 -0.103443134325652 0.00455911611066782 0.00376927452333253 -0.000470924508244517 -0.103484620871696 0.00416419531700018
"C2" -0.000520376184004981 -0.000439404025867302 -0.103585033780832 -0.103504061622694 0.00482707823816893 0.00403046040535285 -0.000479890104936141 -0.103544547701763 0.00442876932176089
"C4" -0.00019500841847517 -0.000160319300209074 -0.102415556672822 -0.102380867554556 0.00143588593129518 0.0011984887491166 -0.000177663859342122 -0.102398212113689 0.00131718734020589
"C6" -3.55137305276259e-05 -2.99658694755519e-05 -0.102969003741807 -0.102963455880755 0.000163427473480272 0.000101836250965985 -3.27398000015889e-05 -0.102966229811281 0.000132631862223128
"T8" -0.000134045908720488 -0.000112128759862038 -0.103142506538549 -0.103120589389691 0.000956788819286381 0.000711318123390671 -0.000123087334291263 -0.10313154796412 0.000834053471338526
"TP8" -0.00038603240210112 -0.000320376332564578 -0.104213005502502 -0.104147349432965 0.00351129129295802 0.00279863022367258 -0.000353204367332849 -0.104180177467734 0.0031549607583153
"CP6" -6.96078689686955e-05 -5.68941812084645e-05 -0.104186952489631 -0.104174238801871 0.00031482163986283 0.000280722299826855 -6.325102508858e-05 -0.104180595645751 0.000297771969844842
"CP4" -0.000342680648807416 -0.000294375409052182 -0.103253569676698 -0.103205264436943 0.00293245767632772 0.00254288154798365 -0.000318528028929799 -0.10322941705682 0.00273766961215568
"CP2" 9.33918910651534e-07 -4.81905591730202e-07 -0.102369824773499 -0.102371240598001 -3.71387492266589e-06 -3.83064506975733e-06 2.26006659460666e-07 -0.10237053268575 -3.77225999621161e-06
"P2" -8.45429036244146e-06 -8.46860588939515e-06 -0.103249034652312 -0.103249048967839 9.45170503536206e-05 8.77373246212562e-05 -8.4614481259183e-06 -0.103249041810076 9.11271874874384e-05
"P4" -2.3082570853263e-05 -1.91642021416243e-05 -0.10380092748201 -0.103797009113298 4.98020941383069e-05 6.83113057616104e-05 -2.11233864974436e-05 -0.103798968297654 5.90566999499587e-05
"P6" 0.000247875761198401 0.000207844400607853 -0.10392665556235 -0.10396668692294 -0.00204073131934553 -0.00179286836897809 0.000227860080903127 -0.103946671242645 -0.00191679984416181
"P8" -0.000138265109837875 -0.000117484046787916 -0.101572650822119 -0.101551869759069 0.00098504816000393 0.000767173731160663 -0.000127874578312895 -0.101562260290594 0.000876110945582296
"P10" 0.000239728574623773 0.000204539687115945 -0.103700476740079 -0.103735665627587 -0.00201238872744225 -0.0015898912509792 0.000222134130869859 -0.103718071183833 -0.00180113998921073
"PO8" 0.00029679968748025 0.000257435138698451 -0.103384974522353 -0.103424339071135 -0.00252943178940633 -0.00220459814575691 0.00027711741308935 -0.103404656796744 -0.00236701496758162
"PO4" 0.00044933433842235 0.000382075122244225 -0.105353624397497 -0.105420883613675 -0.0038253184690099 -0.00318986103201269 0.000415704730333288 -0.105387254005586 -0.00350758975051129
"O2" 0.00021179226175501 0.000179100014027811 -0.102324734109881 -0.102357426357608 -0.00171047987331872 -0.00156398840438766 0.000195446137891411 -0.102341080233745 -0.00163723413885319
