"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.00186755164736303 -2.74118634999106e-05 -0.114389146379459 -0.112549006595596 0.0127215711888746 6.1594640971957e-05 -0.000947481755431471 -0.113469076487527 0.0063915829149233
"AF7" -0.00134728618020826 0.000565653863406218 -0.116181470577229 -0.114268530533614 0.00872836244082454 -0.00358510306789583 -0.000390816158401021 -0.115225000555422 0.00257162968646435
"AF3" -0.00484087777065515 -0.00234675778195773 -0.113085026873099 -0.110590906884402 0.0388049748379623 0.018956208061388 -0.00359381777630644 -0.11183796687875 0.0288805914496752
"F1" 0.00172757747556808 0.00234534335482297 -0.117905708058851 -0.117287942179596 -0.0129991314996927 -0.0184139632369538 0.00203646041519553 -0.117596825119224 -0.0157065473683232
"F3" -0.000716241607549978 0.00151398973662891 -0.117002222326754 -0.114771990982575 0.00504925881196307 -0.0118421204118552 0.000398874064539464 -0.115887106654664 -0.00339643079994607
"F5" 3.59824622879434e-05 7.1122448372313e-05 -0.115721172525449 -0.115686032539365 -8.1787185697295e-05 -0.000142348328531384 5.35524553301282e-05 -0.115703602532407 -0.000112067757114339
"F7" 2.17417142832637e-06 -5.62179451167534e-05 -0.115056249572643 -0.115114641689188 4.07066264639935e-06 0.000114988209543012 -2.70218868442135e-05 -0.115085445630915 5.95294360947055e-05
"FT7" 5.87697854758505e-05 8.05438710189789e-06 -0.115479238086748 -0.115529953485121 -6.209441198419e-05 -5.24221933865798e-06 3.34120862888742e-05 -0.115504595785935 -3.3668315661424e-05
"FC5" -0.000263651272090561 0.000632242023306991 -0.112931691527051 -0.112035798231654 0.000744834991373456 -0.00490348309900224 0.000184295375608215 -0.112483744879352 -0.00207932405381439
"FC3" -6.46470823970072e-05 0.00173641967731373 -0.116900914350258 -0.115099847590547 0.000337945916987594 -0.0134782527508993 0.000835886297458363 -0.116000380970402 -0.00657015341695587
"FC1" 0.000589412664915726 0.00173081939875434 -0.117260455925944 -0.116119049192106 -0.00302403528067097 -0.013344611049392 0.00116011603183503 -0.116689752559025 -0.00818432316503147
"C1" 4.85672571462015e-05 -0.000125589735618176 -0.114859556747238 -0.115033713740002 -0.000129622083174492 0.000876176137815221 -3.85112392359875e-05 -0.11494663524362 0.000373277027320364
"C3" -0.000449769272908251 0.001607683543498 -0.116792928229672 -0.114735475413266 0.0021700358287794 -0.012473485363505 0.000578957135294876 -0.115764201821469 -0.00515172476736281
"C5" -0.000706871657553826 0.000693718051979677 -0.116157564051078 -0.114756974341544 0.00389179100853973 -0.00433795883361355 -6.57680278707428e-06 -0.115457269196311 -0.000223083912536912
"T7" 0.00106415575016093 0.0028742636619782 -0.118514666047923 -0.116704558136106 -0.00739903720345178 -0.0229531462539009 0.00196920970606956 -0.117609612092014 -0.0151760917286763
"TP7" 5.63636519446194e-05 3.24325268738221e-06 -0.11553594748701 -0.115589067886268 -8.93450146993827e-05 -1.01802343585496e-05 2.98034523160008e-05 -0.115562507686639 -4.97626245289661e-05
"CP5" 0.00025921812241365 -0.000103183146589714 -0.115192172412716 -0.115554573681719 -0.00110902126667394 0.000236561400890507 7.80174879119679e-05 -0.115373373047217 -0.000436229932891714
"CP3" 1.33931486726638e-06 1.14375511700803e-05 -0.115001549611002 -0.114991451374699 1.80264843297402e-05 -0.000116441025179791 6.38843301867334e-06 -0.114996500492851 -4.92072704250256e-05
"CP1" 0.000156363649066147 -0.00113582949857473 -0.11390851688847 -0.115200710036111 -0.000426152435046009 0.00918803946033468 -0.000489732924754293 -0.114554613462291 0.00438094351264433
"P1" 0.00274024815870283 -0.00315648798080974 -0.112025750147374 -0.117922486286887 -0.0215398809810865 0.0254933274137886 -0.000208119911053451 -0.114974118217131 0.00197672321635108
"P3" -0.000286796201530973 6.62311592141854e-05 -0.11585798355879 -0.115504956198045 0.00160716142648515 -0.000137543290958601 -0.000110282521158394 -0.115681469878418 0.000734809067763272
"P5" 0.000862469874887776 0.000227585515481322 -0.115694750909798 -0.116329635269204 -0.00506642263239445 -0.000834731861788667 0.000545027695184549 -0.116012193089501 -0.00295057724709156
"P7" -0.0016260531560749 -4.11781325853832e-05 -0.115521964265201 -0.113937089241712 0.013577605694689 7.99323818388609e-05 -0.000833615644330141 -0.114729526753456 0.00682876903826395
"P9" -0.000270731383307785 -0.000302757643643492 -0.115402040895601 -0.115434067155936 0.000775115709518639 0.00169296569389199 -0.000286744513475639 -0.115418054025768 0.00123404070170531
"PO7" -0.00202685828156134 0.000830217059542402 -0.115873124930972 -0.113016049589869 0.0149076579766169 -0.00601958910487338 -0.000598320611009467 -0.11444458726042 0.00444403443587178
"PO3" -0.000820530275814628 0.00056842849794475 -0.116107340668927 -0.114718381895168 0.00523989298587962 -0.00361986367531737 -0.000126050888934939 -0.115412861282048 0.000810014655281126
"O1" -0.00114717605198385 -0.000824893586326411 -0.114967197884346 -0.114644915418688 0.00793152119403966 0.00588542120951269 -0.000986034819155131 -0.114806056651517 0.00690847120177617
"Oz" -0.000490003409514632 -0.000819079832397104 -0.114840687444284 -0.115169763867167 0.0032542580747137 0.00576342550134742 -0.000654541620955868 -0.115005225655725 0.00450884178803056
"POz" 0.00175033249983691 -0.00346519558011244 -0.114973198304338 -0.120188726384287 -0.012961228508165 0.0274304155885154 -0.000857431540137765 -0.117580962344313 0.00723459354017524
"Pz" 0.00100054843059691 -0.000622385666860182 -0.115244153829351 -0.116867087926808 -0.00638892168549658 0.0036008541861254 0.000189081381868361 -0.116055620878079 -0.00139403374968559
"CPz" 4.17879355894875e-05 -0.000835961337076553 -0.114418213729377 -0.115295963002043 -6.05133335239501e-05 0.00641941997602799 -0.000397086700743532 -0.11485708836571 0.00317945332125202
"Fpz" -0.000800667945192577 0.000488010353682659 -0.117123696948312 -0.115835018649437 0.00422773607395193 -0.0026751781501162 -0.000156328795754959 -0.116479357798874 0.000776278961917862
"Fp2" -0.00171941908436862 1.28127148915208e-05 -0.115707300776771 -0.113975068977511 0.0123758262642743 -4.64021528486854e-05 -0.000853303184738549 -0.114841184877141 0.00616471205571283
"AF8" 0.000185974072697302 9.6248811892919e-05 -0.115921650996692 -0.116011376257497 -0.000527450549394006 -0.000215181318556938 0.00014111144229511 -0.115966513627095 -0.000371315933975472
"AF4" -0.00126187108931406 0.000637593231962726 -0.116214726882201 -0.114315262560924 0.0084571205071012 -0.00397854936235645 -0.000312138928675666 -0.115264994721563 0.00223928557237238
"AFz" -0.00166701528519861 0.00051088450653534 -0.116222153110921 -0.114044253319187 0.0136966058508903 -0.00411072663669006 -0.000578065389331637 -0.115133203215054 0.00479293960710012
"Fz" -0.000546926455054432 0.00191036563922924 -0.117268948505316 -0.114811656411032 0.00415480007193036 -0.015081596230117 0.000681719592087406 -0.116040302458174 -0.00546339807909331
"F2" -0.00145512974070378 0.000634839421291532 -0.116065266933492 -0.113975297771497 0.0116064188616689 -0.00494233282034779 -0.000410145159706124 -0.115020282352495 0.00333204302066056
"F4" -3.40586339390653e-06 -0.000223356849538873 -0.115391212340787 -0.115611163326931 9.75882685639786e-06 0.00101633100661785 -0.00011338135646639 -0.115501187833859 0.000513044916737124
"F6" 0.000312744398040418 -0.000164454653468901 -0.115384305598626 -0.115861504650135 -0.0011600602436782 0.000537733581277969 7.41448722857583e-05 -0.115622905124381 -0.000311163331200114
"F8" 0.000186563369347985 0.00130983966164132 -0.11702163919667 -0.115898362904377 -0.000848050950548218 -0.0093768831741557 0.000748201515494652 -0.116460001050524 -0.00511246706235196
"FT8" -0.000519449825017947 -0.00141307165094797 -0.114477126167932 -0.115370747993862 0.00294740527455121 0.0102635184762353 -0.000966260737982958 -0.114923937080897 0.00660546187539326
"FC6" -0.000557658416042928 0.000395519554544402 -0.116155282159315 -0.115202104188728 0.00289033879889959 -0.00199954633901524 -8.10694307492633e-05 -0.115678693174022 0.000445396229942175
"FC4" 3.65367930491434e-05 -0.000203042812612803 -0.115447641221599 -0.115687220827261 -5.32312229163455e-05 0.000907983376121174 -8.32530097818297e-05 -0.11556743102443 0.000427376076602414
"FC2" 9.07501083412694e-06 0.000548416702691916 -0.116945627038 -0.116406285346142 -2.69016140055454e-05 -0.00395507945768175 0.000278745856763021 -0.116675956192071 -0.00199099053584365
"FCz" -1.61430270957924e-06 -7.35076701277105e-06 -0.11516081099957 -0.115166547463873 -1.78232660662132e-05 6.60102007228599e-05 -4.48253486117514e-06 -0.115163679231721 2.40934673283233e-05
"Cz" 0.00352202529636951 -0.00312760052425414 -0.113549196662283 -0.120198822482907 -0.0275833507136976 0.0253264455540827 0.000197212386057685 -0.116874009572595 -0.00112845257980747
"C2" 3.36803123277589e-05 -0.00257339527381591 -0.112599900089829 -0.115206975675973 -3.68939264397126e-05 0.0209751574080391 -0.00126985748074407 -0.113903437882901 0.0104691317407997
