"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.822 0.7 0 0 0.822 0.7 0.678 0 0.678
"AF7" 0.142 0.18 0 0 0.142 0.18 0.048 0 0.048
"AF3" 0.046 0.002 0 0 0.046 0.002 0 0 0
"F1" 0.116 0.132 0 0 0.116 0.132 0.116 0 0.116
"F3" 0.744 0.546 0 0 0.744 0.546 0.548 0 0.548
"F5" 0.61 0.556 0 0 0.61 0.556 0.556 0 0.556
"F7" 0.048 0.204 0 0 0.048 0.204 0.02 0 0.02
"FT7" 0.09 0.514 0 0 0.09 0.514 0.11 0 0.11
"FC5" 0.802 0.166 0 0 0.802 0.166 0.228 0 0.228
"FC3" 0.712 0.65 0 0 0.712 0.65 0.646 0 0.646
"FC1" 0.086 0.076 0 0 0.086 0.076 0.066 0 0.066
"C1" 0.106 0.18 0 0 0.106 0.18 0.084 0 0.084
"C3" 0.198 0.304 0 0 0.198 0.304 0.114 0 0.114
"C5" 0.678 0.63 0 0 0.678 0.63 0.628 0 0.628
"T7" 0.97 0.816 0 0 0.97 0.816 0.9 0 0.9
"TP7" 0.184 0.36 0 0 0.184 0.36 0.79 0 0.79
"CP5" 0.452 0.074 0 0 0.452 0.074 0.066 0 0.066
"CP3" 0.1 0.384 0 0 0.1 0.384 0.108 0 0.108
"CP1" 0.23 0.684 0 0 0.23 0.684 0.62 0 0.62
"P1" 0.87 0.348 0 0 0.87 0.348 0.436 0 0.436
"P3" 0.088 0.154 0 0 0.088 0.154 0.066 0 0.066
"P5" 0.632 0.002 0 0 0.632 0.002 0.016 0 0.016
"P7" 0.966 0.942 0 0 0.966 0.942 0.932 0 0.932
"P9" 0.988 0.996 0 0 0.988 0.996 0.994 0 0.994
"PO7" 0.852 0.802 0 0 0.852 0.802 0.8 0 0.8
"PO3" 0.102 0.474 0 0 0.102 0.474 0.088 0 0.088
"O1" 0.774 0.852 0 0 0.774 0.852 0.78 0 0.78
"Iz" 0.542 0.33 0 0 0.542 0.33 0.278 0 0.278
"Oz" 0.848 0.912 0 0 0.848 0.912 0.858 0 0.858
"POz" 0.296 0.32 0 0 0.296 0.32 0.26 0 0.26
"Pz" 0.26 0.5 0 0 0.26 0.5 0.17 0 0.17
"CPz" 0.854 0.088 0 0 0.854 0.088 0.146 0 0.146
"Fpz" 0.272 0.708 0 0 0.272 0.708 0.32 0 0.32
"Fp2" 0.394 0.102 0 0 0.394 0.102 0.068 0 0.068
"AF8" 0.006 0.004 0 0 0.006 0.004 0.004 0 0.004
"AF4" 0.006 0.006 0 0 0.006 0.006 0.006 0 0.006
"AFz" 0.076 0.1 0 0 0.076 0.1 0.014 0 0.014
"Fz" 0.906 0.906 0 0 0.906 0.906 0.9 0 0.9
"F2" 0.888 0.876 0 0 0.888 0.876 0.864 0 0.864
"F4" 0.568 0.462 0 0 0.568 0.462 0.462 0 0.462
"F6" 0.032 0.022 0 0 0.032 0.022 0.022 0 0.022
"F8" 0.618 0.684 0 0 0.618 0.684 0.62 0 0.62
"FT8" 0.184 0.338 0 0 0.184 0.338 0.238 0 0.238
"FC6" 0.806 0.698 0 0 0.806 0.698 0.694 0 0.694
"FC4" 0.578 0.544 0 0 0.578 0.544 0.534 0 0.534
"FC2" 0.126 0.232 0 0 0.126 0.232 0.074 0 0.074
"FCz" 0.934 0.124 0 0 0.934 0.124 0.266 0 0.266
"Cz" 0.152 0.07 0 0 0.152 0.07 0.008 0 0.008
"C2" 0.642 0.068 0 0 0.642 0.068 0.1 0 0.1
"C4" 0.3 0.512 0 0 0.3 0.512 0.228 0 0.228
"C6" 0.374 0.584 0 0 0.374 0.584 0.556 0 0.556
"T8" 0.838 0.434 0 0 0.838 0.434 0.656 0 0.656
"TP8" 0.092 0.496 0 0 0.092 0.496 0.102 0 0.102
"CP6" 0.69 0.662 0 0 0.69 0.662 0.542 0 0.542
"CP4" 0.214 0.796 0 0 0.214 0.796 0.298 0 0.298
"CP2" 0.874 0.954 0 0 0.874 0.954 0.942 0 0.942
"P2" 0.792 0.898 0 0 0.792 0.898 0.828 0 0.828
"P4" 0.956 0.958 0 0 0.956 0.958 0.94 0 0.94
"P6" 0.152 0.656 0 0 0.152 0.656 0.196 0 0.196
"P8" 0.422 0.41 0 0 0.422 0.41 0.372 0 0.372
"P10" 0.114 0.408 0 0 0.114 0.408 0.1 0 0.1
"PO8" 0.204 0.318 0 0 0.204 0.318 0.12 0 0.12
"PO4" 0 0.808 0 0 0 0.808 0.02 0 0.02
"O2" 0.308 0.218 0 0 0.308 0.218 0.134 0 0.134
