"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.56 0.56 0 0 0.56 0.56 0.56 0 0.56
"AF7" 0.02 0.02 0 0 0.02 0.02 0.02 0 0.02
"AF3" 0 0 0 0 0 0 0 0 0
"F1" 0.22 0.2 0 0 0.22 0.2 0.2 0 0.2
"F3" 0.56 0.48 0 0 0.56 0.48 0.54 0 0.54
"F5" 0.54 0.54 0 0 0.54 0.54 0.54 0 0.54
"F7" 0.08 0.08 0 0 0.08 0.08 0.08 0 0.08
"FT7" 0.16 0.22 0 0 0.16 0.22 0.16 0 0.16
"FC5" 0.34 0.32 0 0 0.34 0.32 0.32 0 0.32
"FC3" 0.48 0.52 0 0 0.48 0.52 0.5 0 0.5
"FC1" 0.08 0.1 0 0 0.08 0.1 0.1 0 0.1
"C1" 0.16 0.14 0 0 0.16 0.14 0.16 0 0.16
"C3" 0.1 0.1 0 0 0.1 0.1 0.1 0 0.1
"C5" 0.7 0.74 0 0 0.7 0.74 0.74 0 0.74
"T7" 0.9 0.9 0 0 0.9 0.9 0.9 0 0.9
"TP7" 0.66 0.66 0 0 0.66 0.66 0.66 0 0.66
"CP5" 0.12 0.08 0 0 0.12 0.08 0.12 0 0.12
"CP3" 0.06 0.1 0 0 0.06 0.1 0.06 0 0.06
"CP1" 0.7 0.7 0 0 0.7 0.7 0.7 0 0.7
"P1" 0.52 0.52 0 0 0.52 0.52 0.52 0 0.52
"P3" 0.1 0.1 0 0 0.1 0.1 0.1 0 0.1
"P5" 0.06 0.06 0 0 0.06 0.06 0.06 0 0.06
"P7" 0.78 0.78 0 0 0.78 0.78 0.78 0 0.78
"P9" 0.96 0.98 0 0 0.96 0.98 1 0 1
"PO7" 0.76 0.84 0 0 0.76 0.84 0.82 0 0.82
"PO3" 0.14 0.14 0 0 0.14 0.14 0.14 0 0.14
"O1" 0.92 0.88 0 0 0.92 0.88 0.9 0 0.9
"Iz" 0.34 0.34 0 0 0.34 0.34 0.34 0 0.34
"Oz" 0.74 0.76 0 0 0.74 0.76 0.76 0 0.76
"POz" 0.26 0.24 0 0 0.26 0.24 0.26 0 0.26
"Pz" 0.12 0.12 0 0 0.12 0.12 0.12 0 0.12
"CPz" 0.14 0.16 0 0 0.14 0.16 0.14 0 0.14
"Fpz" 0.34 0.34 0 0 0.34 0.34 0.34 0 0.34
"Fp2" 0.14 0.14 0 0 0.14 0.14 0.14 0 0.14
"AF8" 0 0 0 0 0 0 0 0 0
"AF4" 0.04 0.04 0 0 0.04 0.04 0.04 0 0.04
"AFz" 0 0.02 0 0 0 0.02 0 0 0
"Fz" 0.88 0.88 0 0 0.88 0.88 0.88 0 0.88
"F2" 0.88 0.84 0 0 0.88 0.84 0.86 0 0.86
"F4" 0.6 0.52 0 0 0.6 0.52 0.58 0 0.58
"F6" 0.02 0 0 0 0.02 0 0.02 0 0.02
"F8" 0.7 0.66 0 0 0.7 0.66 0.76 0 0.76
"FT8" 0.36 0.34 0 0 0.36 0.34 0.34 0 0.34
"FC6" 0.82 0.8 0 0 0.82 0.8 0.8 0 0.8
"FC4" 0.7 0.7 0 0 0.7 0.7 0.74 0 0.74
"FC2" 0.1 0.08 0 0 0.1 0.08 0.08 0 0.08
"FCz" 0.52 0.54 0 0 0.52 0.54 0.54 0 0.54
"Cz" 0.1 0.1 0 0 0.1 0.1 0.1 0 0.1
"C2" 0.16 0.16 0 0 0.16 0.16 0.16 0 0.16
"C4" 0.32 0.32 0 0 0.32 0.32 0.32 0 0.32
"C6" 0.54 0.58 0 0 0.54 0.58 0.56 0 0.56
"T8" 0.58 0.62 0 0 0.58 0.62 0.6 0 0.6
"TP8" 0.12 0.12 0 0 0.12 0.12 0.12 0 0.12
"CP6" 0.5 0.54 0 0 0.5 0.54 0.52 0 0.52
"CP4" 0.16 0.16 0 0 0.16 0.16 0.16 0 0.16
"CP2" 0.96 0.96 0 0 0.96 0.96 0.96 0 0.96
"P2" 0.8 0.86 0 0 0.8 0.86 0.8 0 0.8
"P4" 0.96 0.96 0 0 0.96 0.96 0.96 0 0.96
"P6" 0.12 0.1 0 0 0.12 0.1 0.1 0 0.1
"P8" 0.34 0.38 0 0 0.34 0.38 0.36 0 0.36
"P10" 0.24 0.24 0 0 0.24 0.24 0.24 0 0.24
"PO8" 0.18 0.18 0 0 0.18 0.18 0.18 0 0.18
"PO4" 0.02 0.02 0 0 0.02 0.02 0.02 0 0.02
"O2" 0.2 0.18 0 0 0.2 0.18 0.2 0 0.2
