"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.3686 0.7694 0 0 0.3686 0.7694 0.4634 0 0.4634
"AF7" 0.002 0.2286 0 0 0.002 0.2286 0.0046 0 0.0046
"AF3" 0.1696 0.0856 0 0 0.1696 0.0856 0.8108 0 0.8108
"F1" 0.1126 0.9382 0 0 0.1126 0.9382 0.3236 0 0.3236
"F3" 0.09 0.0052 0 0 0.09 0.0052 0.7284 0 0.7284
"F5" 0.0122 0.1576 0 0 0.0122 0.1576 0.3158 0 0.3158
"F7" 0.947 0.9438 0 0 0.947 0.9438 0.9834 0 0.9834
"FT7" 0.7324 0.0444 0 0 0.7324 0.0444 0.2018 0 0.2018
"FC5" 0.1296 0.1362 0 0 0.1296 0.1362 0.5238 0 0.5238
"FC3" 0.0454 0.6836 0 0 0.0454 0.6836 0.1104 0 0.1104
"FC1" 0.0464 0.317 0 0 0.0464 0.317 0.0628 0 0.0628
"C1" 0.3346 0.7502 0 0 0.3346 0.7502 0.6386 0 0.6386
"C3" 0.9956 0.9858 0 0 0.9956 0.9858 0.999 0 0.999
"C5" 0.894 0.235 0 0 0.894 0.235 0.4916 0 0.4916
"T7" 0.9446 0.7358 0 0 0.9446 0.7358 0.8606 0 0.8606
"TP7" 0.3226 0.0988 0 0 0.3226 0.0988 0.639 0 0.639
"CP5" 0.389 0.324 0 0 0.389 0.324 0.8946 0 0.8946
"CP3" 0.6286 0.5786 0 0 0.6286 0.5786 0.9192 0 0.9192
"CP1" 0.037 0.2208 0 0 0.037 0.2208 0.6202 0 0.6202
"P1" 0.076 0.7516 0 0 0.076 0.7516 0.4722 0 0.4722
"P3" 0.284 0.3974 0 0 0.284 0.3974 0.1994 0 0.1994
"P5" 0.4648 0.0824 0 0 0.4648 0.0824 0.5028 0 0.5028
"P7" 0.948 0.5824 0 0 0.948 0.5824 0.6546 0 0.6546
"P9" 0.0108 0.3512 0 0 0.0108 0.3512 0.1558 0 0.1558
"PO7" 0.4416 0.3908 0 0 0.4416 0.3908 0.3176 0 0.3176
"PO3" 0.2698 0.2174 0 0 0.2698 0.2174 0.217 0 0.217
"O1" 0.0394 0.1494 0 0 0.0394 0.1494 0.6308 0 0.6308
"Oz" 0.9518 0.7958 0 0 0.9518 0.7958 0.8512 0 0.8512
"POz" 0.0158 0.9346 0 0 0.0158 0.9346 0.1896 0 0.1896
"Pz" 6e-04 0.7552 0 0 6e-04 0.7552 0.0108 0 0.0108
"CPz" 0.002 0.028 0 0 0.002 0.028 0.6766 0 0.6766
"Fpz" 0.0888 0.4506 0 0 0.0888 0.4506 0.6258 0 0.6258
"Fp2" 0.0408 0.498 0 0 0.0408 0.498 0.0922 0 0.0922
"AF8" 0.2834 0.0432 0 0 0.2834 0.0432 0.0432 0 0.0432
"AF4" 0.0046 0.0608 0 0 0.0046 0.0608 0.0022 0 0.0022
"AFz" 0.0724 0.577 0 0 0.0724 0.577 0.5368 0 0.5368
"Fz" 0.2766 0.602 0 0 0.2766 0.602 0.6832 0 0.6832
"F2" 0.6092 0.4532 0 0 0.6092 0.4532 0.8794 0 0.8794
"F4" 0.6466 0.082 0 0 0.6466 0.082 0.5468 0 0.5468
"F6" 0.9468 0.4556 0 0 0.9468 0.4556 0.6688 0 0.6688
"F8" 0.8466 0.4568 0 0 0.8466 0.4568 0.5396 0 0.5396
"FT8" 0.6292 0.1906 0 0 0.6292 0.1906 0.2682 0 0.2682
"FC6" 0.1904 0.1226 0 0 0.1904 0.1226 0.8902 0 0.8902
"FC4" 0.1368 0.152 0 0 0.1368 0.152 0.6486 0 0.6486
"FC2" 0.1836 0.8814 0 0 0.1836 0.8814 0.4056 0 0.4056
"FCz" 0.8036 0.2584 0 0 0.8036 0.2584 0.6064 0 0.6064
"Cz" 0.068 0.3672 0 0 0.068 0.3672 0.6494 0 0.6494
"C2" 0.043 0.027 0 0 0.043 0.027 0.0084 0 0.0084
"C4" 0.8228 0.982 0 0 0.8228 0.982 0.8914 0 0.8914
"C6" 0.8356 0.3808 0 0 0.8356 0.3808 0.4686 0 0.4686
"T8" 0.0214 0.5836 0 0 0.0214 0.5836 0.597 0 0.597
"TP8" 0.1258 0.1508 0 0 0.1258 0.1508 0.7764 0 0.7764
"CP6" 0.0038 0.1336 0 0 0.0038 0.1336 0.3258 0 0.3258
"CP4" 0.3206 0.1932 0 0 0.3206 0.1932 0.1044 0 0.1044
"CP2" 0.0848 0.0202 0 0 0.0848 0.0202 0.4924 0 0.4924
"P2" 0.437 0.3436 0 0 0.437 0.3436 0.256 0 0.256
"P4" 0.818 0.1624 0 0 0.818 0.1624 0.2298 0 0.2298
"P6" 0.9642 0.9682 0 0 0.9642 0.9682 0.9876 0 0.9876
"P8" 0.0028 0.0228 0 0 0.0028 0.0228 0.4016 0 0.4016
"P10" 0.0308 0.1656 0 0 0.0308 0.1656 0.0308 0 0.0308
"PO8" 0.5118 0.5014 0 0 0.5118 0.5014 0.9452 0 0.9452
"PO4" 0.7292 0.0132 0 0 0.7292 0.0132 0.6444 0 0.6444
"O2" 0.9194 0.0054 0 0 0.9194 0.0054 0.1772 0 0.1772
