"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000429456205535937 0.000266472141573615 -0.0322965218042615 -0.0324595058682239 -0.0130257205674516 -0.00755511577481399 0.000347964173554776 -0.0323780138362427 -0.0102904181711328
"AF7" 0.000303230340264565 0.00014390368642581 -0.0323879510237329 -0.0325472776775716 -0.00886641301098259 -0.00385899711485019 0.000223567013345187 -0.0324676143506522 -0.00636270506291639
"AF3" 0.000460644449032294 0.000306803759352675 -0.032324687382371 -0.0324785280720506 -0.0138030879454748 -0.00895605898790947 0.000383724104192484 -0.0324016077272108 -0.0113795734666921
"F1" 2.44147229726227e-05 1.13268763893976e-05 -0.0319633482073675 -0.0319764360539507 -0.000386918564082898 -0.000188036596458005 1.78707996810102e-05 -0.0319698921306591 -0.000287477580270451
"F3" 0.000150429443864012 1.68432992742218e-05 -0.0321708856945035 -0.0323044718390933 -0.00415643402293428 -0.000234619278293588 8.36363715691167e-05 -0.0322376787667984 -0.00219552665061393
"F5" 4.70371330132033e-05 -5.49670151957233e-05 -0.0320754976111838 -0.0321775017593928 -0.000961071235518855 0.00109177824473816 -3.96494109126001e-06 -0.0321264996852883 6.53535046096521e-05
"F7" -0.000173484239496037 -5.16312114442814e-05 -0.0319106857920915 -0.0317888327640397 0.00457573499177501 0.00140925409629258 -0.000112557725470159 -0.0318497592780656 0.00299249454403379
"FT7" -8.26136241949461e-05 -5.40725947302226e-05 -0.0320777610693524 -0.0320492200398877 0.00217708128592279 0.00140538605311912 -6.83431094625843e-05 -0.0320634905546201 0.00179123366952095
"FC5" -2.1583913066171e-05 -3.21271972435773e-05 -0.0320825374457503 -0.0320930807299277 0.000311816246636958 0.000593270194482522 -2.68555551548742e-05 -0.032087809087839 0.00045254322055974
"FC3" 1.04930230766248e-05 5.39336278712491e-05 -0.0321252360722762 -0.0320817954674815 -0.000154374933718192 -0.00125811518715034 3.22133254739369e-05 -0.0321035157698788 -0.000706245060434265
"FC1" 1.48879366374348e-05 7.76289776086773e-05 -0.0322030194684427 -0.0321402784274714 -0.000193968303391663 -0.00188779430615237 4.6258457123056e-05 -0.032171648947957 -0.00104088130477201
"C1" -6.53841635768742e-06 9.99548834491507e-05 -0.0321985253811305 -0.0320920320813237 0.000136883080443223 -0.00243985112369948 4.67082335457316e-05 -0.0321452787312271 -0.00115148402162813
"C3" 1.69453869789613e-05 0.000132721652675323 -0.0323564468779622 -0.0322406706122659 -0.000333548884476975 -0.0035086019422363 7.48335198271423e-05 -0.032298558745114 -0.00192107541335664
"C5" -8.81211420558542e-06 5.49481964972515e-05 -0.0321480449179202 -0.0320842846072173 6.78480012902276e-05 -0.00133206780422174 2.3068041145833e-05 -0.0321161647625688 -0.000632109901465756
"T7" -3.57478083632678e-05 -7.20258997917306e-05 -0.0321217738869177 -0.0321580519783462 0.000648595271266432 0.00194973738945174 -5.38868540774992e-05 -0.0321399129326319 0.00129916633035909
"TP7" 9.15185391647108e-05 0.000277852937792747 -0.0324121908498447 -0.0322258564512167 -0.00247354280913048 -0.00795479173220976 0.000184685738478729 -0.0323190236505307 -0.00521416727067012
"CP5" 0.000155240014187126 0.000190424464117402 -0.032188721659968 -0.0321535372100377 -0.00426606258454573 -0.00540440525857201 0.000172832239152264 -0.0321711294350029 -0.00483523392155887
"CP3" 5.47990224817692e-05 0.000122853036993138 -0.0323527786097558 -0.0322847245952444 -0.00128923069264865 -0.00317288697125882 8.88260297374538e-05 -0.0323187516025001 -0.00223105883195374
"CP1" 0.000212586385654712 -0.000111802888223246 -0.0318772289467275 -0.0322016182206054 -0.00669536988044157 0.00331205320446628 5.03917487157329e-05 -0.0320394235836664 -0.00169165833798765
