"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000349417298113619 0.000349417298113619 -0.0323944336567371 -0.0323944336567371 -0.0103902526169271 -0.0103902526169272 0.000349417298113619 -0.0323944336567371 -0.0103902526169272
"AF7" 0.000221904288046322 0.000221904288046322 -0.0322958265504023 -0.0322958265504023 -0.00658122960358928 -0.00658122960358927 0.000221904288046322 -0.0322958265504023 -0.00658122960358927
"AF3" 0.000389470654835687 0.000389470654835687 -0.0324335602494341 -0.0324335602494341 -0.0118872528237884 -0.0118872528237884 0.000389470654835687 -0.0324335602494341 -0.0118872528237884
"F1" 1.85412409387254e-05 1.85412409387253e-05 -0.0320461898101112 -0.0320461898101112 -0.000356875684829196 -0.000356875684829143 1.85412409387254e-05 -0.0320461898101112 -0.00035687568482917
"F3" 8.27824132256038e-05 8.27824132256038e-05 -0.0321991961138686 -0.0321991961138686 -0.00208818765193553 -0.00208818765193553 8.27824132256038e-05 -0.0321991961138686 -0.00208818765193553
"F5" -5.61583691312278e-06 -5.61583691312279e-06 -0.0320630474412898 -0.0320630474412898 3.84524825494381e-05 3.84524825494388e-05 -5.61583691312279e-06 -0.0320630474412898 3.84524825494384e-05
"F7" -0.000100612467897668 -0.000100612467897668 -0.0321006634362376 -0.0321006634362376 0.00276754722096169 0.0027675472209617 -0.000100612467897668 -0.0321006634362376 0.00276754722096169
"FT7" -6.58378800787052e-05 -6.58378800787052e-05 -0.0320132044029418 -0.0320132044029418 0.00171465728847591 0.00171465728847591 -6.58378800787052e-05 -0.0320132044029418 0.00171465728847591
"FC5" -3.01993708506411e-05 -3.01993708506411e-05 -0.0320541076999511 -0.0320541076999511 0.00050461681463199 0.00050461681463199 -3.01993708506411e-05 -0.0320541076999511 0.00050461681463199
"FC3" 3.11623434803249e-05 3.11623434803249e-05 -0.0321741825696538 -0.0321741825696538 -0.000630119960999616 -0.00063011996099962 3.11623434803249e-05 -0.0321741825696538 -0.000630119960999618
"FC1" 4.2917340419737e-05 4.29173404197371e-05 -0.0322218601516504 -0.0322218601516504 -0.000876279427001617 -0.000876279427001617 4.2917340419737e-05 -0.0322218601516504 -0.000876279427001617
"C1" 4.86087555886473e-05 4.86087555886473e-05 -0.0320729951913192 -0.0320729951913192 -0.00124817507392896 -0.00124817507392893 4.86087555886473e-05 -0.0320729951913192 -0.00124817507392895
"C3" 7.38066178653233e-05 7.38066178653233e-05 -0.0321348135558366 -0.0321348135558366 -0.00187489948726465 -0.00187489948726466 7.38066178653233e-05 -0.0321348135558366 -0.00187489948726465
"C5" 2.63581566909394e-05 2.63581566909393e-05 -0.0322103384202738 -0.0322103384202738 -0.00044513711666186 -0.000445137116661871 2.63581566909394e-05 -0.0322103384202738 -0.000445137116661866
"T7" -5.31559841931921e-05 -5.3155984193192e-05 -0.0320501868704884 -0.0320501868704884 0.00133562533273414 0.00133562533273414 -5.3155984193192e-05 -0.0320501868704884 0.00133562533273414
"TP7" 0.000183923745439598 0.000183923745439598 -0.0321721729067597 -0.0321721729067597 -0.00523135171288736 -0.00523135171288736 0.000183923745439598 -0.0321721729067597 -0.00523135171288736
"CP5" 0.000175918850277432 0.000175918850277432 -0.032109791888783 -0.032109791888783 -0.00498525571751679 -0.0049852557175168 0.000175918850277432 -0.032109791888783 -0.00498525571751679
"CP3" 8.89850871198712e-05 8.89850871198712e-05 -0.032201745042681 -0.032201745042681 -0.00238822300065545 -0.00238822300065545 8.89850871198712e-05 -0.032201745042681 -0.00238822300065545
"CP1" 6.20003387852355e-05 6.20003387852356e-05 -0.0321709821031387 -0.0321709821031387 -0.0019014705643303 -0.0019014705643303 6.20003387852356e-05 -0.0321709821031387 -0.0019014705643303
"P1" 8.72313408479816e-05 8.72313408479817e-05 -0.0321706343669851 -0.0321706343669851 -0.00232739257549806 -0.00232739257549806 8.72313408479816e-05 -0.0321706343669851 -0.00232739257549806
"P3" -7.795301387397e-06 -7.79530138739702e-06 -0.0321023140906601 -0.0321023140906601 0.000216533043209207 0.000216533043209217 -7.79530138739701e-06 -0.0321023140906601 0.000216533043209212
"P5" -0.00017858372895596 -0.00017858372895596 -0.031824643674985 -0.031824643674985 0.00522705929336052 0.00522705929336053 -0.00017858372895596 -0.031824643674985 0.00522705929336053
"P7" -1.65833673729431e-05 -1.65833673729431e-05 -0.0320689509949237 -0.0320689509949237 0.000331974528329266 0.000331974528329266 -1.65833673729431e-05 -0.0320689509949237 0.000331974528329266
"P9" 1.32868785787908e-05 1.32868785787908e-05 -0.0321842371798238 -0.0321842371798238 -0.000175832338484063 -0.000175832338484077 1.32868785787908e-05 -0.0321842371798238 -0.00017583233848407
"PO7" -3.87327021749857e-05 -3.87327021749857e-05 -0.0320727377507349 -0.0320727377507349 0.00088412487974617 0.000884124879746147 -3.87327021749857e-05 -0.0320727377507349 0.000884124879746158
"PO3" 4.72376726746344e-05 4.72376726746344e-05 -0.0320457117871411 -0.0320457117871411 -0.00114621809912593 -0.00114621809912593 4.72376726746344e-05 -0.0320457117871411 -0.00114621809912593
"O1" -4.33929719577037e-06 -4.33929719577036e-06 -0.0320054840472892 -0.0320054840472892 2.73291542334314e-05 2.73291542334717e-05 -4.33929719577037e-06 -0.0320054840472892 2.73291542334515e-05
"Iz" -0.000194041424400414 -0.000194041424400414 -0.0321099121140847 -0.0321099121140847 0.00566672751727922 0.00566672751727918 -0.000194041424400414 -0.0321099121140847 0.0056667275172792
"Oz" -6.50128156320887e-06 -6.50128156320888e-06 -0.0321063620443123 -0.0321063620443123 3.98677953290733e-05 3.9867795329085e-05 -6.50128156320887e-06 -0.0321063620443123 3.98677953290791e-05
"POz" 1.39432950886698e-05 1.39432950886698e-05 -0.0319826072060058 -0.0319826072060058 -0.000158164476453387 -0.000158164476453385 1.39432950886698e-05 -0.0319826072060058 -0.000158164476453386
"Pz" 8.00047710758987e-05 8.00047710758987e-05 -0.032207040880309 -0.032207040880309 -0.00225139974146277 -0.00225139974146277 8.00047710758987e-05 -0.032207040880309 -0.00225139974146277
"CPz" 6.05949718504185e-06 6.05949718504184e-06 -0.0321182662490395 -0.0321182662490395 -5.70041824160493e-05 -5.70041824160519e-05 6.05949718504185e-06 -0.0321182662490395 -5.70041824160506e-05
"Fpz" 0.000220718560689141 0.000220718560689141 -0.0322225843844987 -0.0322225843844987 -0.00640013157679684 -0.00640013157679685 0.000220718560689141 -0.0322225843844987 -0.00640013157679685
"Fp2" 0.000286855363819511 0.000286855363819511 -0.0323768647453079 -0.0323768647453079 -0.00859350964192447 -0.00859350964192448 0.000286855363819511 -0.0323768647453079 -0.00859350964192448
"AF8" 7.66255320927636e-05 7.66255320927636e-05 -0.0321180121303524 -0.0321180121303524 -0.00200710704988228 -0.00200710704988229 7.66255320927636e-05 -0.0321180121303524 -0.00200710704988229
