"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.00125433384160066 -0.00314580107803174 -0.0228213613306494 -0.0272214962502818 -0.0488073385245979 0.119439166280489 -0.000945733618215542 -0.0250214287904656 0.0353159138779457
"AF7" 0.00356769092323926 -0.00123068888453195 -0.0246626397835783 -0.0294610195913495 -0.135425697539275 0.0460940133490365 0.00116850101935365 -0.0270618296874639 -0.0446658420951193
"AF3" 0.00226986043222731 0.000379602182563637 -0.0261829336638621 -0.0280731919135258 -0.0853521663942746 -0.0145805476384365 0.00132473130739548 -0.0271280627886939 -0.0499663570163556
"F1" 8.20228527413313e-05 0.00106561015266744 -0.0271233419040396 -0.0261397546041135 -0.00230619276352007 -0.0380027639899839 0.000573816502704384 -0.0266315482540766 -0.020154478376752
"F3" -0.00136326480873742 0.00170147106890239 -0.0275990147848733 -0.0245342789072335 0.0489567687070324 -0.0622432461126762 0.000169103130082485 -0.0260666468460534 -0.00664323870282192
"F5" -0.00127823131668246 0.00182118159706572 -0.0277977283097716 -0.0246983153960235 0.0463868131585655 -0.0663713111797646 0.000271475140191629 -0.0262480218528975 -0.0099922490105995
"F7" -0.000108820106912827 2.82652436175967e-05 -0.0258738266601263 -0.0257367413095959 0.00385370814414044 -0.000300500489747973 -4.02774316476153e-05 -0.0258052839848611 0.00177660382719623
"FT7" 0.00166618057679595 -0.00106624457438397 -0.0249806724030059 -0.0277130975541858 -0.0579496634573967 0.0371525873141186 0.000299968001205989 -0.0263468849785959 -0.010398538071639
"FC5" 0.00259603780767881 -0.000892403832226094 -0.0250502569589666 -0.0285386985988715 -0.0952173423351438 0.0303843980407368 0.000851816987726358 -0.0267944777789191 -0.0324164721472035
"FC3" -0.00201567986844078 0.000641047062329893 -0.0264903771327526 -0.023833650201982 0.0724653218089471 -0.0202872365753109 -0.000687316403055445 -0.0251620136673673 0.0260890426168181
