"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.006 0.054 0 0 0.006 0.054 0.004 0 0.004
"AF7" 0.044 0.136 0 0 0.044 0.136 0.046 0 0.046
"AF3" 0 0.032 0 0 0 0.032 0 0 0
"F1" 0.72 0.86 0 0 0.72 0.86 0.716 0 0.716
"F3" 0.18 0.822 0 0 0.18 0.822 0.204 0 0.204
"F5" 0.532 0.476 0 0 0.532 0.476 0.952 0 0.952
"F7" 0.188 0.664 0 0 0.188 0.664 0.198 0 0.198
"FT7" 0.476 0.58 0 0 0.476 0.58 0.366 0 0.366
"FC5" 0.762 0.606 0 0 0.762 0.606 0.606 0 0.606
"FC3" 0.876 0.504 0 0 0.876 0.504 0.528 0 0.528
"FC1" 0.884 0.398 0 0 0.884 0.398 0.474 0 0.474
"C1" 0.922 0.222 0 0 0.922 0.222 0.406 0 0.406
"C3" 0.844 0.168 0 0 0.844 0.168 0.254 0 0.254
"C5" 0.886 0.524 0 0 0.886 0.524 0.616 0 0.616
"T7" 0.674 0.632 0 0 0.674 0.632 0.636 0 0.636
"TP7" 0.468 0.032 0 0 0.468 0.032 0.044 0 0.044
"CP5" 0.204 0.14 0 0 0.204 0.14 0.06 0 0.06
"CP3" 0.56 0.214 0 0 0.56 0.214 0.204 0 0.204
"CP1" 0.34 0.636 0 0 0.34 0.636 0.75 0 0.75
"P1" 0.45 0.918 0 0 0.45 0.918 0.566 0 0.566
"P3" 0.272 0.388 0 0 0.272 0.388 0.89 0 0.89
"P5" 0.202 0.934 0 0 0.202 0.934 0.448 0 0.448
"P7" 0.822 0.692 0 0 0.822 0.692 0.69 0 0.69
"P9" 0.9 0.678 0 0 0.9 0.678 0.814 0 0.814
"PO7" 0.732 0.594 0 0 0.732 0.594 0.57 0 0.57
"PO3" 0.83 0.212 0 0 0.83 0.212 0.422 0 0.422
"O1" 0.472 0.532 0 0 0.472 0.532 0.818 0 0.818
"Iz" 0.958 0.01 0 0 0.958 0.01 0.08 0 0.08
"Oz" 0.974 0.98 0 0 0.974 0.98 0.97 0 0.97
"POz" 0.942 0.722 0 0 0.942 0.722 0.764 0 0.764
"Pz" 0.316 0.886 0 0 0.316 0.886 0.422 0 0.422
"CPz" 0.862 0.918 0 0 0.862 0.918 0.972 0 0.972
"Fpz" 0.012 0.48 0 0 0.012 0.48 0.014 0 0.014
"Fp2" 0.164 0.108 0 0 0.164 0.108 0.03 0 0.03
"AF8" 0.318 0.636 0 0 0.318 0.636 0.318 0 0.318
"AF4" 0.14 0.208 0 0 0.14 0.208 0.902 0 0.902
"AFz" 0.074 0.638 0 0 0.074 0.638 0.122 0 0.122
"Fz" 0.934 0.86 0 0 0.934 0.86 0.88 0 0.88
"F2" 0.72 0.816 0 0 0.72 0.816 0.884 0 0.884
"F4" 0.992 0.99 0 0 0.992 0.99 0.99 0 0.99
"F6" 0.976 0.22 0 0 0.976 0.22 0.44 0 0.44
"F8" 0.614 0.974 0 0 0.614 0.974 0.668 0 0.668
"FT8" 0.574 0.064 0 0 0.574 0.064 0.102 0 0.102
"FC6" 0.846 0.958 0 0 0.846 0.958 0.844 0 0.844
"FC4" 0.704 0.678 0 0 0.704 0.678 0.652 0 0.652
"FC2" 0.75 0.34 0 0 0.75 0.34 0.596 0 0.596
"FCz" 0.744 0.026 0 0 0.744 0.026 0.088 0 0.088
"Cz" 0.86 0.42 0 0 0.86 0.42 0.658 0 0.658
"C2" 0.52 0.586 0 0 0.52 0.586 0.43 0 0.43
"C4" 0.19 0.126 0 0 0.19 0.126 0.08 0 0.08
"C6" 0.966 0.9 0 0 0.966 0.9 0.9 0 0.9
"T8" 0.106 0.016 0 0 0.106 0.016 0.008 0 0.008
"TP8" 0.224 0.002 0 0 0.224 0.002 0.294 0 0.294
"CP6" 0.212 0.046 0 0 0.212 0.046 0.036 0 0.036
"CP4" 0.022 0 0 0 0.022 0 0 0 0
"CP2" 0.16 0.128 0 0 0.16 0.128 0.044 0 0.044
"P2" 0.888 0.898 0 0 0.888 0.898 0.862 0 0.862
"P4" 0.632 0.82 0 0 0.632 0.82 0.768 0 0.768
"P6" 0.692 0.086 0 0 0.692 0.086 0.184 0 0.184
"P8" 0.766 0.648 0 0 0.766 0.648 0.646 0 0.646
"P10" 0.526 0.148 0 0 0.526 0.148 0.158 0 0.158
"PO8" 0.08 0.44 0 0 0.08 0.44 0.078 0 0.078
"PO4" 0.102 0.13 0 0 0.102 0.13 0.752 0 0.752
"O2" 0.286 0.27 0 0 0.286 0.27 0.234 0 0.234
