"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0 0 0 0 0 0 0 0 0
"AF7" 0.24 0.24 0 0 0.24 0.24 0.24 0 0.24
"AF3" 0 0 0 0 0 0 0 0 0
"F1" 0.72 0.7 0 0 0.72 0.7 0.7 0 0.7
"F3" 0.26 0.26 0 0 0.26 0.26 0.26 0 0.26
"F5" 0.76 0.76 0 0 0.76 0.76 0.76 0 0.76
"F7" 0.14 0.14 0 0 0.14 0.14 0.14 0 0.14
"FT7" 0.5 0.5 0 0 0.5 0.5 0.5 0 0.5
"FC5" 0.64 0.64 0 0 0.64 0.64 0.64 0 0.64
"FC3" 0.38 0.38 0 0 0.38 0.38 0.38 0 0.38
"FC1" 0.46 0.46 0 0 0.46 0.46 0.46 0 0.46
"C1" 0.56 0.56 0 0 0.56 0.56 0.56 0 0.56
"C3" 0.32 0.32 0 0 0.32 0.32 0.32 0 0.32
"C5" 0.68 0.68 0 0 0.68 0.68 0.68 0 0.68
"T7" 0.72 0.72 0 0 0.72 0.72 0.72 0 0.72
"TP7" 0 0 0 0 0 0 0 0 0
"CP5" 0.06 0.06 0 0 0.06 0.06 0.06 0 0.06
"CP3" 0.2 0.2 0 0 0.2 0.2 0.2 0 0.2
"CP1" 0.68 0.68 0 0 0.68 0.68 0.68 0 0.68
"P1" 0.48 0.48 0 0 0.48 0.48 0.48 0 0.48
"P3" 0.82 0.82 0 0 0.82 0.82 0.82 0 0.82
"P5" 0.38 0.38 0 0 0.38 0.38 0.38 0 0.38
"P7" 0.9 0.9 0 0 0.9 0.9 0.9 0 0.9
"P9" 0.86 0.86 0 0 0.86 0.86 0.86 0 0.86
"PO7" 0.66 0.66 0 0 0.66 0.66 0.66 0 0.66
"PO3" 0.56 0.56 0 0 0.56 0.56 0.56 0 0.56
"O1" 0.88 0.88 0 0 0.88 0.88 0.88 0 0.88
"Iz" 0.02 0.02 0 0 0.02 0.02 0.02 0 0.02
"Oz" 0.98 0.98 0 0 0.98 0.98 0.98 0 0.98
"POz" 0.76 0.76 0 0 0.76 0.76 0.76 0 0.76
"Pz" 0.5 0.5 0 0 0.5 0.5 0.5 0 0.5
"CPz" 0.92 0.92 0 0 0.92 0.92 0.92 0 0.92
"Fpz" 0.02 0.02 0 0 0.02 0.02 0.02 0 0.02
"Fp2" 0.04 0.04 0 0 0.04 0.04 0.04 0 0.04
"AF8" 0.36 0.36 0 0 0.36 0.36 0.36 0 0.36
"AF4" 0.92 0.92 0 0 0.92 0.92 0.92 0 0.92
"AFz" 0.16 0.16 0 0 0.16 0.16 0.16 0 0.16
"Fz" 0.82 0.82 0 0 0.82 0.82 0.82 0 0.82
"F2" 0.94 0.94 0 0 0.94 0.94 0.94 0 0.94
"F4" 0.98 0.98 0 0 0.98 0.98 0.98 0 0.98
"F6" 0.56 0.56 0 0 0.56 0.56 0.56 0 0.56
"F8" 0.78 0.78 0 0 0.78 0.78 0.78 0 0.78
"FT8" 0.04 0.04 0 0 0.04 0.04 0.04 0 0.04
"FC6" 0.86 0.84 0 0 0.86 0.84 0.84 0 0.84
"FC4" 0.62 0.62 0 0 0.62 0.62 0.62 0 0.62
"FC2" 0.72 0.72 0 0 0.72 0.72 0.72 0 0.72
"FCz" 0.2 0.2 0 0 0.2 0.2 0.2 0 0.2
"Cz" 0.68 0.68 0 0 0.68 0.68 0.68 0 0.68
"C2" 0.48 0.48 0 0 0.48 0.48 0.48 0 0.48
"C4" 0.14 0.14 0 0 0.14 0.14 0.14 0 0.14
"C6" 0.92 0.92 0 0 0.92 0.92 0.92 0 0.92
"T8" 0.02 0.02 0 0 0.02 0.02 0.02 0 0.02
"TP8" 0.4 0.4 0 0 0.4 0.4 0.4 0 0.4
"CP6" 0.06 0.06 0 0 0.06 0.06 0.06 0 0.06
"CP4" 0.02 0.02 0 0 0.02 0.02 0.02 0 0.02
"CP2" 0.06 0.06 0 0 0.06 0.06 0.06 0 0.06
"P2" 0.98 0.98 0 0 0.98 0.98 0.98 0 0.98
"P4" 0.78 0.78 0 0 0.78 0.78 0.78 0 0.78
"P6" 0.14 0.14 0 0 0.14 0.14 0.14 0 0.14
"P8" 0.78 0.8 0 0 0.78 0.8 0.78 0 0.78
"P10" 0.16 0.16 0 0 0.16 0.16 0.16 0 0.16
"PO8" 0.16 0.16 0 0 0.16 0.16 0.16 0 0.16
"PO4" 0.98 0.98 0 0 0.98 0.98 0.98 0 0.98
"O2" 0.2 0.2 0 0 0.2 0.2 0.2 0 0.2
