"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.6248 0.2928 0.0024 0 0.6248 0.2928 0.659 2e-04 0.659
"AF7" 0.065 0.5016 6e-04 0 0.0654 0.502 0.4234 4e-04 0.4238
"AF3" 0.2864 0.8494 0 0 0.2864 0.8494 0.4092 0 0.4092
"F1" 0.9502 0.324 0 0 0.9502 0.324 0.5216 0 0.5216
"F3" 0.3454 0.127 0 4e-04 0.3456 0.1272 0.8586 2e-04 0.8584
"F5" 0.3646 0.085 0 0 0.3646 0.085 0.7924 0 0.7924
"F7" 0.9252 0.9482 2e-04 0 0.925 0.948 0.9322 0 0.932
"FT7" 0.0596 0.0884 0.0014 0 0.06 0.0888 0.6134 2e-04 0.6138
"FC5" 0.1222 0.1458 0.0022 6e-04 0.1232 0.1468 0.159 6e-04 0.16
"FC3" 0.0524 0.3046 2e-04 4e-04 0.0526 0.3048 0.2348 2e-04 0.235
"FC1" 0.8406 0.5838 2e-04 2e-04 0.8404 0.584 0.8504 2e-04 0.8506
"C1" 0.0556 0.7584 0 0 0.0556 0.7584 0.155 0 0.155
"C3" 0.98 0.988 2e-04 2e-04 0.9798 0.9882 0.9766 2e-04 0.9764
"C5" 0.1242 0.356 6e-04 2e-04 0.1242 0.3564 0.4782 2e-04 0.4782
"T7" 0.6712 0.6876 4e-04 2e-04 0.671 0.6874 0.8744 2e-04 0.8746
"TP7" 0.5248 0.0604 0 4e-04 0.5248 0.0604 0.3954 0 0.3954
"CP5" 0.3886 0.1852 0 0 0.3886 0.1852 0.6668 0 0.6668
"CP3" 0.4782 0.9132 0 0 0.4782 0.9132 0.7192 0 0.7192
"CP1" 0.0116 0.9886 4e-04 0 0.0116 0.9886 0.0948 0 0.0948
"P1" 0.0118 0.2752 2e-04 2e-04 0.012 0.2754 0.101 0 0.1012
"P3" 0.5326 0.1322 0 0 0.5326 0.1322 0.341 0 0.341
"P5" 0.0806 0.029 0 0.0016 0.081 0.0294 0.2966 6e-04 0.297
"P7" 0.8288 0.6378 0 0 0.8288 0.6378 0.8778 0 0.8778
"P9" 0.3334 0.5996 2e-04 0 0.3334 0.5996 0.957 0 0.957
"PO7" 0.0302 0.7276 6e-04 0 0.031 0.7276 0.051 0 0.0518
"PO3" 0.3894 0.228 0 0 0.3894 0.228 0.5284 0 0.5284
"O1" 0.0486 0.0014 0 0 0.0488 0.0016 0 0 2e-04
"Oz" 0.805 0.7866 0 0 0.805 0.7866 0.7876 0 0.7876
"POz" 0.2784 0.199 0 6e-04 0.2786 0.1992 0.5928 2e-04 0.593
"Pz" 0.0472 0.305 0 0 0.0472 0.305 0.0482 0 0.0482
"CPz" 0.0364 0.046 0.0068 0 0.0364 0.046 0.8834 2e-04 0.8834
"Fpz" 0.6564 0.3418 0.0026 0 0.6564 0.3418 0.7072 2e-04 0.7072
"Fp2" 0.0618 0.818 6e-04 0 0.0618 0.818 0.2 0 0.2
"AF8" 0.6562 0.882 2e-04 2e-04 0.6562 0.882 0.7066 2e-04 0.7066
"AF4" 0.5634 0.395 0.001 0 0.5634 0.395 0.8588 4e-04 0.8588
"AFz" 0.68 0.9094 2e-04 0 0.68 0.9094 0.886 0 0.886
"Fz" 0.4342 0.5272 0 0 0.4342 0.5272 0.382 0 0.382
"F2" 0.2928 0.1324 0 0 0.2928 0.1324 0.1112 0 0.1112
"F4" 0.305 0.0558 0 0 0.305 0.0558 0.0754 0 0.0754
"F6" 0.0338 0.0014 0 0 0.0338 0.0014 0.0016 0 0.0016
"F8" 0.6896 0.442 0 2e-04 0.6898 0.4422 0.5676 2e-04 0.5678
"FT8" 0.3398 0.1808 0.0014 4e-04 0.3402 0.1812 0.5672 6e-04 0.5672
"FC6" 0.1154 0.1132 0.0022 8e-04 0.1166 0.1144 0.5674 0.001 0.5686
"FC4" 0.1736 0.1008 2e-04 0.001 0.1738 0.101 0.761 2e-04 0.7608
"FC2" 0.737 0.576 0 0 0.737 0.576 0.8306 0 0.8306
"FCz" 0.0968 0.6356 2e-04 0 0.097 0.6354 0.2004 0 0.2006
"Cz" 0.0424 0.3952 4e-04 0 0.0426 0.3954 0.5606 0 0.5608
"C2" 0.942 0.749 0 0 0.9418 0.7492 0.873 0 0.8732
"C4" 0.1236 0.048 0 0 0.1236 0.048 0.0408 0 0.0408
