"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -1.33759410599973e-05 -9.88951941554742e-05 -4.65229703994967e-05 -0.000132042223494974 5.15699251321009e-05 0.0122482171629306 -5.61355676077358e-05 -8.92825969472352e-05 0.00614989354403136
"AF7" -8.25645384426146e-06 -0.000471291933025337 0.000322561331584002 -0.000140474147597073 0.0186110090112438 0.296948363755256 -0.000239774193434799 9.10435919934646e-05 0.15777968638325
"AF3" -1.81572843620452e-05 -5.48078597958492e-05 -9.61728624905052e-05 -0.000132823437924309 0.0103970198560421 0.0569429683346924 -3.64825720789472e-05 -0.000114498150207407 0.0336699940953673
"F1" 9.04133857910244e-05 -0.000162151652290582 1.39526249309554e-05 -0.000238612413150651 -0.0368526220249384 0.0588374475271989 -3.58691332497786e-05 -0.000112329894109848 0.0109924127511303
"F3" -2.16164332466648e-06 -5.25731753397803e-06 -0.000150149112629423 -0.000153244786838735 0.00132088971662531 0.0190894435350013 -3.70948042932226e-06 -0.000151696949734079 0.0102051666258133
"F5" 1.28662911926983e-05 0.000114124920211469 -0.000246300532064112 -0.000145041903045341 -0.0041567304715618 0.00533751337037206 6.34956057020838e-05 -0.000195671217554727 0.000590391449405133
"F7" 4.03615465460657e-05 0.000149542649612711 -0.000296206460920888 -0.000187025357854243 -0.00589996629213267 -0.0213614919389877 9.49520980793882e-05 -0.000241615909387565 -0.0136307291155602
"FT7" 0.000132161823205109 0.000318981031431798 -0.00045606220584206 -0.000269242997615371 -0.0521531458689801 -0.140887228057734 0.000225571427318454 -0.000362652601728715 -0.0965201869633568
"FC5" 7.81283763462302e-05 0.000201164430755783 -0.000357285629474612 -0.000234249575065059 -0.0117672108418449 -0.0328957475407876 0.000139646403551007 -0.000295767602269836 -0.0223314791913162
"FC3" -1.10674713172407e-05 6.09100833197172e-05 -0.000209784622087134 -0.000137807067450176 0.000503385669769064 0.0114783593545866 2.49213060012382e-05 -0.000173795844768655 0.00599087251217782
"FC1" -2.03765219764027e-05 -0.000147145609197569 -2.91801355522338e-06 -0.00012968710077639 0.00353482001617823 0.0704783857364815 -8.37610655869859e-05 -6.63025571658065e-05 0.0370066028763298
"C1" 7.88122196220063e-05 -0.000277530291934008 0.000138764486710602 -0.000217578024845413 -0.027420369155432 0.159432479363461 -9.93590361560007e-05 -3.94067690674055e-05 0.0660060551040143
"C3" -4.01717889554865e-05 -6.18524409471313e-05 -7.44204170726951e-05 -9.610106906434e-05 0.0235972699659508 0.0472278149523387 -5.10121149513089e-05 -8.52607430685175e-05 0.0354125424591447
