"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 5.80174768755241e-05 -2.15955804606928e-05 -0.000320436995189049 -0.000400050052525266 -0.0347934415322969 0.0112107305605248 1.82109482074157e-05 -0.000360243523857158 -0.0117913554858861
"AF7" -4.18982814932436e-05 2.16458132163412e-05 -0.000369792637318889 -0.000306248542609304 0.0399401535604225 -0.0231207210123812 -1.01262341384512e-05 -0.000338020589964097 0.00840971627402061
"AF3" -3.49165618057988e-06 -1.80152741091687e-06 -0.000337744262218757 -0.000336054133449094 0.000560130219611612 0.000467438276310349 -2.64659179574837e-06 -0.000336899197833926 0.000513784247960981
"F1" 8.774301949505e-05 2.21673535419076e-05 -0.000344157452329926 -0.000409733118283068 -0.0750290398144063 -0.010408173324049 5.49551865184788e-05 -0.000376945285306497 -0.0427186065692277
"F3" -2.66702638425744e-06 -1.31569187828585e-05 -0.000337733195575625 -0.000348223087974226 0.000418443028083966 0.00735300039289219 -7.91197258355797e-06 -0.000342978141774925 0.00388572171048808
"F5" 3.65134912187462e-05 2.34188296169472e-06 -0.000347823113723228 -0.000381994721980279 -0.0213422469142261 -0.000353977723027024 1.94276870902204e-05 -0.000364908917851753 -0.0108481123186266
"F7" -1.408263475711e-05 1.8459917116951e-05 -0.000352270125956952 -0.000319727574082891 0.00582590814346175 -0.00987803687816731 2.18864117992052e-06 -0.000335998850019921 -0.00202606436735278
"FT7" 1.35188344540513e-05 -9.3400241799611e-05 -0.000244594577426959 -0.000351513653680622 -0.00887456148529938 0.100844740821839 -3.99407036727799e-05 -0.000298054115553791 0.04598508966827
"FC5" 1.02155175737671e-05 -5.92925503410868e-06 -0.00032919490100979 -0.000345339673617665 -0.00455230420846278 0.00217132513798478 2.14313126982922e-06 -0.000337267287313727 -0.001190489535239
"FC3" -6.18461441239281e-05 -3.48721852597047e-05 -0.000294188057058265 -0.000267214098194042 0.0556636846930294 0.0269008660425296 -4.83591646918164e-05 -0.000280701077626154 0.0412822753677795
"FC1" 9.66854563880998e-06 4.94828964543541e-05 -0.000408015727004549 -0.000368201376189005 -0.00145836363579424 -0.039582213669734 2.9575721046582e-05 -0.000388108551596777 -0.0205202886527641
"C1" 4.43787263982826e-05 2.32134576426813e-05 -0.000358468794409646 -0.000379634063165248 -0.0289540449253073 -0.0149027184121615 3.37960920204819e-05 -0.000369051428787447 -0.0219283816687344
"C3" 1.89572909092753e-07 3.62908394564634e-06 -0.000348424618863296 -0.000344985107826742 0.000482437259923376 -0.00067630219853458 1.90932842736955e-06 -0.000346704863345019 -9.69324693056016e-05
"C5" -7.70701243690735e-05 -6.02662321622091e-05 -0.000278805574973201 -0.000262001682766337 0.0729078686878581 0.059420664346179 -6.86681782656413e-05 -0.000270403628869769 0.0661642665170185
"T7" -6.466922644374e-05 3.01071450966091e-05 -0.000375638619023702 -0.000280862247483353 0.0593835274794776 -0.0308534527837879 -1.72810406735655e-05 -0.000328250433253528 0.0142650373478448
"TP7" -4.54135885804839e-05 -5.88977425551348e-05 -0.000282748226572784 -0.000296232380547435 0.0335186543590352 0.0552948214434925 -5.21556655678093e-05 -0.000289490303560109 0.0444067379012638
"CP5" -0.000135586684528152 2.57224386629658e-05 -0.00036934802975136 -0.000208038906560242 0.142887259697433 -0.0153490633954832 -5.4932122932593e-05 -0.000288693468155801 0.0637690981509749
"CP3" 1.92694068358819e-06 1.8211378411332e-05 -0.000367094245648582 -0.000350809807920839 0.000258126972921692 -0.00960809794117699 1.00691595474601e-05 -0.00035895202678471 -0.00467498548412765
"CP1" 4.46588532805196e-05 9.29099141946451e-05 -0.000436255672219278 -0.000388004611305153 -0.0419227253652686 -0.0964241397674555 6.87843837375823e-05 -0.000412130141762216 -0.069173432566362
"P1" -0.000190601353764716 -0.000190844122309304 -0.000153891913372787 -0.000154134681917376 0.200764971074275 0.244742676538737 -0.00019072273803701 -0.000154013297645081 0.222753823806506
"P3" -1.84566374730698e-05 -8.58300824448869e-06 -0.000323972740376328 -0.000314099111147747 0.0246670233725491 0.00787008278211008 -1.35198228587792e-05 -0.000319035925762037 0.0162685530773296
"P5" -0.000347398804709358 -3.30687758572564e-05 -0.000295537886093904 1.87921427581982e-05 0.419165808985328 0.025191128638838 -0.000190233790283307 -0.000138372871667853 0.222178468812083
"P7" -0.000161186535078312 -2.05304697890802e-05 -0.000310949116651811 -0.000170293051362579 0.155076507484694 0.0204681936681259 -9.0858502433696e-05 -0.000240621084007195 0.08777235057641
"P9" -0.00095535123705125 -5.57880988023486e-05 -0.000263200372568953 0.000636362765679948 1.01686393342299 0.0415103287867825 -0.000505569667926799 0.000186581196555498 0.529187131104885
"PO7" -0.000303803044463751 -6.27637071824205e-05 -0.000274467083185415 -3.34277459040837e-05 0.359454849688406 0.0579417970753215 -0.000183283375823086 -0.000153947414544749 0.208698323381864
"PO3" -0.000626563823368551 -6.84629035105487e-05 -0.000236567023794631 0.000321533896063371 0.739764484567606 0.0573786595816246 -0.00034751336343955 4.248343613437e-05 0.398571572074615
"O1" -7.61420500564851e-05 -3.96405710284578e-06 -0.000337091291215245 -0.000264913298261606 0.061659508731543 0.00161617097584193 -4.00530535796655e-05 -0.000301002294738426 0.0316378398536925
"Oz" 7.60406750601186e-05 -1.48783275230448e-05 -0.000323038715994679 -0.000413957718577843 -0.0753242880063293 0.0126081596194201 3.05811737685369e-05 -0.000368498217286261 -0.0313580641934546
"POz" -7.98397923189278e-05 -3.6682299725534e-05 -0.000298755047665963 -0.000255597555072569 0.0740935213559016 0.0288152884034532 -5.82610460222309e-05 -0.000277176301369266 0.0514544048796774
"Pz" -2.61103398133055e-05 -8.66454468785357e-06 -0.000330933203319729 -0.000313487408194277 0.0281125309817314 0.00498151073376475 -1.73874422505795e-05 -0.000322210305757003 0.0165470208577481
"CPz" -1.1002382033674e-06 2.49158118145494e-06 -0.000343013827489605 -0.000339422008104783 0.000214627298104105 -0.000330039814977275 6.95671489043767e-07 -0.000341217917797194 -5.77062584365847e-05
"Fpz" 0.000167842919726835 0.000125090233946546 -0.000466393913880206 -0.000509146599660495 -0.19398731183179 -0.137683877847425 0.00014646657683669 -0.000487770256770351 -0.165835594839608
"Fp2" 0.000171095254008792 0.000121718657605558 -0.00046501381612083 -0.000514390412524064 -0.190683098073731 -0.130315964795755 0.000146406955807175 -0.000489702114322447 -0.160499531434743
"AF8" 3.8167590196058e-05 1.47346749504103e-05 -0.000353884507529256 -0.000377317422774903 -0.0205920711770466 -0.00467949394034568 2.64511325732342e-05 -0.00036560096515208 -0.0126357825586961
"AF4" 7.10587258120505e-05 1.06353906530548e-05 -0.000345097367447385 -0.000405520702606381 -0.0597608621849549 -0.00589594813112237 4.08470582325527e-05 -0.000375309035026883 -0.0328284051580386
"AFz" 5.16947577698859e-05 9.69504088914716e-06 -0.000342385650057159 -0.000384385366937898 -0.0383047989270425 -0.00403827319859937 3.06948993295165e-05 -0.000363385508497528 -0.0211715360628209
"Fz" 4.88269319983654e-05 1.65775598960108e-05 -0.000345255883066812 -0.000377505255169167 -0.029900883936171 -0.00612708720723468 3.27022459471881e-05 -0.000361380569117989 -0.0180139855717028
"F2" -1.50335563372962e-05 -4.76909450167329e-06 -0.000319556575462557 -0.000309292113626934 0.00729005906474006 0.00164968881276066 -9.90132541948472e-06 -0.000314424344544746 0.00446987393875036
"F4" -4.6090430056497e-06 1.03610533780324e-06 -0.000348831514678367 -0.000343186366334914 0.00156701636341889 -0.000256720883695461 -1.78646883392323e-06 -0.000346008940506641 0.000655147739861716
"F6" -5.4577922924875e-06 -1.04519477722934e-05 -0.000337447482086559 -0.000342441637566365 0.00156104899705387 0.00538324373950181 -7.95487003239047e-06 -0.000339944559826462 0.00347214636827784
"F8" -1.87879885556414e-05 -1.47790921528865e-05 -0.000328078724047241 -0.000324069827644486 0.00984369827974615 0.00804645025782185 -1.6783540354264e-05 -0.000326074275845864 0.008945074268784
"FT8" -1.28150161555381e-05 -1.46388937903371e-05 -0.000336838731649366 -0.000338662609284165 0.0053177194168959 0.00690250869629936 -1.37269549729376e-05 -0.000337750670466766 0.00611011405659763
"FC6" -9.46704604450138e-06 2.13095825138331e-05 -0.000364591072701887 -0.000333814444143553 0.00389918354807361 -0.0137548930887227 5.92126823466587e-06 -0.00034920275842272 -0.00492785477032453
"FC4" -3.43308373061905e-05 -1.53569369220101e-05 -0.000326243367053607 -0.000307269466669427 0.0275129893335662 0.00865966713368694 -2.48438871141003e-05 -0.000316756416861517 0.0180863282336266
"FC2" 4.93235438026844e-05 5.20189194048052e-05 -0.000383804425178512 -0.000381109049576391 -0.0383526992398029 -0.0440479974585721 5.06712316037448e-05 -0.000382456737377451 -0.0412003483491875
"FCz" -2.29179477020698e-05 3.14549188999955e-06 -0.000354687196768961 -0.000328623757176891 0.0178460985617195 -0.00184156638736489 -9.88622790603514e-06 -0.000341655476972926 0.0080022660871773
"Cz" -0.000120496339059798 0.000101134351804477 -0.000462414977904699 -0.000240784287040423 0.132600202152419 -0.108381437485323 -9.68099362766051e-06 -0.000351599632472561 0.0121093823335479
"C2" -3.0079144913821e-05 -1.81962520613531e-05 -0.000328452530478777 -0.000316569637626309 0.022535731703657 0.00990219182959785 -2.4137698487587e-05 -0.000322511084052543 0.0162189617666274
"C4" -1.51748057017374e-05 1.03333000810263e-06 -0.000339285902876099 -0.000323077767166259 0.00634035038607234 4.64018671692075e-06 -7.07073784681741e-06 -0.000331181835021179 0.00317249528639463
