"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.8968 0.4054 0.9402 0.8502 0.9986 0.9232 0.5002 0.8928 0.9556
"AF7" 0.9526 0.015 0.6672 0.8324 0.9206 0.8266 0.032 0.9134 0.8324
"AF3" 0.8076 0.7288 0.8896 0.8382 0.8538 0.8258 0.7294 0.8658 0.8252
"F1" 0.4002 0.1618 0.9818 0.745 0.8112 0.8468 0.5894 0.8814 0.956
"F3" 0.9864 0.9756 0.8246 0.8204 0.9628 0.9048 0.9722 0.8224 0.9054
"F5" 0.844 0.4894 0.709 0.8276 0.906 0.9858 0.4928 0.7672 0.984
"F7" 0.6254 0.3426 0.6542 0.7766 0.9198 0.9534 0.3444 0.7172 0.9528
"FT7" 0.229 0.0438 0.4874 0.6974 0.8334 0.859 0.0438 0.5888 0.859
"FC5" 0.4658 0.2868 0.5934 0.7298 0.9068 0.945 0.2874 0.662 0.9452
"FC3" 0.899 0.7042 0.7614 0.8364 0.9838 0.9646 0.7292 0.7944 0.954
"FC1" 0.7894 0.3144 0.9932 0.855 0.9384 0.8238 0.3332 0.9218 0.8326
"C1" 0.296 0.0764 0.8504 0.7572 0.8522 0.8226 0.141 0.9524 0.8504
"C3" 0.703 0.67 0.9054 0.8816 0.8258 0.8292 0.6704 0.8946 0.8284
"C5" 0.6794 0.1654 0.6512 0.7658 0.9362 0.8938 0.2242 0.707 0.8994
"T7" 0.3058 0.002 0.3306 0.8756 0.8564 0.8422 0.3802 0.685 0.9996
"TP7" 0.7758 0.2242 0.6642 0.81 0.9796 0.9248 0.2634 0.7336 0.9476
"CP5" 0.1142 0.114 0.5646 0.872 0.852 0.8586 0.8442 0.8326 0.644
"CP3" 0.802 0.4914 0.9074 0.8508 0.9022 0.8608 0.5146 0.8786 0.8608
"CP1" 0.1158 0.1012 0.9336 0.6146 0.8006 0.8748 0.9908 0.8322 0.7836
"P1" 0.1718 0.3834 0.899 0.8128 0.8198 0.8726 0.1334 0.9518 0.8246
"P3" 0.9786 0.937 0.8438 0.8358 0.9904 0.9224 0.9646 0.8438 0.9444
"P5" 0.2324 0.082 0.5872 0.9056 0.823 0.8562 0.979 0.825 0.8032
"P7" 0.1118 0.0254 0.3704 0.8708 0.8374 0.8466 0.4044 0.739 0.984
"P9" 0.17 0.8132 0.8482 0.5184 0.787 0.9658 0.161 0.8002 0.786
"PO7" 0.6116 0.0772 0.4508 0.9128 0.8086 0.8574 0.195 0.6624 0.9316
"PO3" 0.2076 0.0292 0.4764 0.7596 0.813 0.8402 0.855 0.855 0.8072
"O1" 0.9886 0.5806 0.6764 0.8376 0.9548 0.9068 0.5944 0.7508 0.9086
"Oz" 0.149 0.0088 0.2564 0.5608 0.8556 0.833 0.0088 0.3924 0.833
"POz" 0.9992 0.282 0.602 0.8314 0.935 0.955 0.3086 0.712 0.97
"Pz" 0.9682 0.9244 0.8248 0.8418 0.9996 0.9606 0.9434 0.8282 0.9648
"CPz" 0.996 0.9962 0.832 0.8396 0.9722 0.9268 0.9892 0.8356 0.9262
"Fpz" 0.6558 0.0032 0.601 0.769 0.8982 0.8496 0.0556 0.899 0.872
"Fp2" 0.8852 0.002 0.4758 0.7938 0.989 0.8214 0.0186 0.7996 0.8288
"AF8" 0.7418 0.3112 0.9728 0.8642 0.8446 0.8396 0.3218 0.9182 0.8386
"AF4" 0.682 0.0646 0.8678 0.7804 0.9274 0.8012 0.0876 0.9538 0.8146
"AFz" 0.7322 0.1686 0.9298 0.812 0.917 0.8362 0.2298 0.9326 0.8662
"Fz" 0.5388 0.301 0.992 0.7608 0.8594 0.826 0.4926 0.866 0.9212
"F2" 0.9646 0.8604 0.8504 0.8162 0.9782 0.8512 0.8676 0.833 0.8556
"F4" 0.5858 0.404 0.9764 0.88 0.8224 0.8286 0.4072 0.9236 0.8278
"F6" 0.9934 0.9774 0.8482 0.8456 0.9212 0.9148 0.9742 0.8492 0.914
"F8" 0.9652 0.7084 0.8072 0.8368 0.9778 0.9806 0.7442 0.8246 0.974
"FT8" 0.8162 0.735 0.8054 0.8142 0.989 0.9966 0.744 0.8078 0.9992
"FC6" 0.2952 0.2136 0.6242 0.674 0.8838 0.903 0.2106 0.646 0.9004
"FC4" 0.912 0.7546 0.7868 0.8184 0.9516 0.9526 0.7774 0.8026 0.9426
"FC2" 0.9078 0.6836 0.864 0.8174 0.893 0.9468 0.9176 0.8416 0.9416
"FCz" 0.4946 0.033 0.8628 0.9356 0.8758 0.8442 0.0554 0.962 0.8434
