"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.4308 0.5904 0.5334 0.4348 0.7294 0.8038 0.646 0.4838 0.8346
"AF7" 0.6524 0.8172 0.4634 0.5406 0.8198 0.9002 0.8888 0.4946 0.953
"AF3" 0.938 0.9672 0.5092 0.514 0.978 0.9712 0.9316 0.51 0.9656
"F1" 0.2728 0.5848 0.499 0.4204 0.68 0.8168 0.2804 0.4558 0.6872
"F3" 0.9578 0.737 0.5034 0.492 0.9808 0.8416 0.8036 0.4978 0.8846
"F5" 0.5288 0.9462 0.502 0.4622 0.7674 0.9852 0.59 0.4816 0.8098
"F7" 0.8104 0.6946 0.4882 0.5316 0.9202 0.852 0.9546 0.5072 0.9712
"FT7" 0.855 0.1298 0.6278 0.4952 0.931 0.5586 0.4118 0.5536 0.6982
"FC5" 0.8586 0.9008 0.5142 0.4958 0.9432 0.9566 0.9558 0.5036 0.9908
"FC3" 0.3212 0.4204 0.565 0.6028 0.654 0.6952 0.3 0.5808 0.6404
"FC1" 0.8342 0.502 0.428 0.4724 0.9472 0.7846 0.516 0.4474 0.7926
"C1" 0.4992 0.6384 0.468 0.439 0.769 0.8106 0.4262 0.4546 0.728
"C3" 0.9988 0.927 0.499 0.5004 0.973 0.9776 0.9416 0.5006 0.9958
"C5" 0.3342 0.2428 0.583 0.6014 0.658 0.6142 0.1706 0.5912 0.5804
"T7" 0.6948 0.7618 0.472 0.5974 0.8484 0.869 0.872 0.5252 0.94
"TP7" 0.5216 0.2012 0.5746 0.5622 0.7468 0.6084 0.2456 0.564 0.6216
"CP5" 0.106 0.588 0.4822 0.683 0.5632 0.8232 0.215 0.5794 0.6154
"CP3" 0.9584 0.6424 0.4734 0.4906 0.985 0.8282 0.7302 0.4772 0.8936
"CP1" 0.7086 0.3128 0.4058 0.465 0.8586 0.6672 0.3798 0.4302 0.6974
"P1" 0.2854 0.0042 0.7718 0.7774 0.6486 0.511 0.051 0.7712 0.5342
"P3" 0.8162 0.8336 0.5192 0.541 0.8512 0.8574 0.8188 0.5298 0.8538
"P5" 0.0126 0.56 0.596 0.9858 0.5572 0.8014 0.0132 0.8048 0.5574
"P7" 0.3232 0.7618 0.5554 0.7554 0.6886 0.8676 0.3128 0.6476 0.6838
"P9" 0.0064 0.4602 0.6752 0.3804 0.613 0.7888 0.004 0.7876 0.6106
"PO7" 0.0128 0.267 0.625 0.9452 0.5446 0.658 0.0124 0.774 0.5426
"PO3" 0.001 0.329 0.6892 0.6114 0.5978 0.7266 0.001 0.9604 0.5978
"O1" 0.3744 0.9078 0.5254 0.6136 0.6804 0.9342 0.3924 0.5714 0.688
"Oz" 0.6956 0.8522 0.5386 0.4626 0.8416 0.9346 0.7838 0.4948 0.8882
"POz" 0.2322 0.4248 0.562 0.6158 0.6244 0.7042 0.192 0.589 0.5998
"Pz" 0.7544 0.8178 0.5308 0.549 0.8428 0.873 0.756 0.5418 0.844
"CPz" 0.983 0.9414 0.4954 0.499 0.987 0.9802 0.9772 0.4968 0.9924
"Fpz" 0.1314 0.232 0.3666 0.3192 0.5668 0.6106 0.0658 0.337 0.5348
"Fp2" 0.2228 0.387 0.3778 0.3252 0.611 0.6928 0.176 0.3404 0.5934
