"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.00230270832984162 -0.000933259861249678 0.00565482925783695 0.00702427772642889 -0.00900263569448794 -0.0121130147657199 -0.00161798409554565 0.00633955349213292 -0.0105578252301039
"AF7" -0.0032585050935023 -0.00567579347187991 0.0108340079189031 0.00841671954052553 -0.0329401370193434 -0.148132961081277 -0.0044671492826911 0.00962536372971434 -0.09053654905031
"AF3" 0.000606966818631558 -0.000914231478975393 0.00604301961590187 0.00452182131829492 0.000743918817093262 -0.00312845178309017 -0.000153632330171918 0.0052824204670984 -0.00119226648299845
"F1" -0.00216671729378946 -0.00400707453729806 0.0089751494533854 0.00713479220987679 -0.012887130787414 -0.0646797448970194 -0.00308689591554376 0.0080549708316311 -0.0387834378422167
"F3" 1.74827595349092e-05 -0.000134313614524681 0.00506416740143023 0.00491237102737064 0.000368925360914562 0.00967004208188801 -5.84154274948858e-05 0.00498826921440043 0.00501948372140129
"F5" -0.000576936874196128 0.00249819049845805 0.0025451582706075 0.00562028564326168 -0.002047588018339 0.0565938550767241 0.000960626812130959 0.00408272195693459 0.0272731335291925
"F7" 0.000439828462083377 0.00401817673113386 0.000889912535314809 0.00446826080436529 0.00359059082869744 0.100437975256965 0.00222900259660862 0.00267908666984005 0.0520142830428314
"FT7" 0.000310827286071864 0.0111522955619388 -0.00599753049933742 0.00484393777652956 0.0131991068680825 0.355401867816762 0.00573156142400535 -0.00057679636140393 0.184300487342422
"FC5" 0.000770461314675995 0.00497189464181826 -0.000180732286701654 0.00402070104044061 0.00635195528070888 0.137002435082693 0.00287117797824713 0.00191998437686948 0.0716771951817008
"FC3" 2.05526436056413e-05 0.00160553222929906 0.00337792014806885 0.00496289973376227 0.000523617032384138 0.0541080836251469 0.00081304243645235 0.00417040994091556 0.0273158503287655
"FC1" 5.00137129668636e-05 -0.0038166784369482 0.00871131770866522 0.00484462555875016 -0.000622306249656247 -0.0418498519273785 -0.00188333236199067 0.00677797163370769 -0.0212360790885174
"C1" 0.000766346405398098 -0.00857186672732843 0.0134640652904159 0.00412585215768933 0.00169839065312399 -0.192313172174873 -0.00390276016096517 0.0087949587240526 -0.0953073907608744
"C3" -0.000881146947049516 -0.00171906311076584 0.00656842859534259 0.00573051243162627 0.00178309116678535 0.00576913755086977 -0.00130010502890768 0.00614947051348443 0.00377611435882756
