"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.000475217197672392 7.50181112645095e-05 0.0100066908134006 0.00960649172699268 0.012187519092797 0.00137336422301949 0.000275117654468451 0.00980659127019663 0.00678044165790823
"AF7" -0.00432071143217287 -0.000372907501493776 0.0102132483161716 0.0141610522468506 -0.244816113804648 -0.0173686998794617 -0.00234680946683332 0.0121871502815111 -0.131092406842055
"AF3" -0.000186052188076978 8.72310347758468e-05 0.0100941752792279 0.0103674585020807 -0.00271855656652061 0.00118655563007544 -4.94105766505655e-05 0.0102308168906543 -0.000766000468222588
"F1" -0.00158887784292004 -0.00082130994358863 0.0103453123212194 0.0111128802205508 -0.0717162301992245 -0.0305100538350001 -0.00120509389325434 0.0107290962708851 -0.0511131420171123
"F3" 0.000285881867354447 1.88999275130829e-05 0.00980694959411045 0.00953996765426909 0.00676996945709356 0.000169593475841138 0.000152390897433765 0.00967345862418977 0.00346978146646735
"F5" 0.00027379067101659 0.000568173477609718 0.00937102444380115 0.00966540725039427 0.00607301511550646 0.0200591451999686 0.000420982074313154 0.00951821584709771 0.0130660801577375
"F7" 0.000620962593164814 0.000859690371771753 0.0090597137021388 0.00929844148074574 0.0196927785086368 0.0359536924233428 0.000740326482468283 0.00917907759144227 0.0278232354659898
"FT7" 0.00236020887269725 0.00204016929102294 0.00806346476981486 0.00774342518814055 0.129661317514063 0.112809312100663 0.00220018908186009 0.0079034449789777 0.121235314807363
"FC5" 0.00111675137861701 0.00157797964390722 0.00869765571014896 0.00915888397543917 0.0487123275142694 0.083042456591996 0.00134736551126212 0.00892826984279407 0.0658773920531327
"FC3" 0.000944663633032886 0.00102591068708012 0.00883596620095973 0.00891721325500696 0.0362880707721788 0.0449719639980589 0.000985287160056501 0.00887658972798335 0.0406300173851189
"FC1" -0.000838074901530269 -0.000831092563253928 0.0107166212545854 0.0107236035928617 -0.0269095050533734 -0.033223194803435 -0.000834583732392098 0.0107201124237236 -0.0300663499284042
"C1" -0.00185198631946536 -0.000723125060473522 0.0104365945190569 0.0115654557780487 -0.0850583652390649 -0.0285698720064544 -0.00128755568996944 0.0110010251485528 -0.0568141186227597
"C3" -0.00013418792107379 -1.16658378889628e-05 0.00949688433747521 0.00961940642066004 -0.000983785883207136 6.30186515664835e-05 -7.29268794813766e-05 0.00955814537906763 -0.000460383615820326
"C5" 0.00391484237219778 0.00100309216691912 0.00862354474142078 0.00571179453614213 0.218113475752357 0.046846901975783 0.00245896726955845 0.00716766963878146 0.13248018886407
"T7" -0.0036633409096646 0.00252458576434711 0.00740306392077308 0.0135909905947848 -0.193529914809071 0.136267373894417 -0.000569377572658744 0.0104970272577789 -0.0286312704573269
"TP7" 0.00323854700532107 -0.000722073723157634 0.0106563415354824 0.00669572080700366 0.163750683964692 -0.026845697743041 0.00125823664108172 0.00867603117124301 0.0684524931108253
"CP5" -0.000432608233867883 -0.00258943479226863 0.0125795533756529 0.0104227268172521 -0.0138862278384733 -0.139176643022987 -0.00151102151306825 0.0115011400964525 -0.0765314354307302
"CP3" -0.00048024237154857 -7.41373396920248e-05 0.00966794013520605 0.0100740451670626 -0.0115207790905566 -0.00107419650533119 -0.000277189855620297 0.00987099265113432 -0.0062974877979439
"CP1" -0.000621648108825414 0.00052575615300696 0.00932852408457947 0.0104759283464118 -0.0279333655496694 0.0220188564125384 -4.79459779092273e-05 0.00990222621549566 -0.00295725456856548
"P1" -0.00254197784213454 -0.000516133737114758 0.0105759138345157 0.0126017579395355 -0.127069092757655 -0.0234214744800259 -0.00152905578962465 0.0115888358870256 -0.0752452836188403
"P3" 0.000404748865662997 -0.000132036446882141 0.00971414877264684 0.0091773634601017 0.0168320644078108 -0.00213902930101813 0.000136356209390428 0.00944575611637427 0.00734651755339633
"P5" -0.00237871662919837 -0.000614586354972757 0.0106662316367849 0.0124303619110105 -0.114986554577772 -0.0268303259778871 -0.00149665149208556 0.0115482967738977 -0.0709084402778297
"P7" 0.00209265795488652 -0.00260516737038672 0.0125323261158467 0.00783450079057344 0.0935772479519249 -0.145928058802267 -0.000256254707750097 0.0101834134532101 -0.0261754054251709
"P9" 0.00594655977327664 -0.000760545981666207 0.0108833989468616 0.00417629319191871 0.29965033512154 -0.03645857742275 0.00259300689580522 0.00752984606939013 0.131595878849395
"PO7" 0.000784550679197984 0.000278695341617047 0.00964267049595191 0.00913681515837097 0.0293288538076755 0.0126459713832085 0.000531623010407516 0.00938974282716144 0.020987412595442
"PO3" 0.00147678983614575 -0.000440334111897869 0.0103926557112619 0.00847553176321829 0.068743369354302 -0.0205158189453159 0.000518227862123942 0.0094340937372401 0.0241137752044931
"O1" 0.00235281947154329 0.000282329645274985 0.00961080980784122 0.00754031998157292 0.116902924579866 0.0072396115205233 0.00131757455840914 0.00857556489470707 0.0620712680501945
"Oz" 0.00644131029524544 0.000230698454333696 0.00945961696671004 0.0032490051257983 0.342257454320994 0.0109760055725879 0.00333600437478957 0.00635431104625417 0.176616729946791
"POz" -0.00109337213472362 -0.00040832091893791 0.0103454839887023 0.011030535204488 -0.0425469891158995 -0.0119739127007719 -0.000750846526830766 0.0106880095965952 -0.0272604509083357
"Pz" -3.64816404021502e-05 -0.00029103745555647 0.0102978657745868 0.0100433099594324 -7.60255032703537e-05 -0.0070243247353489 -0.00016375954797931 0.0101705878670096 -0.00355017511930963
"CPz" -5.35147176039293e-05 -9.06012326590328e-06 0.00988681334021159 0.00993126793454962 -0.000265967514185481 -7.91648472481332e-06 -3.12874204349163e-05 0.0099090406373806 -0.000136941999455147
"Fpz" 0.000595795691185373 -0.00358570748509121 0.0135960472645071 0.00941454408823052 0.0274418041589046 -0.204620513439603 -0.00149495589695292 0.0115052956763688 -0.0885893546403494
"Fp2" -0.00348123529231151 -0.00120173626597198 0.0109880105075079 0.0132675095338474 -0.194302487401362 -0.0680900909673347 -0.00234148577914174 0.0121277600206777 -0.131196289184348
"AF8" -0.000703028437230793 -0.000383876491194942 0.0103583260293492 0.0106774779753851 -0.0203401204038355 -0.00931459794168585 -0.000543452464212867 0.0105179020023672 -0.0148273591727607
"AF4" -0.00147710662486607 -0.00108602731442179 0.0109715637262203 0.0113626430366646 -0.0652110135668994 -0.0480666707390558 -0.00128156696964393 0.0111671033814425 -0.0566388421529776
"AFz" -0.00171269376523422 -0.000468040795223374 0.0101863731384918 0.0114310261085027 -0.0775439445329484 -0.0114218728392218 -0.0010903672802288 0.0108086996234973 -0.0444829086860851
"Fz" -0.000643507210333995 -0.000521815763355147 0.0104742423159237 0.0105959337629026 -0.0159598014545632 -0.014541713885645 -0.000582661486844571 0.0105350880394132 -0.0152507576701041
"F2" 0.000535238446272068 0.000250255914543996 0.00932738419607845 0.00904240166435038 0.0205187104943956 0.00707158759943466 0.000392747180408032 0.00918489293021442 0.0137951490469151
"F4" -0.000438748233889723 -0.00035015273211896 0.0101560493756364 0.0102446448774072 -0.00896373279149918 -0.00802279933562743 -0.000394450483004341 0.0102003471265218 -0.0084932660635633
"F6" 0.000454571578285855 0.000134227970177104 0.00982135979448535 0.0095010161863766 0.018925628232299 0.00256735473675764 0.000294399774231479 0.00966118799043097 0.0107464914845283
"F8" 0.000601226124534484 0.000525537530544003 0.00946149612801276 0.00938580753402228 0.0217494008435648 0.0216929057436454 0.000563381827539244 0.00942365183101752 0.0217211532936051
"FT8" 0.00106197551718157 -0.0002407914599847 0.0100218147715742 0.00871904779440797 0.0505109246567712 -0.00475307430017787 0.000410592028598436 0.00937043128299111 0.0228789251782967
"FC6" 0.00354540622064086 0.000810141047172713 0.00884922370765967 0.00611395853419153 0.196459727612455 0.0346176970094623 0.00217777363390679 0.0074815911209256 0.115538712310958
"FC4" 0.00156074537226988 6.04881389438765e-05 0.00939360362373245 0.00789334639040644 0.0801309122217278 0.00100214828634721 0.000810616755606879 0.00864347500706945 0.0405665302540375
"FC2" -0.00320615687557464 -0.00106649611760268 0.0105678531001537 0.0127075138581257 -0.173600392390983 -0.0448239323217224 -0.00213632649658866 0.0116376834791397 -0.109212162356353
"FCz" -0.0022207411847935 -0.00392009927509728 0.0141103105325429 0.0124109524422391 -0.10875402611022 -0.226683255487267 -0.00307042022994539 0.013260631487391 -0.167718640798743
"Cz" -0.00239449146637711 -0.00477710816822167 0.0149328358345322 0.0125502191326877 -0.124830797212601 -0.289525735370769 -0.00358579981729939 0.0137415274836099 -0.207178266291685
"C2" -0.0018170348535226 -0.00150015304492561 0.0113563424226478 0.0116732242312448 -0.0811846507088367 -0.069352268977713 -0.0016585939492241 0.0115147833269463 -0.0752684598432749
"C4" -7.16419197838196e-05 1.77626139467093e-06 0.00991399785413859 0.00998741603531708 -0.000796529127636767 0.000655855508582697 -3.49328291945743e-05 0.00995070694472784 -7.03368095270351e-05
"C6" 0.00148163233589319 0.000735813261637139 0.00925701858353196 0.00851119950927591 0.0670225334296553 0.0290320188854192 0.00110872279876516 0.00888410904640393 0.0480272761575372
"T8" -0.00132264303835586 -0.000118496841434775 0.00998889858980123 0.0111930447867223 -0.0536953869128889 -0.00162194607165052 -0.000720569939895319 0.0105909716882618 -0.0276586664922697
"TP8" 0.00344977632236553 0.000336487155159736 0.00932935248112946 0.00621606331392366 0.185757096000936 0.0104279059815847 0.00189313173876264 0.00777270789752656 0.0980925009912602
"CP6" 0.00155211118766426 0.000227402360651099 0.00939626096189105 0.00807155213487789 0.0707083796073123 0.00663645983600672 0.000889756774157678 0.00873390654838447 0.0386724197216595
"CP4" -0.000710045738840676 0.00157668375418627 0.00866302443112771 0.0109497539241547 -0.0313246087532472 0.0776370494571467 0.000433319007672798 0.00980638917764119 0.0231562203519498
"CP2" -0.000162002099045886 -0.000442797205787951 0.0105495191583251 0.010268724051583 -0.00129659902464122 -0.0129112414132196 -0.000302399652416919 0.010409121604954 -0.00710392021893041
"P2" -0.000350404434123468 -0.000329935540471406 0.0102912127220644 0.0103116816157165 -0.00824199068423312 -0.0100527047867549 -0.000340169987297437 0.0103014471688904 -0.00914734773549401
"P4" 0.00355104823499838 0.00127921576848408 0.00864603595694378 0.00637420349042949 0.193592046488741 0.0658209811257068 0.00241513200174123 0.00751011972368663 0.129706513807224
"P6" 0.00311890807106341 0.0040479639085362 0.00580845980143177 0.00673751563890456 0.165512344430893 0.243606609583842 0.00358343598979981 0.00627298772016817 0.204559477007368
"P8" 0.00966060193197323 0.00225120221791842 0.0072274572013083 -0.000181942512746509 0.558637943478267 0.118780699829351 0.00595590207494583 0.00352275734428089 0.338709321653809
"P10" 0.0136204695052949 -0.00241677338885232 0.0121123226587596 -0.00392492023538756 0.722993056968885 -0.113663566035758 0.00560184805822127 0.00409370121168602 0.304664745466564
"PO8" 0.0155887903303999 0.00441335931744054 0.00524748431691484 -0.0059279466960445 0.910896362196369 0.243990346239419 0.0100010748239202 -0.000340231189564833 0.577443354217894
"PO4" 0.00384478410119748 0.00346041005078804 0.00645380491265414 0.0060694308622447 0.202992473114324 0.201102283845001 0.00365259707599276 0.00626161788744942 0.202047378479663
"O2" 0.0227057467302187 0.0026754657993672 0.00632179682111485 -0.0137084841097366 1.21139335223097 0.117492532209588 0.0126906062647929 -0.00369334364431089 0.664442942220278
