"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.5136 0.7458 0.7608 0.7016 0.9372 0.8934 0.4838 0.7326 0.885
"AF7" 0.466 0.0332 0.5586 0.6474 0.9162 0.7778 0.087 0.5998 0.8
"AF3" 0.7944 0.7244 0.7518 0.805 0.9852 0.9848 0.8944 0.7808 0.9968
"F1" 0.3638 0.1464 0.6258 0.6934 0.9002 0.8524 0.1486 0.6594 0.855
"F3" 0.9824 0.957 0.7828 0.7924 0.9846 0.946 0.9636 0.7854 0.9546
"F5" 0.7654 0.465 0.8948 0.7636 0.9484 0.83 0.5194 0.8266 0.8356
"F7" 0.8048 0.3398 0.9612 0.815 0.9252 0.7946 0.3412 0.8872 0.7932
"FT7" 0.8792 0.04 0.729 0.791 0.8892 0.7744 0.04 0.973 0.7744
"FC5" 0.7144 0.285 0.9908 0.8354 0.904 0.7806 0.286 0.919 0.7812
"FC3" 0.9962 0.6998 0.8562 0.7838 0.9794 0.8466 0.7016 0.8202 0.846
"FC1" 0.9866 0.3104 0.6278 0.7956 0.9816 0.9134 0.3156 0.7118 0.9142
"C1" 0.762 0.074 0.4646 0.816 0.9788 0.8168 0.0788 0.6312 0.8164
"C3" 0.7172 0.6578 0.7118 0.7448 0.9724 0.979 0.6578 0.7264 0.979
"C5" 0.5798 0.139 0.9996 0.7282 0.9688 0.798 0.2654 0.8702 0.8052
"T7" 6e-04 4e-04 0.6868 0.2068 0.7742 0.774 0.252 0.651 0.8396
"TP7" 0.5384 0.2282 0.981 0.8392 0.8216 0.7622 0.2282 0.9274 0.7622
"CP5" 0.1152 0.1096 0.9834 0.5792 0.7894 0.7858 0.8474 0.764 0.9972
"CP3" 0.6388 0.4678 0.6694 0.7494 0.9882 0.9796 0.4678 0.7122 0.9792
"CP1" 0.7634 2e-04 0.2902 0.8322 0.9092 0.7828 0.0124 0.522 0.787
"P1" 0.2666 0.5638 0.7542 0.5592 0.8354 0.937 0.2234 0.6446 0.827
"P3" 0.9374 0.9368 0.767 0.7702 0.8836 0.8842 0.9368 0.7676 0.8842
"P5" 0.5536 0.0812 0.9682 0.7242 0.9364 0.806 0.3542 0.8756 0.825
"P7" 0.5308 0.0216 0.9398 0.6746 0.9056 0.7848 0.4542 0.8624 0.8546
"P9" 0.989 0.7686 0.8428 0.8342 0.9792 0.9016 0.9052 0.83 0.939
"PO7" 0.1946 0.0764 0.806 0.996 0.7846 0.7544 0.0764 0.8988 0.7544
"PO3" 0.2076 0.0254 0.757 0.979 0.8106 0.766 0.026 0.8644 0.7658
"O1" 0.5828 0.581 0.8314 0.9182 0.8292 0.8274 0.5804 0.87 0.828
"Oz" 0.266 0.0058 0.9116 0.9306 0.8098 0.7796 0.0288 0.9196 0.7798
"POz" 0.789 0.2854 0.9074 0.8074 0.9156 0.7972 0.3126 0.8544 0.8008
"Pz" 0.9616 0.9396 0.7874 0.7794 0.9668 0.9324 0.9366 0.7838 0.9258
"CPz" 0.9866 0.9918 0.7848 0.7928 0.977 0.9046 0.9924 0.7854 0.9036
"Fpz" 0.7276 0.0012 0.4352 0.7186 0.9724 0.7736 0.0308 0.5686 0.78
"Fp2" 0.8904 0.0574 0.4686 0.7632 0.9778 0.798 0.2184 0.5986 0.8614
"AF8" 0.3762 0.3328 0.6098 0.6624 0.9526 0.9452 0.333 0.6364 0.9454
"AF4" 0.8574 0.0628 0.492 0.8 0.9522 0.8044 0.0792 0.6316 0.8068
"AFz" 0.3848 0.156 0.6204 0.6936 0.8858 0.843 0.1606 0.6552 0.8432
"Fz" 0.9854 0.2954 0.694 0.8032 0.98 0.8884 0.3796 0.7442 0.9034
"F2" 0.9848 0.8854 0.7656 0.7854 0.9992 0.9954 0.9194 0.7722 0.983
"F4" 0.5594 0.3948 0.6588 0.7136 0.9768 0.925 0.3958 0.6866 0.9256
"F6" 0.9966 0.9928 0.8034 0.802 0.9318 0.9048 0.993 0.8008 0.9058
"F8" 0.887 0.7016 0.8396 0.7942 0.9396 0.8502 0.7088 0.8172 0.855
"FT8" 0.8676 0.7356 0.8082 0.7658 0.971 0.9058 0.8464 0.787 0.9206
"FC6" 0.9428 0.206 0.8988 0.7746 0.9528 0.7928 0.3016 0.8338 0.798
"FC4" 0.7544 0.7526 0.8196 0.8216 0.7948 0.795 0.7526 0.8204 0.795
"FC2" 0.3602 0.0548 0.6056 0.6894 0.902 0.7858 0.056 0.6412 0.7946
"FCz" 0.698 0.015 0.4854 0.8552 0.9426 0.81 0.054 0.6512 0.8086
"Cz" 0.6968 0.0022 0.3088 0.7354 0.9264 0.7946 0.0034 0.4934 0.7954
"C2" 0.2788 0.1094 0.4718 0.6918 0.9084 0.8622 0.1094 0.5732 0.8622
"C4" 0.948 0.8912 0.8052 0.7794 0.9742 0.9134 0.9092 0.7908 0.9138
"C6" 0.594 0.3756 0.911 0.7352 0.8822 0.8014 0.4532 0.8162 0.8134
"T8" 0.967 0.4938 0.7194 0.7776 0.9984 0.9376 0.6602 0.7492 0.968
"TP8" 0.726 0.3354 0.959 0.8218 0.8864 0.7686 0.3392 0.8886 0.7696
"CP6" 0.8816 0.3392 0.9936 0.8026 0.8916 0.7664 0.34 0.9056 0.7664
"CP4" 0.5872 0.0602 0.707 0.855 0.9096 0.7746 0.0602 0.9246 0.7746
"CP2" 0.6394 0.4512 0.5864 0.7398 0.9984 0.9766 0.4512 0.6602 0.9766
"P2" 0.6798 0.6444 0.6732 0.755 0.9426 0.9428 0.6444 0.7138 0.9428
"P4" 0.3536 0.0222 0.8636 0.9148 0.8534 0.7716 0.0254 0.9704 0.772
"P6" 0.3878 0 0.5696 0.958 0.8928 0.797 0.0024 0.7654 0.7978
"P8" 0.014 0.0074 0.8386 0.5432 0.8118 0.8104 0.0074 0.6708 0.8104
"P10" 0.3436 4e-04 0.7234 0.8368 0.8478 0.789 0.0462 0.7728 0.794
"PO8" 0.009 0 0.3252 0.3176 0.7948 0.7898 0 0.3016 0.7898
"PO4" 0.9666 0.0012 0.5168 0.8216 0.9414 0.7912 0.0454 0.841 0.7938
"O2" 0 0 0.3994 0.1894 0.7988 0.7988 0 0.256 0.7988
