"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.7444 0.9164 0.3512 0.3714 0.8376 0.946 0.7424 0.357 0.8372
"AF7" 0.0256 0.8328 0.3606 0.2018 0.3904 0.8964 0.1034 0.2726 0.443
"AF3" 0.8472 0.899 0.3554 0.3392 0.904 0.9358 0.9282 0.3466 0.9618
"F1" 0.276 0.4008 0.3308 0.299 0.5558 0.633 0.2716 0.3164 0.5526
"F3" 0.7846 0.9698 0.369 0.3856 0.8486 0.9838 0.8202 0.3766 0.8714
"F5" 0.823 0.513 0.3904 0.376 0.8836 0.6772 0.5982 0.3848 0.7328
"F7" 0.6128 0.4042 0.4092 0.3992 0.7676 0.6146 0.3732 0.4042 0.6
"FT7" 0.1348 0.1154 0.4562 0.4766 0.4344 0.4234 0.0508 0.4654 0.374
"FC5" 0.414 0.1452 0.4234 0.3954 0.5896 0.4332 0.164 0.4064 0.432
"FC3" 0.4126 0.33 0.4212 0.4194 0.6128 0.5586 0.3024 0.4196 0.5382
"FC1" 0.537 0.512 0.3178 0.3128 0.7464 0.7306 0.5094 0.3166 0.7296
"C1" 0.2168 0.4644 0.3374 0.2916 0.5104 0.6688 0.1824 0.3104 0.4876
"C3" 0.9392 0.9832 0.383 0.3822 0.9898 0.9922 0.9432 0.3822 0.9942
"C5" 0.0506 0.3598 0.4392 0.6052 0.4112 0.5932 0.0498 0.5168 0.412
"T7" 0.29 0.232 0.5032 0.2386 0.5526 0.5146 0.7842 0.3464 0.8676
"TP7" 0.1158 0.422 0.3668 0.5682 0.4528 0.6374 0.2122 0.4588 0.5108
"CP5" 0.7658 0.0874 0.2436 0.339 0.8406 0.4258 0.1346 0.2892 0.4562
"CP3" 0.6798 0.9082 0.3762 0.3582 0.825 0.9358 0.6966 0.3674 0.8314
"CP1" 0.7956 0.785 0.3968 0.3338 0.879 0.8792 0.9734 0.3598 0.9832
"P1" 0.5134 0.732 0.343 0.2852 0.6762 0.824 0.4684 0.3078 0.6548
"P3" 0.8066 0.8664 0.3964 0.422 0.8644 0.9178 0.8514 0.4038 0.8924
"P5" 0.2482 0.604 0.3318 0.263 0.5186 0.7376 0.2432 0.2938 0.5176
"P7" 0.5406 0.082 0.255 0.4916 0.7254 0.4192 0.895 0.3596 0.925
"P9" 0.4042 0.6404 0.3328 0.7362 0.6314 0.7792 0.4808 0.5194 0.6812
"PO7" 0.7506 0.8228 0.3802 0.4136 0.8508 0.879 0.7128 0.393 0.827
"PO3" 0.6606 0.7682 0.345 0.4566 0.7868 0.8636 0.7926 0.391 0.8704
"O1" 0.3388 0.69 0.4068 0.5154 0.5654 0.7894 0.3432 0.4532 0.5678
"Oz" 0.1262 0.893 0.4086 0.7812 0.4848 0.9376 0.1614 0.5812 0.5064
"POz" 0.4148 0.6682 0.3434 0.3206 0.6198 0.7976 0.3938 0.3272 0.6148
"Pz" 0.9784 0.7628 0.3406 0.3522 0.994 0.8632 0.8174 0.3462 0.9018
"CPz" 0.9502 0.9896 0.3624 0.3588 0.9812 0.9986 0.9504 0.3598 0.9822
"Fpz" 0.795 0.107 0.2166 0.3956 0.8792 0.4196 0.3756 0.2932 0.5846
"Fp2" 0.2382 0.6726 0.3278 0.2286 0.5178 0.781 0.3004 0.2708 0.5516
"AF8" 0.517 0.6396 0.3412 0.3276 0.706 0.7798 0.4682 0.3334 0.6824
"AF4" 0.2712 0.3092 0.317 0.3026 0.5426 0.5566 0.1762 0.3084 0.4788
"AFz" 0.2446 0.6084 0.3448 0.294 0.5386 0.7656 0.27 0.3172 0.5576
"Fz" 0.5532 0.5406 0.3404 0.3324 0.7346 0.7288 0.4864 0.336 0.6962
"F2" 0.7184 0.763 0.3878 0.3994 0.7986 0.82 0.7116 0.3944 0.791
"F4" 0.712 0.7048 0.3396 0.334 0.8484 0.8352 0.675 0.3384 0.8262
"F6" 0.7558 0.8568 0.3688 0.3872 0.8088 0.8878 0.7626 0.3752 0.812
"F8" 0.6346 0.6022 0.3756 0.3794 0.731 0.7054 0.5852 0.377 0.6908
"FT8" 0.572 0.7506 0.3802 0.4472 0.7128 0.8434 0.6134 0.4078 0.7366
"FC6" 0.077 0.4082 0.4254 0.5776 0.427 0.6206 0.0808 0.4942 0.43
"FC4" 0.5092 0.9196 0.4248 0.4984 0.6728 0.9392 0.5118 0.4558 0.6746
"FC2" 0.0434 0.3918 0.3376 0.2424 0.423 0.6226 0.049 0.2882 0.425
"FCz" 0.1968 0.0174 0.1886 0.2536 0.4784 0.361 0.0198 0.2204 0.3642
"Cz" 0.2142 0.0028 0.1656 0.2412 0.4846 0.3436 0.006 0.194 0.3464
"C2" 0.2086 0.1942 0.2972 0.2832 0.5164 0.506 0.161 0.2886 0.4864
"C4" 0.9378 0.9792 0.3594 0.3578 0.9606 0.9592 0.9556 0.3606 0.994
"C6" 0.2828 0.4082 0.4002 0.4442 0.527 0.6164 0.2396 0.4204 0.5026
"T8" 0.4386 0.8702 0.3668 0.3066 0.6752 0.922 0.452 0.3314 0.683
"TP8" 0.1552 0.6868 0.4156 0.596 0.4722 0.7954 0.159 0.5004 0.4732
"CP6" 0.2934 0.7942 0.3866 0.46 0.5552 0.8588 0.3042 0.4204 0.5652
"CP4" 0.6748 0.2636 0.4346 0.3228 0.803 0.5358 0.7268 0.3736 0.8234
"CP2" 0.861 0.6692 0.3332 0.3446 0.9422 0.814 0.6944 0.3378 0.8352
"P2" 0.7676 0.7558 0.339 0.3412 0.8736 0.869 0.7524 0.3406 0.8684
"P4" 0.1622 0.4164 0.4302 0.5656 0.4682 0.6256 0.1268 0.489 0.4456
"P6" 0.4848 0.0802 0.5996 0.5656 0.6826 0.406 0.1642 0.5778 0.4652
"P8" 0.0152 0.1724 0.5402 0.9922 0.4228 0.5072 0.0088 0.7616 0.4196
"P10" 0.0312 0.3398 0.3424 0.8074 0.4536 0.6306 0.1108 0.7338 0.5064
"PO8" 0.02 0.1052 0.6552 0.6738 0.4144 0.468 0.0092 0.9758 0.408
"PO4" 0.4714 0.1438 0.5666 0.6214 0.6766 0.4478 0.2462 0.587 0.5186
"O2" 0.0014 0.3314 0.6272 0.3626 0.4944 0.6592 0.0014 0.7982 0.4948
