"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.00128101494061455 0.000369937513097921 0.0202243723696818 0.0218753248233942 -0.0430460430110633 0.00927557876412298 -0.000455538713758313 0.021049848596538 -0.0168852321234702
"AF7" 0.000590471560457538 -9.68860905491257e-05 0.0206857644568172 0.0199984068058105 0.0248855593795126 -0.00404389968983986 0.000246792734954206 0.0203420856313138 0.0104208298448364
"AF3" -0.000116442134126606 2.51678222376545e-05 0.02046465333869 0.0206062632950543 -0.00131526006985749 0.000155286450909761 -4.56371559444756e-05 0.0205354583168722 -0.000579986809473865
"F1" -0.000625217371300138 0.000902323346000308 0.0196307751774768 0.0211583158947772 -0.0206078126418798 0.0351736422175507 0.000138552987350085 0.020394545536127 0.00728291478783549
"F3" -1.15803788818608e-06 2.09439795029869e-05 0.0204684880457212 0.0204905900631123 -2.23567410772971e-05 0.000224781690865989 9.8929708074004e-06 0.0204795390544168 0.000101212474894346
"F5" 0.000738318591398284 0.000521829703486233 0.0199416583890806 0.0197251695011685 0.0236465470166121 0.0159051300775412 0.000630074147442258 0.0198334139451245 0.0197758385470767
"F7" 0.00113639919445375 -0.000390218469464277 0.0208956429838405 0.0193690253199225 0.0428343241799673 -0.0107854759991293 0.000373090362494738 0.0201323341518815 0.016024424090419
"FT7" -0.000242458319190934 0.000239145656182261 0.0201873910337677 0.0206689950091409 -0.00677870258268799 0.00793280538155255 -1.65633150433666e-06 0.0204281930214543 0.000577051399432279
"FC5" 0.00144260470063883 0.000807449566440068 0.0195931571920312 0.0189580020578325 0.0591870590436449 0.0312022966883233 0.00112502713353945 0.0192755796249318 0.0451946778659841
"FC3" 8.13528550425623e-05 -0.000108902095440822 0.0207740824993762 0.0205838275488928 0.000962853316601474 -0.00147783574529822 -1.377462019913e-05 0.0206789550241345 -0.000257491214348375
"FC1" 0.000174738364700286 0.000282440873611782 0.0201807293725858 0.0202884318814973 0.00317608562549384 0.00768758756220349 0.000228589619156034 0.0202345806270415 0.00543183659384866
"C1" 0.000643714683601422 0.000557001497238471 0.019881166813158 0.019794453626795 0.0224778466233839 0.0204395520988451 0.000600358090419946 0.0198378102199765 0.0214586993611145
"C3" 6.38916020613285e-05 0.000149938486940615 0.0202595178795342 0.0203455647644135 0.000606079381594734 0.00297066814604381 0.000106915044500972 0.0203025413219739 0.00178837376381927
"C5" 1.53886016980359e-05 0.000645353031357624 0.0198707498592383 0.0205007142888979 0.000207700160924221 0.0235302437492263 0.00033037081652783 0.0201857320740681 0.0118689719550753
"T7" -0.00129217746671727 0.00300669370301259 0.0175703791272891 0.021869250297019 -0.055665535638549 0.138127086496311 0.000857258118147664 0.0197198147121541 0.0412307754288807
"TP7" -0.000303504793433822 0.000364628737352102 0.0200913200618658 0.0207594535926517 -0.00591873745677573 0.0106463242626086 3.05619719591398e-05 0.0204253868272588 0.00236379340291645
