"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 1.40687756563065e-05 0.000149653020615305 0.0150052713511701 0.0151408555961291 0.000343165404374549 0.00512269894465334 8.18608981358056e-05 0.0150730634736496 0.00273293217451394
"AF7" 0.000753044198089863 -0.00076011714885475 0.0160686401931989 0.0145554788462543 0.0427858763976719 -0.0443109578974521 -3.53647538244348e-06 0.0153120595197266 -0.000762540749890111
"AF3" 0.000157265498128499 2.14094898212765e-05 0.0150316414568024 0.0148957854484952 0.00432739698398977 0.000265441723317207 8.93374939748876e-05 0.0149637134526488 0.00229641935365349
"F1" 0.000163462777537384 -0.00033265813340962 0.0155925959666589 0.0150964750557118 0.00473055713308163 -0.0133587647758642 -8.4597677936118e-05 0.0153445355111854 -0.0043141038213913
"F3" -0.000194902962191643 0.000126434819203623 0.0151500644299954 0.0154714022113906 -0.00575111984998219 0.00381658017774716 -3.42340714940102e-05 0.015310733320693 -0.000967269836117515
"F5" -0.000640991693242886 0.00143797848052637 0.0139870594371006 0.0160660296108699 -0.0289826712461244 0.086632897885183 0.000398493393641742 0.0150265445239853 0.0288251133195293
"F7" 0.000797426185273079 0.000178639396376979 0.0148694388285798 0.0142506520396837 0.0424033309295189 0.00718428610084583 0.000488032790825029 0.0145600454341318 0.0247938085151823
"FT7" -0.000296429980014589 0.00120699119783047 0.0138797192329477 0.0153831404107927 -0.01431862190567 0.0699727176276609 0.000455280608907943 0.0146314298218702 0.0278270478609955
"FC5" 0.000212546105229554 0.00104488840855394 0.0141766246967201 0.0150089670000445 0.00758229448149857 0.0601204138467457 0.000628717256891748 0.0145927958483823 0.0338513541641221
"FC3" -0.00030464471612533 0.000187644085539643 0.0151767614265467 0.0156690502282117 -0.0107817815526165 0.0058364447227742 -5.85003152928435e-05 0.0154229058273792 -0.00247266841492114
"FC1" 0.000468436821661536 -0.000115854181183846 0.0155078089722978 0.0149235179694524 0.0215427523073511 -0.00297096335133594 0.000176291320238845 0.0152156634708751 0.00928589447800759
"C1" 0.000814648030651741 -0.000306030311974877 0.0156873285293333 0.0145666501867067 0.041854500798746 -0.0141004542759521 0.000254308859338432 0.01512698935802 0.013877023261397
"C3" 2.18808360287425e-05 2.22127795199085e-06 0.0150790132775309 0.0150593537194541 0.000247453867991153 9.03773408254107e-05 1.20510569903667e-05 0.0150691834984925 0.000168915604408282
"C5" -0.000582545015897482 0.000930751870975031 0.014503816046695 0.0160171129335675 -0.0286291271261095 0.0525054073603923 0.000174103427538774 0.0152604644901312 0.0119381401171414
"T7" -0.00108502839489175 0.00204652482656629 0.0132754245513277 0.0164069777727858 -0.0655393435044676 0.127166891310586 0.000480748215837272 0.0148412011620567 0.0308137739030593
"TP7" -1.1811241584316e-06 6.01474903788131e-05 0.0150483668155582 0.0151096954300954 -0.000168661891376302 0.00173094126988236 2.94831831101907e-05 0.0150790311228268 0.00078113968925303
"CP5" -0.000753415567161835 -4.08507258494852e-05 0.015282608018501 0.0159951728598134 -0.037799238292832 -0.00128710254814657 -0.00039713314650566 0.0156388904391572 -0.0195431704204893
"CP3" 0.00014407998662171 5.62719536977125e-05 0.0151159240417932 0.0150281160088692 0.00313103293355398 0.000831346373758485 0.000100175970159711 0.0150720200253312 0.00198118965365623
"CP1" 0.00244919399308336 -0.000341087933018429 0.0158871404865106 0.0130968585604088 0.147701660181924 -0.0195802924457673 0.00105405303003246 0.0144919995234597 0.0640606838680783
"P1" -0.00357403691625217 0.000188514267792439 0.0151585457883491 0.0189210969723937 -0.205837130861127 0.0100448978428557 -0.00169276132422987 0.0170398213803714 -0.0978961165091357
"P3" 0.000272934419439577 -0.000128365843720683 0.0150552794618192 0.014653979198659 0.0140578199496449 -0.00514482746458116 7.22842878594469e-05 0.0148546293302391 0.00445649624253186
"P5" 0.000416485614648116 -0.00107699822557956 0.0162400730160306 0.0147465891758029 0.0229818838549527 -0.063504268688857 -0.000330256305465724 0.0154933310959167 -0.0202611924169522
"P7" -0.000926688528370466 -0.00100742704072608 0.016099336052703 0.0160185975403473 -0.0528435235253282 -0.0601815793912912 -0.000967057784548272 0.0160589667965251 -0.0565125514583097
"P9" -0.00234853394474692 0.00380616579093465 0.0114042338587819 0.0175589335944635 -0.135700950810434 0.241048027357866 0.000728815923093867 0.0144815837266227 0.0526735382737159
"PO7" 0.000267156916847023 -0.000982880108332461 0.0161525066213637 0.0149024695961842 0.0132181085805687 -0.0571066653380791 -0.000357861595742719 0.0155274881087739 -0.0219442783787552
"PO3" 0.000667136608100815 -0.000503665838304336 0.0156101341701813 0.0144393317237762 0.0400299464371437 -0.0296211183851525 8.17353848982398e-05 0.0150247329469787 0.00520441402599561
"O1" -0.000142904538969219 -1.71853391889946e-06 0.0152554251346086 0.015396611139659 -0.00361034167304281 -4.78813532304068e-05 -7.2311536444059e-05 0.0153260181371338 -0.00182911151313661
"Oz" -0.0026480661569511 -7.40532374460196e-05 0.0154173539329902 0.0179913668524953 -0.159003955977445 -0.00429440890732591 -0.00136105969719856 0.0167043603927428 -0.0816491824423856
"POz" 0.000299574563913971 -0.000343175526304054 0.0154546804888456 0.0148119303986276 0.0107871321551384 -0.0153293151752941 -2.18004811950414e-05 0.0151333054437366 -0.00227109151007782
"Pz" -8.53267212774024e-05 -1.31857029990732e-05 0.015299714438027 0.0153718554563054 -0.00162500404919028 -8.8972697453833e-05 -4.92562121382378e-05 0.0153357849471662 -0.000856988373322056
