"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.4418 0.6892 0.0304 0.0202 0.4566 0.6972 0.6082 0.0236 0.619
"AF7" 0.6974 0.9484 0.0322 0.038 0.7052 0.9466 0.8238 0.0324 0.8328
"AF3" 0.9108 0.9786 0.026 0.0252 0.9144 0.9754 0.933 0.0256 0.9378
"F1" 0.499 0.2348 0.0376 0.0236 0.5136 0.257 0.804 0.0294 0.8038
"F3" 0.997 0.9778 0.0266 0.0266 0.9966 0.977 0.9998 0.0264 0.9994
"F5" 0.5544 0.5994 0.0312 0.0348 0.568 0.6038 0.518 0.0326 0.5292
"F7" 0.3702 0.5616 0.0262 0.0462 0.3908 0.5794 0.5382 0.0348 0.5512
"FT7" 0.8548 0.8118 0.0302 0.0292 0.8602 0.8124 0.9968 0.0288 0.9982
"FC5" 0.3036 0.3502 0.0342 0.0424 0.3156 0.3586 0.2896 0.0366 0.3016
"FC3" 0.9128 0.8628 0.0226 0.025 0.9146 0.865 0.9924 0.0238 0.9938
"FC1" 0.8248 0.633 0.031 0.0302 0.8316 0.641 0.6596 0.0306 0.6676
"C1" 0.5734 0.464 0.0346 0.038 0.5846 0.4808 0.3906 0.0354 0.4098
"C3" 0.9402 0.7696 0.0284 0.0282 0.942 0.7706 0.8354 0.0276 0.8376
"C5" 0.9854 0.3774 0.0336 0.0308 0.9866 0.3922 0.6296 0.0312 0.6392
"T7" 0.6424 0.0586 0.0546 0.025 0.648 0.079 0.5882 0.0326 0.5982
"TP7" 0.8468 0.5748 0.0346 0.0342 0.8472 0.5836 0.97 0.0344 0.9756
"CP5" 0.5494 0.6576 0.0298 0.0242 0.5572 0.6662 0.751 0.0262 0.7532
"CP3" 0.6282 0.8258 0.0272 0.0288 0.6386 0.8278 0.6046 0.0284 0.6138
"CP1" 0.0282 0.4748 0.0424 0.0934 0.055 0.4896 0.029 0.0618 0.055
"P1" 0.4268 0.0232 0.017 0.0208 0.4358 0.0486 0.1892 0.0178 0.2066
"P3" 0.957 0.9494 0.0256 0.027 0.9562 0.947 0.9968 0.0246 0.9948
"P5" 0.1256 0.652 0.0348 0.0674 0.1532 0.6588 0.1224 0.0468 0.1492
"P7" 0.848 0.3558 0.0228 0.0302 0.852 0.3734 0.6166 0.0246 0.6274
"P9" 0.6208 0.0012 0.097 0.029 0.6346 0.0298 0.6554 0.043 0.6604
"PO7" 0.237 0.7078 0.029 0.0558 0.2606 0.7158 0.222 0.038 0.2456
"PO3" 0.5752 0.6274 0.0308 0.0486 0.5878 0.6324 0.4738 0.0386 0.4872
"O1" 0.955 0.9868 0.0258 0.025 0.9542 0.9856 0.968 0.0246 0.9664
