"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.983 0.7624 0.0238 0.023 0.9806 0.7672 0.8714 0.0218 0.8734
"AF7" 0.5136 0.5344 0.0146 0.0246 0.5214 0.5414 0.9952 0.0182 0.9934
"AF3" 0.7888 0.9612 0.0222 0.0232 0.7886 0.9606 0.8162 0.023 0.8164
"F1" 0.7908 0.5454 0.015 0.0186 0.7898 0.5532 0.8402 0.0156 0.844
"F3" 0.7516 0.767 0.018 0.015 0.7576 0.771 0.9296 0.0158 0.9324
"F5" 0.4098 0.2062 0.0498 0.0244 0.4302 0.2278 0.4074 0.0348 0.4198
"F7" 0.2966 0.7588 0.0234 0.0288 0.3106 0.76 0.325 0.0264 0.3378
"FT7" 0.7478 0.1176 0.0356 0.0216 0.758 0.1362 0.4638 0.0264 0.4752
"FC5" 0.795 0.1216 0.0316 0.0252 0.8 0.1406 0.2538 0.0272 0.2708
"FC3" 0.6212 0.7106 0.0216 0.0184 0.6296 0.7162 0.8732 0.0194 0.8768
"FC1" 0.54 0.7906 0.0198 0.027 0.548 0.7946 0.657 0.0222 0.6642
"C1" 0.3452 0.6002 0.0192 0.0304 0.3582 0.6104 0.642 0.0224 0.6474
"C3" 0.9674 0.9844 0.0222 0.0224 0.9682 0.9824 0.9776 0.0222 0.9744
"C5" 0.5674 0.1646 0.0316 0.0166 0.5732 0.1844 0.7758 0.0224 0.7784
"T7" 0.6026 0.1104 0.051 0.017 0.6104 0.1278 0.7106 0.0268 0.7136
"TP7" 0.9918 0.92 0.0176 0.0194 0.9928 0.9214 0.9564 0.0176 0.957
"CP5" 0.4008 0.9462 0.0184 0.013 0.413 0.9484 0.4622 0.0148 0.4744
"CP3" 0.8138 0.8936 0.0184 0.0198 0.8174 0.8964 0.8002 0.0196 0.8046
"CP1" 0.1138 0.7696 0.017 0.0522 0.1326 0.7752 0.2982 0.0294 0.3114
"P1" 0.1234 0.8188 0.0318 0.0078 0.1518 0.8252 0.1764 0.0128 0.2032
"P3" 0.7986 0.8108 0.0374 0.0458 0.7996 0.8106 0.8586 0.0406 0.8596
"P5" 0.7284 0.1436 0.013 0.0256 0.7346 0.161 0.6614 0.0176 0.668
"P7" 0.6554 0.2648 0.0136 0.022 0.6624 0.2818 0.3966 0.016 0.4076
"P9" 0.5966 4e-04 0.1066 0.0246 0.6158 0.032 0.7504 0.0442 0.7504
"PO7" 0.8566 0.1782 0.0146 0.0262 0.8592 0.1936 0.6742 0.0192 0.68
"PO3" 0.7308 0.577 0.02 0.038 0.7352 0.5858 0.9448 0.0258 0.9472
"O1" 0.8454 0.9966 0.0208 0.0196 0.8482 0.9934 0.8724 0.0198 0.8728
"Oz" 0.3008 0.9472 0.022 0.0106 0.3174 0.949 0.3468 0.0128 0.3638
"POz" 0.72 0.5532 0.0208 0.026 0.7248 0.5656 0.9618 0.0228 0.9658
"Pz" 0.8768 0.984 0.0148 0.0144 0.879 0.9854 0.8958 0.015 0.8988
"CPz" 0.874 0.9258 0.0214 0.0208 0.883 0.9276 0.8682 0.0206 0.8764
"Fpz" 0.8066 0.4376 0.0116 0.015 0.8118 0.448 0.5012 0.0134 0.5112
"Fp2" 0.9996 0.5406 0.0154 0.0226 0.997 0.5512 0.6852 0.0162 0.6906
"AF8" 0.7178 0.5182 0.0142 0.0158 0.7202 0.525 0.5254 0.0148 0.531
"AF4" 0.306 0.5592 0.0168 0.0292 0.321 0.5682 0.6754 0.0218 0.686
"AFz" 0.9184 0.6842 0.015 0.0182 0.92 0.691 0.8532 0.0172 0.856
"Fz" 0.576 0.8242 0.0196 0.0252 0.583 0.8296 0.7244 0.0216 0.7254
"F2" 0.8596 0.9606 0.0164 0.0154 0.8644 0.9602 0.91 0.0162 0.9152
"F4" 0.732 0.8918 0.0154 0.018 0.7342 0.8912 0.8184 0.0168 0.8198
"F6" 0.9018 0.8908 0.018 0.0168 0.9018 0.89 0.9986 0.0172 0.9998
"F8" 0.6988 0.662 0.0258 0.0224 0.707 0.6702 0.9506 0.0232 0.9536
"FT8" 0.7044 0.9402 0.0196 0.0232 0.7096 0.939 0.7802 0.0214 0.7822
"FC6" 0.6752 0.5812 0.0226 0.0172 0.6866 0.5914 0.9598 0.0198 0.9632
"FC4" 0.7948 0.9042 0.0206 0.0206 0.8006 0.9068 0.7956 0.0196 0.7986
"FC2" 0.9384 0.2696 0.0156 0.023 0.9398 0.2862 0.4836 0.0182 0.493
"FCz" 0.2526 0.7768 0.0202 0.036 0.2692 0.7814 0.299 0.0274 0.314
"Cz" 0.4468 0.8272 0.0176 0.0326 0.459 0.8274 0.6686 0.0226 0.676
"C2" 0.823 0.7458 0.0194 0.0186 0.8248 0.7516 0.7178 0.0188 0.7236
"C4" 0.5952 0.664 0.0166 0.0164 0.6012 0.6732 0.5746 0.0162 0.5814
"C6" 0.5292 0.6192 0.0224 0.0164 0.5368 0.624 0.8284 0.0186 0.8344
"T8" 0.7144 0.6088 0.0162 0.0192 0.7192 0.616 0.9756 0.018 0.978
"TP8" 0.782 0.8006 0.0186 0.0212 0.7888 0.8058 0.9142 0.0198 0.9182
"CP6" 0.8542 0.5164 0.0172 0.022 0.8578 0.5272 0.8304 0.0198 0.8336
"CP4" 0.3672 0.3346 0.012 0.0106 0.3796 0.3442 0.2128 0.011 0.2244
"CP2" 0.8716 0.7476 0.0198 0.0188 0.8716 0.7504 0.762 0.019 0.764
"P2" 0.973 0.9652 0.0182 0.0188 0.9762 0.9632 0.999 0.0184 0.9978
"P4" 0.3182 0.1852 0.0156 0.0498 0.3376 0.205 0.8786 0.0296 0.8852
"P6" 0.4128 0.5284 0.022 0.0846 0.43 0.5424 0.667 0.04 0.6794
"P8" 0.2552 0.899 0.0266 0.0936 0.273 0.8984 0.2968 0.0474 0.3142
"P10" 0.5888 0.0412 0.0078 0.0984 0.6014 0.0662 0.8208 0.0314 0.8222
"PO8" 0.6924 0.6796 0.017 0.0344 0.6954 0.6878 0.6226 0.0198 0.6292
"PO4" 0.2948 0.3232 0.0164 0.1204 0.3162 0.341 0.5962 0.0444 0.6108
"O2" 0.6906 0.4202 0.0158 0.0342 0.6968 0.434 0.542 0.0178 0.5502
