"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -2.69352915678408e-06 -1.08835420431558e-05 -0.000754026956866767 -0.000762216969753139 0.000744863561564349 0.00454241470826816 -6.78853559996994e-06 -0.000758121963309953 0.00264363913491625
"AF7" -3.38146720607052e-06 -3.38608888849039e-05 -0.000739142817175367 -0.0007696222388542 0.00175672163850605 0.020688470590219 -1.86211780454872e-05 -0.000754382528014784 0.0112225961143625
"AF3" 5.64299080475148e-05 5.90720922321857e-05 -0.00082551516318625 -0.000822872979001579 -0.0331571182779427 -0.0460431941381431 5.77510001398502e-05 -0.000824194071093914 -0.0396001562080429
"F1" -0.000170273655031853 -5.20045674501824e-05 -0.0007046676937309 -0.000586398606149229 0.16098235324852 0.0417307550062861 -0.000111139111241018 -0.000645533149940064 0.101356554127403
"F3" 9.34679342173264e-05 3.20810100283553e-05 -0.000786492031242337 -0.000847878955431309 -0.0795645676413969 -0.024847443626754 6.27744721228408e-05 -0.000817185493336823 -0.0522060056340754
"F5" 3.76361843332425e-05 3.93459595356851e-05 -0.000795067269422993 -0.000793357494220551 -0.0368957382348382 -0.0293747908767633 3.84910719344638e-05 -0.000794212381821772 -0.0331352645558008
"F7" 0.00016500769788037 -5.26534538639835e-06 -0.000760169110923891 -0.00093044215419066 -0.160504009080267 0.00458720468239648 7.98711762469856e-05 -0.000845305632557276 -0.0779584021989354
"FT7" 0.000419526140989986 2.88560290838937e-05 -0.000807213147697214 -0.00119788325960331 -0.414254645269126 -0.0303351576670996 0.00022419108503694 -0.00100254820365026 -0.222294901468113
"FC5" 0.000254442144265494 -4.20053969853842e-05 -0.000723395865997905 -0.00101984340724878 -0.244282694773739 0.0358931646486452 0.000106218373640055 -0.000871619636623345 -0.104194765062547
"FC3" -0.000177352844651416 -0.000108275227450156 -0.000654564874430242 -0.000585487257228982 0.18234520551623 0.100443154189616 -0.000142814036050786 -0.000620026065829612 0.141394179852923
"FC1" 7.91568279139817e-05 -9.25804648415611e-05 -0.000674208719579056 -0.000845946012334599 -0.0651382909698004 0.0824548471491884 -6.71181846378969e-06 -0.000760077365956828 0.00865827808969399
"C1" -0.000130025567492444 -8.89900649971716e-06 -0.000753883294715257 -0.00063275673372253 0.1189273566226 0.00712403969679571 -6.94622869960806e-05 -0.000693320014218894 0.0630256981596977
"C3" 0.000426120905284809 -3.08619983253553e-05 -0.000739723377621788 -0.00119670628123195 -0.417477958097339 0.0219278874346888 0.000197629453479727 -0.00096821482942687 -0.197775035331325
"C5" 0.000149754216214996 -4.13650968717926e-05 -0.000709302653594532 -0.000900421966681321 -0.142505418577832 0.033583202343152 5.41945596716019e-05 -0.000804862310137927 -0.0544611081173402
"T7" -0.000411690755544393 1.66774650620133e-05 -0.000767331039030912 -0.000338962818424506 0.40174198025786 -0.017898877418956 -0.00019750664524119 -0.000553146928727709 0.191921551419452
"TP7" 2.41695435485073e-05 5.93018867968612e-05 -0.000818155583307985 -0.000783023240059632 -0.00755645297654937 -0.0494972611815922 4.17357151726843e-05 -0.000800589411683809 -0.0285268570790708
"CP5" -0.000258802037438213 5.76789747105706e-05 -0.000810681482503203 -0.000494200470354419 0.261358105251354 -0.047099088334155 -0.000100561531363821 -0.000652440976428811 0.107129508458599
"CP3" 3.99893124286167e-05 -1.90777195145836e-05 -0.000748158563602729 -0.000807225595545929 -0.0276758408770926 0.0114512615751826 1.04557964570165e-05 -0.000777692079574329 -0.008112289650955
"CP1" -8.22161210069095e-05 -2.55031836341663e-05 -0.000748016280202422 -0.000691303342829679 0.0688913672769723 0.0157247744371721 -5.38596523205379e-05 -0.000719659811516051 0.0423080708570722
"P1" -2.75158223686363e-05 1.62155846497303e-05 -0.000777482836676415 -0.000733751429658049 0.0172740467424311 -0.00857924587658911 -5.65011885945301e-06 -0.000755617133167232 0.004347400432921
"P3" -4.96703812111908e-07 2.43057003805653e-07 -0.000759705745023305 -0.000758965984207387 0.000364412448197197 0.000102815703805689 -1.26823404153128e-07 -0.000759335864615346 0.000233614076001443
"P5" 4.57528388486985e-05 -3.16497937345705e-06 -0.000759167332536341 -0.000808085150758497 -0.0263877989893993 0.0010114400805323 2.12939297376207e-05 -0.000783626241647419 -0.0126881794544335
"P7" -0.00032827640606353 0.000158555593981162 -0.000913764012047018 -0.000426932012002327 0.319995548954131 -0.148178843224211 -8.48604060411839e-05 -0.000670348012024673 0.0859083528649601
"P9" -0.000206988174740145 -5.45938894553329e-06 -0.000753045636154619 -0.000551516850360007 0.199139199940014 0.00188281278572672 -0.000106223781842839 -0.000652281243257313 0.100511006362871
"PO7" 5.49209183836356e-06 -7.53013219995733e-06 -0.000752185413410185 -0.000765207637448506 -0.00183045324612981 0.00548781271633194 -1.01902018079689e-06 -0.000758696525429346 0.00182867973510106
"PO3" -4.20529017606352e-05 -6.95832054625186e-06 -0.000751686065486782 -0.000716591484272398 0.02481873459184 0.00232559680341916 -2.45056111534435e-05 -0.00073413877487959 0.0135721656976296
"O1" -1.17874521778349e-06 2.34533149551497e-06 -0.000755925279773161 -0.000752401203059863 0.000177124306971714 -0.00025229495517456 5.83293138865741e-07 -0.000754163241416512 -3.75853241014231e-05
"Oz" 0.00010042544536295 5.56933605796419e-05 -0.000815019697070398 -0.000859751781853706 -0.085137470378551 -0.0434067141276445 7.80594029712958e-05 -0.000837385739462052 -0.0642720922530978
"POz" 2.81842320304552e-06 -2.84464722164229e-05 -0.000735815311082018 -0.000767080206501487 -0.000672862200857513 0.0164319464215388 -1.28140245066887e-05 -0.000751447758791753 0.00787954211034063
"Pz" -5.51623516987082e-05 4.35031546309364e-05 -0.000806815000329354 -0.000708149493999709 0.0445313666287097 -0.0327455480970924 -5.82959853388589e-06 -0.000757482247164532 0.00589290926580862
"CPz" 9.06840761757931e-05 5.59484708541048e-05 -0.000823325543795337 -0.000858061149117025 -0.0750248333855807 -0.0463244553760331 7.3316273514949e-05 -0.000840693346456181 -0.0606746443808069
"Fpz" -2.07204497915672e-05 5.49185920106277e-05 -0.000801430162957109 -0.000725791121154914 0.0072813793233208 -0.0429578695248667 1.70990711095303e-05 -0.000763610642056011 -0.0178382451007729
"Fp2" 4.25648441347119e-06 -3.37019892964833e-05 -0.000727291295373133 -0.000765249769083087 -0.000933174096538837 0.0298680437835428 -1.47227524415061e-05 -0.00074627053222811 0.014467434843502
"AF8" 6.60879473335643e-05 8.24640628935136e-05 -0.000848887706467992 -0.000832511590908043 -0.0627594831673912 -0.0717133577217198 7.42760051135389e-05 -0.000840699648688018 -0.0672364204445555
"AF4" -1.04436695794322e-05 2.00214426408733e-05 -0.000784509927163847 -0.000754044814943541 0.00264683603252796 -0.0109695670481507 4.78888653072054e-06 -0.000769277371053694 -0.00416136550781139
"AFz" -1.24581030795669e-05 2.48697259173013e-05 -0.000774406195632122 -0.000737078366635253 0.00406705267721722 -0.0171468380873218 6.20581141886719e-06 -0.000755742281133688 -0.00653989270505228
"Fz" -0.000128207632904147 7.75292557839199e-06 -0.000784100663524804 -0.000648140105042265 0.110298150646366 -0.00604417449022924 -6.02273536628773e-05 -0.000716120384283535 0.0521269880780686
"F2" -1.92191576008201e-05 1.50905828395229e-05 -0.000787417472807171 -0.000753107732366828 0.0129673430754004 -0.00924206452913091 -2.06428738064859e-06 -0.000770262602586999 0.00186263927313475
"F4" 0.000115269389696381 6.13954675651973e-07 -0.000766068722905214 -0.000880724157925943 -0.107513992439989 0.000346896956927448 5.79416721860165e-05 -0.000823396440415578 -0.0535835477415305
"F6" 0.000204517059314473 0.000105963231407483 -0.000872906753262105 -0.000971460581169094 -0.186109788656548 -0.0918440255515064 0.000155240145360978 -0.000922183667215599 -0.138976907104027
"F8" 3.06747284518768e-05 -8.5287944224977e-05 -0.000691379461005072 -0.000807342133681926 -0.0254485624887189 0.0799077106028422 -2.73066078865501e-05 -0.000749360797343499 0.0272295740570617
"FT8" 0.000120843614293898 3.49514454201991e-05 -0.000796173656390729 -0.000882065825264427 -0.0996127326409225 -0.0263082344401743 7.78975298570483e-05 -0.000839119740827578 -0.0629604835405484
"FC6" 0.000349459359729274 0.000107961345522961 -0.000869018057583373 -0.00111051607178969 -0.339374934156998 -0.0965804491704173 0.000228710352626118 -0.00098976706468653 -0.217977691663708
"FC4" 5.20446558862259e-05 -2.75576546133925e-06 -0.000749329586674393 -0.000804130008021959 -0.025036547266291 0.00197051488589548 2.46444452124433e-05 -0.000776729797348176 -0.0115330161901977
"FC2" -1.39540846791784e-05 -0.000103613711274063 -0.000656135531774248 -0.000745795158369133 0.0146597392591936 0.0930332130631127 -5.87838979766208e-05 -0.00070096534507169 0.0538464761611531
