"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 7.12042012966685e-06 -4.6667286617303e-06 -0.0007628841473752 -0.000774671296166597 -0.00220673750653077 0.00159933749668037 1.22684573396828e-06 -0.000768777721770899 -0.000303700004925202
"AF7" -2.08216152098286e-05 -3.21079700569578e-05 -0.000742357201756124 -0.000753643556603253 0.0142076321966091 0.0271078646454397 -2.64647926333932e-05 -0.000748000379179688 0.0206577484210244
"AF3" -1.53852559111015e-06 3.60501857838069e-05 -0.000817029911090476 -0.000779441199715559 0.000464101727768385 -0.0313796701198412 1.72558300963484e-05 -0.000798235555403017 -0.0154577841960364
"F1" -0.000235767056462236 5.90384449000971e-05 -0.000825873551529127 -0.000531068050166793 0.267456468219549 -0.0612208517842419 -8.83643057810696e-05 -0.00067847080084796 0.103117808217653
"F3" -4.8006490477232e-05 2.44205230393808e-05 -0.000798705257118965 -0.000726278243602352 0.0518338605740587 -0.0248947701429862 -1.17929837189256e-05 -0.000762491750360659 0.0134695452155362
"F5" 4.2737434902207e-05 5.33071093365918e-05 -0.000820567538948226 -0.000809997864513841 -0.0416530129259383 -0.0547914538919765 4.80222721193994e-05 -0.000815282701731034 -0.0482222334089574
"F7" -6.68249860075705e-05 -6.32371491259424e-05 -0.000711073102947374 -0.000707485266065746 0.0757030213960371 0.0672372510228808 -6.50310675667565e-05 -0.00070927918450656 0.071470136209459
"FT7" -4.23934775175247e-05 -0.000249882269633987 -0.000522279736202603 -0.000729768528319065 0.0471447898426667 0.298582049959704 -0.000146137873575756 -0.000626024132260834 0.172863419901186
"FC5" 7.1700454228278e-05 -1.09726110760591e-05 -0.000750290418169451 -0.000832963483473788 -0.0777228801001698 0.0115979136502092 3.03639215761095e-05 -0.000791626950821619 -0.0330624832249803
"FC3" -0.000358878525575596 1.37558726753856e-05 -0.000782577896099462 -0.00040994349784848 0.411307463710139 -0.0166990172060361 -0.000172561326450105 -0.000596260696973971 0.197304223252052
"FC1" -8.73473578136571e-05 -3.81299763579565e-05 -0.000736922403023463 -0.000687705021567763 0.0969626519727594 0.0417773819631219 -6.27386670858068e-05 -0.000712313712295613 0.0693700169679407
"C1" -7.02319476780962e-05 -1.76227832418476e-06 -0.000770661904220717 -0.000702192234866806 0.0757824864597785 0.00262209759684049 -3.59971130011405e-05 -0.000736427069543762 0.0392022920283095
"C3" 0.00014621823230732 1.67949380918535e-05 -0.000793242529086714 -0.00092266582330218 -0.162365138789828 -0.0181683316900506 8.15065851995869e-05 -0.000857954176194447 -0.0902667352399391
"C5" -0.000272613313095206 -0.000218235277903233 -0.000554781052131816 -0.000500403016939843 0.318898435808307 0.25688255787958 -0.00024542429549922 -0.00052759203453583 0.287890496843944
"T7" -0.000246003911570421 -0.000164256982306285 -0.00061074961130664 -0.000529002682042504 0.277478043195379 0.188209697678639 -0.000205130446938353 -0.000569876146674572 0.232843870437009
"TP7" -3.74134805597775e-05 -5.71429068789158e-05 -0.000723250895711184 -0.000742980322030322 0.0318681002264459 0.0571303974180724 -4.72781937193466e-05 -0.000733115608870753 0.0444992488222592
"CP5" -0.000127911144526815 5.31048760277208e-05 -0.000828713215834696 -0.000647697195280159 0.137054213132694 -0.0506176385041009 -3.74031342495473e-05 -0.000738205205557427 0.0432182873142966
"CP3" 1.1469526854104e-05 -6.3732425872512e-05 -0.00071521109474172 -0.000790413047468336 -0.00726819103334677 0.065712069874208 -2.6131449509204e-05 -0.000752812071105028 0.0292219394204306
"CP1" -5.01820447502362e-06 4.04685041298231e-05 -0.000818693196991798 -0.000773206488386951 0.00301051221690726 -0.0368668486055219 1.77251498273997e-05 -0.000795949842689374 -0.0169281681943073
"P1" -1.44254740127134e-05 1.92035842811687e-05 -0.000794310056609179 -0.000760680998315296 0.00702250243610756 -0.0142814919424987 2.38905513422765e-06 -0.000777495527462238 -0.00362949475319557
"P3" -1.01098361622758e-05 -2.27611164635801e-06 -0.000762202579688305 -0.000754368855172387 0.00972334260136301 0.000711030506844271 -6.19297390431691e-06 -0.000758285717430346 0.00521718655410364
