"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.96 0.7758 0.2424 0.235 0.96 0.8186 0.8674 0.238 0.899
"AF7" 0.9616 0.4286 0.2496 0.2234 0.9472 0.569 0.6444 0.2344 0.7212
"AF3" 0.5286 0.3036 0.1916 0.2062 0.622 0.4814 0.3476 0.1988 0.507
"F1" 0.2978 0.338 0.276 0.3406 0.4102 0.5184 0.1998 0.3008 0.3594
"F3" 0.5602 0.5402 0.2226 0.2086 0.6462 0.6594 0.462 0.2096 0.5752
"F5" 0.7102 0.3862 0.2108 0.241 0.683 0.5366 0.4926 0.2242 0.5494
"F7" 0.3886 0.914 0.2302 0.1864 0.4672 0.9394 0.4194 0.1998 0.496
"FT7" 0.1892 0.774 0.2164 0.122 0.3408 0.7944 0.1788 0.1518 0.3288
"FC5" 0.2466 0.5088 0.263 0.1604 0.3728 0.6206 0.3532 0.198 0.4538
"FC3" 0.632 0.2326 0.3144 0.3966 0.6828 0.4222 0.453 0.3418 0.5582
"FC1" 0.6804 0.1238 0.3072 0.2134 0.7566 0.3456 0.9356 0.2494 0.9574
"C1" 0.2316 0.8664 0.2408 0.3246 0.399 0.9022 0.2576 0.278 0.4246
"C3" 0.1206 0.7372 0.257 0.1048 0.3114 0.8344 0.1664 0.159 0.3316
"C5" 0.6242 0.6374 0.2814 0.2152 0.6852 0.7564 0.7308 0.2334 0.755
"T7" 0.3206 0.8726 0.2402 0.6402 0.4548 0.8748 0.3614 0.4026 0.488
"TP7" 0.7796 0.2466 0.194 0.2158 0.8566 0.4336 0.4002 0.2038 0.5616
"CP5" 0.0904 0.1934 0.2122 0.4196 0.3036 0.3882 0.1154 0.2974 0.3018
"CP3" 0.6414 0.5554 0.2532 0.225 0.6912 0.6728 0.815 0.2384 0.8156
"CP1" 0.2802 0.4956 0.2444 0.2704 0.4038 0.608 0.2498 0.2586 0.3958
"P1" 0.7188 0.7106 0.2294 0.2516 0.7648 0.7786 0.8584 0.2376 0.8572
"P3" 0.9832 0.9996 0.2354 0.2336 0.9786 0.9886 0.989 0.2352 0.9772
"P5" 0.7126 0.8934 0.2302 0.2134 0.7694 0.8982 0.7298 0.2202 0.7834
"P7" 0.0926 0.0612 0.1508 0.5038 0.2958 0.286 0.4012 0.2888 0.5132
"P9" 0.176 0.9158 0.2394 0.371 0.3216 0.9686 0.1864 0.287 0.3388
"PO7" 0.939 0.878 0.2468 0.239 0.9414 0.8672 0.9926 0.2404 0.9714
"PO3" 0.7662 0.8352 0.2436 0.2648 0.7846 0.8612 0.7456 0.2526 0.7752
"O1" 0.9868 0.9492 0.2396 0.2476 0.992 0.9732 0.9858 0.2414 0.9918
"Oz" 0.183 0.1832 0.2014 0.1882 0.366 0.3862 0.0924 0.1922 0.3054
"POz" 0.983 0.5328 0.2432 0.2366 0.9772 0.6298 0.7822 0.2382 0.8428
"Pz" 0.6218 0.2824 0.2076 0.26 0.6458 0.4624 0.921 0.2286 0.867
"CPz" 0.7034 0.5806 0.2064 0.2134 0.7922 0.6894 0.575 0.1974 0.6902
"Fpz" 0.7992 0.437 0.2082 0.262 0.8414 0.5908 0.6978 0.2304 0.8068
"Fp2" 0.939 0.6426 0.261 0.2344 0.9566 0.7058 0.7252 0.2468 0.7704
"AF8" 0.6332 0.092 0.1884 0.2282 0.656 0.3068 0.3252 0.2038 0.4448
"AF4" 0.8554 0.6072 0.2244 0.2458 0.8928 0.7158 0.8866 0.2352 0.9212
"AFz" 0.8492 0.567 0.2184 0.2448 0.8758 0.684 0.864 0.2298 0.9174
"Fz" 0.3414 0.86 0.2222 0.3054 0.4558 0.886 0.3986 0.2568 0.5022
"F2" 0.8508 0.7192 0.223 0.2482 0.8674 0.8014 0.9744 0.234 0.9582
"F4" 0.3226 0.9916 0.2248 0.1868 0.4096 0.9906 0.3462 0.2028 0.438
"F6" 0.2432 0.1088 0.1668 0.1612 0.3902 0.3262 0.1004 0.158 0.3054
"F8" 0.8596 0.052 0.281 0.2288 0.8822 0.2638 0.7624 0.2468 0.8274
"FT8" 0.3702 0.3588 0.2092 0.183 0.4734 0.5068 0.2668 0.1894 0.4004
"FC6" 0.1124 0.1316 0.1702 0.1206 0.2922 0.3478 0.0486 0.1376 0.2616
"FC4" 0.7334 0.9564 0.2356 0.202 0.8382 0.946 0.7574 0.214 0.8606
"FC2" 0.9066 0.0744 0.3092 0.2398 0.8932 0.2966 0.4028 0.2732 0.5394
"FCz" 0.532 0.2098 0.271 0.2122 0.6068 0.4078 0.8056 0.2338 0.8032
"Cz" 0.1828 0.6518 0.2442 0.1782 0.3322 0.742 0.2534 0.205 0.3716
"C2" 0.3406 0.176 0.199 0.2016 0.472 0.3758 0.1862 0.2 0.3744
