"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.8522 0.8722 0.0986 0.0912 0.8754 0.8846 0.9638 0.0946 0.975
"AF7" 0.6568 0.4376 0.1094 0.102 0.6856 0.4904 0.4328 0.1048 0.4864
"AF3" 0.9736 0.3546 0.0726 0.0864 0.98 0.411 0.5936 0.0782 0.626
"F1" 0.0108 0.3944 0.0862 0.2774 0.1198 0.4706 0.149 0.162 0.242
"F3" 0.641 0.7484 0.0856 0.1248 0.6722 0.7704 0.8626 0.0984 0.877
"F5" 0.6224 0.3728 0.0838 0.087 0.6604 0.44 0.4032 0.0836 0.468
"F7" 0.6076 0.4652 0.1326 0.1416 0.6388 0.5188 0.4318 0.1356 0.4878
"FT7" 0.851 0.078 0.2688 0.148 0.86 0.1554 0.302 0.1838 0.3554
"FC5" 0.6192 0.9002 0.113 0.0832 0.6666 0.914 0.7474 0.0948 0.774
"FC3" 0.1026 0.9102 0.1082 0.4272 0.201 0.9218 0.2064 0.228 0.2948
"FC1" 0.5318 0.6772 0.1204 0.1546 0.5772 0.7102 0.4936 0.133 0.5422
"C1" 0.5282 0.9782 0.0922 0.1322 0.5716 0.9768 0.6314 0.1086 0.6576
"C3" 0.4446 0.8876 0.096 0.0626 0.5004 0.8982 0.4984 0.071 0.5514
"C5" 0.1484 0.097 0.2506 0.3178 0.2234 0.174 0.049 0.274 0.1352
"T7" 0.3334 0.254 0.2072 0.3136 0.3946 0.3272 0.193 0.2442 0.2718
"TP7" 0.4734 0.2016 0.1158 0.107 0.5152 0.2706 0.2232 0.1098 0.2918
"CP5" 0.0688 0.268 0.0816 0.1872 0.1636 0.3432 0.3692 0.1232 0.4324
"CP3" 0.863 0.187 0.1242 0.0898 0.881 0.2594 0.5344 0.1064 0.5748
"CP1" 0.9208 0.3278 0.0756 0.095 0.9246 0.388 0.603 0.0852 0.6384
"P1" 0.7346 0.6304 0.0858 0.1054 0.7672 0.6666 0.9232 0.0956 0.931
"P3" 0.8886 0.936 0.101 0.1048 0.8884 0.9338 0.8856 0.1004 0.8858
"P5" 0.6082 0.7016 0.1162 0.0936 0.6772 0.7566 0.6082 0.1042 0.6772
"P7" 0.1988 0.5532 0.0838 0.2584 0.2772 0.6016 0.4654 0.145 0.5222
"P9" 0.0022 0.3118 0.1512 0.3934 0.1154 0.3826 0.0036 0.246 0.1168
"PO7" 0.882 0.9788 0.1248 0.1174 0.9096 0.9868 0.8896 0.1194 0.9184
