"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" -0.00049731543597439 -0.000886367417533295 0.0509782535406851 0.0505892015591262 -0.0032424798508694 -0.0140239777532291 -0.000691841426753842 0.0507837275499056 -0.00863322880204923
"AF7" -0.00139560091357943 -0.00108402068818139 0.0511739072909031 0.0514854875163011 -0.0153834171218068 -0.0141731892247111 -0.00123981080088041 0.0513296974036021 -0.014778303173259
"AF3" -0.00194204201984438 -0.000402651619632094 0.0506829393594152 0.0522223297596275 -0.0258856368071721 -0.00358745460944148 -0.00117234681973824 0.0514526345595214 -0.0147365457083068
"F1" 0.00411559707800554 -0.00121093865935354 0.0515429968178518 0.0462164610804927 0.0722345556793672 -0.0201708317112944 0.001452329209326 0.0488797289491723 0.0260318619840364
"F3" -6.68431278958932e-05 0.000429084053309865 0.0498029820700687 0.0502989092512745 -0.000617999238118707 0.00691120515680592 0.000181120462706986 0.0500509456606716 0.00314660295934361
"F5" -0.00171492002704301 0.00100054963044066 0.0497605861738575 0.0524760558313411 -0.0264456025281642 0.0148992375547346 -0.000357185198301177 0.0511183210025993 -0.0057731824867148
"F7" 0.00165410651332493 0.00339402772189034 0.0469015532175675 0.0486414744261329 0.0299883788031927 0.0640095804718776 0.00252406711760763 0.0477715138218502 0.0469989796375352
"FT7" 0.0011693611542533 0.00823969691219994 0.0422072454455905 0.0492775812035372 0.0216413204553626 0.160006170822839 0.00470452903322662 0.0457424133245639 0.0908237456391006
"FC5" 0.00245988900332152 0.00181625119186929 0.048421799569998 0.0477781617585458 0.0443459396988396 0.0333429328332393 0.00213807009759541 0.0480999806642719 0.0388444362660395
"FC3" 0.0004363075760081 -0.00134443831793232 0.0518565720898566 0.0500758261959162 0.00805041228734044 -0.0235144462446922 -0.000454065370962111 0.0509661991428864 -0.00773201697867588
"FC1" -0.000158285349279252 -0.000857966570845549 0.0513370342538098 0.0506373530322435 -0.0023083578079337 -0.0152008782283793 -0.000508125960062401 0.0509871936430267 -0.00875461801815651
"C1" -0.00118957476721497 0.00660353632969133 0.0439854291168491 0.0517785402137554 -0.0198391302307563 0.124865154614819 0.00270698078123818 0.0478819846653023 0.0525130121920314
"C3" 0.00958287949679828 -0.000635033254723477 0.0507544377346203 0.0405365249830986 0.181596003166767 -0.0116132973846262 0.0044739231210374 0.0456454813588595 0.0849913528910706
"C5" -0.00449715484492556 0.00217095591497356 0.0482705398754683 0.0549386506353675 -0.0849081451492703 0.0413705515222624 -0.001163099464976 0.0516045952554179 -0.0217687968135039
"T7" -0.0324284343824587 -0.00122713599872419 0.0516556860618192 0.0828569844455537 -0.630587034819648 -0.022808377025744 -0.0168277851905914 0.0672563352536865 -0.326697705922696
"TP7" 0.00128994462972261 0.0017127591997555 0.0486456900908784 0.0490685046609112 0.0168028264860871 0.0279206542639366 0.00150135191473905 0.0488570973758948 0.0223617403750118
"CP5" -0.00522806621493987 -0.000138193241623858 0.0503521675794806 0.0554420405527966 -0.0951015024218727 -0.00163666744410571 -0.00268312972828186 0.0528971040661386 -0.0483690849329892
"CP3" 0.00203579212896641 0.00124756045321953 0.0492082521214399 0.048420020445693 0.0313948471582286 0.0179284094129352 0.00164167629109297 0.0488141362835664 0.0246616282855819
"CP1" -0.000493167398655593 -0.000348873623353219 0.0505488734194159 0.0506931671947183 -0.00468714899900485 -0.00326134177673484 -0.000421020511004406 0.0506210203070671 -0.00397424538786984
"P1" -0.000574770315348986 0.000224279223002236 0.0499756294033004 0.0507746789416516 -0.00539977785888776 0.0013077735411237 -0.000175245546173375 0.050375154172476 -0.00204600215888203
"P3" 0.000237819045317388 0.000141117763852192 0.0499264238007774 0.0498297225193122 0.00370132522547237 0.00188224960748635 0.00018946840458479 0.0498780731600448 0.00279178741647936
"P5" 0.000385820782302689 -0.000954336188574798 0.0513562546996386 0.0500160977287611 0.00219471098899216 -0.0148633816067377 -0.000284257703136054 0.0506861762141998 -0.00633433530887277
"P7" -0.00341356263361881 0.00475141551921929 0.0455008119974004 0.0536657901502385 -0.0605879581716816 0.0901731604151951 0.000668926442800236 0.0495833010738195 0.0147926011217568
"P9" 5.11419047333403e-06 -0.00414341757661264 0.0546501573240498 0.0505016255569639 0.000345050859998995 -0.0750028411658994 -0.00206915169306965 0.0525758914405068 -0.0373288951529502
