"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 3.55706885612768e-05 -0.000520574358733934 0.0519090210236849 0.0513528759763897 0.000146432825090259 -0.00761124219922732 -0.000242501835086329 0.0516309485000373 -0.00373240468706853
"AF7" -0.00143779307642549 -0.000867890991134636 0.0521564366937401 0.052726338779031 -0.0224241402301556 -0.0125919050134929 -0.00115284203378006 0.0524413877363855 -0.0175080226218243
"AF3" 0.000845366527385396 0.00030269741292832 0.0511627685031928 0.0506200993887357 0.0109655002240706 0.00309479142319338 0.000574031970156858 0.0508914339459643 0.00703014582363199
"F1" 0.00498008214919561 0.00423433404307681 0.0470987989360761 0.0463530508299573 0.0918200372467922 0.0787599333479965 0.00460720809613621 0.0467259248830167 0.0852899852973943
"F3" 0.00286336369227274 0.00523539797728975 0.0461027568832089 0.0484747911682259 0.0525133846085524 0.0982738036627608 0.00404938083478124 0.0472887740257174 0.0753935941356566
"F5" 0.000976694099262767 0.00422253937901188 0.0473378517140416 0.0505836969937907 0.0167670783787283 0.078845551752021 0.00259961673913733 0.0489607743539161 0.0478063150653747
"F7" 0.000903554824545776 0.00568882175243121 0.0456893143751378 0.0504745813030233 0.016238738888687 0.106939880904116 0.00329618828848849 0.0480819478390805 0.0615893098964015
"FT7" -0.000530862149177742 0.00597690522697305 0.0454863146857233 0.0519940820618741 -0.00992519468566244 0.114112566098687 0.00272302153889765 0.0487401983737987 0.0520936857065123
"FC5" 0.00463184102794068 0.00660363438547102 0.0447618176695134 0.0467336110270437 0.0874032851357737 0.125847392592495 0.00561773770670585 0.0457477143482786 0.106625338864134
"FC3" 0.0123131952940505 0.0105501727092307 0.0408218121237275 0.0390587895389077 0.23586889580214 0.204681907148227 0.0114316840016406 0.0399403008313176 0.220275401475183
"FC1" 0.00950498202447929 0.00916958700980181 0.042223026192041 0.0418876311773635 0.182011563874021 0.175249375979418 0.00933728451714055 0.0420553286847022 0.178630469926719
"C1" 0.0071806691875117 0.00584931332145318 0.0457036177640246 0.0443722618979661 0.135676040348117 0.109832005758138 0.00651499125448244 0.0450379398309953 0.122754023053127
"C3" 0.0135100025379915 0.00743445874372783 0.0440948858161054 0.0380193420218418 0.259522166074399 0.142507475294893 0.0104722306408596 0.0410571139189736 0.201014820684646
"C5" 0.0106922437290735 0.00699032826266053 0.0445376935121852 0.0408357780457723 0.204627611828931 0.133286767929508 0.00884128599586702 0.0426867357789788 0.16895718987922
"T7" -0.0088155300335999 0.00826954378486543 0.0428226252801258 0.0599076990985911 -0.168660917863555 0.159748658007912 -0.000272993124367235 0.0513651621893584 -0.00445612992782135
"TP7" 0.00136641011744557 0.00103456776079719 0.0504046597948103 0.0500728174381619 0.0213712873274774 0.0160119028145027 0.00120048893912138 0.0502387386164861 0.01869159507099
"CP5" -1.48199249221042e-05 0.000857634298197311 0.0507161477969123 0.0515886020200317 -5.69367219195671e-05 0.0131781919854571 0.000421407186637603 0.051152374908472 0.00656062763176879
"CP3" 0.00257090939629008 8.60720500127867e-05 0.0513597332008304 0.0488748958545532 0.0447703575073396 0.000865563452005522 0.00132849072315143 0.0501173145276918 0.0228179604796726
"CP1" 0.00158598427517948 6.50892134813811e-05 0.0513108601666227 0.0497899651049246 0.0256871088197343 0.000540126104753743 0.000825536744330429 0.0505504126357736 0.013113617462244
"P1" -0.000121899163737678 -0.000246135858373448 0.0515744546525315 0.0514502179578957 -0.000642418405705506 -0.00212887945731549 -0.000184017511055563 0.0515123363052136 -0.0013856489315105
"P3" 0.000251630004541172 2.09165174431823e-05 0.0516593695893988 0.0514286561023009 0.00388553875719976 6.87014857067421e-05 0.000136273260992177 0.0515440128458498 0.00197712012145325
"P5" 0.000103776560449533 0.000378139281926888 0.0508770819622742 0.0511514446837516 0.000579455046886598 0.00451231017631485 0.000240957921188211 0.0510142633230129 0.00254588261160072
"P7" 0.00174570225994649 -0.00239463114056884 0.0538522263438098 0.0497118929432945 0.0316610552873915 -0.0448549104788625 -0.000324464440311175 0.0517820596435521 -0.00659692759573546
"P9" 0.00265851910950017 0.000390480603026434 0.0511583778139946 0.0488903393075208 0.046946654661839 0.00675840139355254 0.0015244998562633 0.0500243585607577 0.0268525280276958
"PO7" -0.00011101156422198 -0.000118546048796439 0.0516642430076931 0.0516567085231187 -0.000655663527351794 -0.00098450439318525 -0.00011477880650921 0.0516604757654059 -0.000820083960268522
"PO3" 0.000214672413798975 3.10982860637342e-05 0.0512586198565933 0.0510750457288581 0.00164922424363735 0.000116135800194428 0.000122885349931354 0.0511668327927257 0.00088268002191589
"O1" -0.000762344747657787 -0.00063185368914153 0.0519350100840521 0.0520655011425684 -0.0127531364945163 -0.0100033937520261 -0.000697099218399658 0.0520002556133103 -0.0113782651232712
"Oz" 0.0032406023118283 0.00387289625019309 0.0475187804291653 0.0481510743675301 0.0587070600613134 0.071595433907175 0.0035567492810107 0.0478349273983477 0.0651512469842442
"POz" 0.000887307712380646 -0.000545176736116006 0.0519360758435226 0.0505035913950259 0.0126088438238988 -0.00674224012214388 0.00017106548813232 0.0512198336192742 0.00293330185087748
"Pz" 0.000526843756273432 -0.00078435088475012 0.0523022088068136 0.05099101416579 0.00732584981009999 -0.0119407617432076 -0.000128753564238344 0.0516466114863018 -0.0023074559665538
"CPz" 0.00460908248225095 0.00500852774031201 0.0464060641841573 0.0468055094422183 0.0869312784665929 0.0948736303647144 0.00480880511128148 0.0466057868131878 0.0909024544156536
"Fpz" 2.72147366407095e-05 0.00205965391693732 0.0491915603773489 0.0512239995576455 0.000177585048619419 0.0378822465102411 0.00104343432678901 0.0502077799674972 0.0190299157794303
"Fp2" -0.000453118904212301 -0.00139693685539531 0.0528587225811722 0.0519149046299892 -0.00481768770923945 -0.0258614378522169 -0.000925027879803804 0.0523868136055807 -0.0153395627807282
"AF8" 0.00300481344351877 0.00101472671341168 0.0504681806810496 0.0484780939509425 0.0529154630349125 0.0176306527695535 0.00200977007846523 0.049473137315996 0.035273057902233
"AF4" 0.000946659414653506 0.00140799519319108 0.050117072059086 0.0505784078376235 0.0135225392441503 0.0256184471648328 0.00117732730392229 0.0503477399483547 0.0195704932044916
"AFz" 0.000631610039178221 0.00113031479069439 0.0503173287534418 0.050816033504958 0.0074816798767075 0.019472508192349 0.000880962414936308 0.0505666811291999 0.0134770940345282
"Fz" 0.00465186318555652 0.006291869419826 0.0450103731789748 0.0466503794132443 0.0860652298975959 0.119019229623182 0.00547186630269126 0.0458303762961096 0.102542229760389
"F2" 0.00480469125596384 0.00350351271694358 0.0479009338042068 0.0465997552651866 0.0882861318355534 0.0644382516290828 0.00415410198645371 0.0472503445346967 0.0763621917323181
"F4" 0.00388102873956099 0.00234513599810151 0.0492122590889233 0.0476763663474638 0.0697507542085314 0.0421444238268455 0.00311308236883125 0.0484443127181935 0.0559475890176884
"F6" 0.00672970850297044 0.00501580314682589 0.0462174551673257 0.0445035498111811 0.127066686593695 0.094378500246865 0.00587275582489816 0.0453605024892534 0.11072259342028
"F8" 0.00238358915584462 0.00246888903536123 0.0489172331581784 0.049002533037695 0.0439010802510005 0.045696517068339 0.00242623909560293 0.0489598830979367 0.0447987986596698
"FT8" 0.00262399328236766 0.00105724627613558 0.050260539335917 0.0486937923296849 0.0455530648702581 0.0177030687803233 0.00184061977925162 0.0494771658328009 0.0316280668252907
"FC6" 0.00653410530750267 0.000751778718912395 0.0508140156521869 0.0450316890635967 0.122270377415592 0.013517020275275 0.00364294201320753 0.0479228523578918 0.0678936988454337
"FC4" 0.006511645814767 -0.000369731967555561 0.051640312059377 0.0447589342770544 0.122338998038328 -0.00606013950699246 0.00307095692360572 0.0481996231682157 0.058139429265668
"FC2" 0.0058016703393144 0.00463018732226173 0.0467806340903195 0.0456091510732668 0.108085146109406 0.0861228871418398 0.00521592883078806 0.0461948925817931 0.0971040166256231
"FCz" 0.00457920644325681 0.00509049978748323 0.0463548399958414 0.0468661333400679 0.083516458688584 0.0961095173188758 0.00483485311537002 0.0466104866679547 0.0898129880037299
"Cz" 0.0035543206159489 0.00360397291747999 0.0478471470698032 0.0478967993713343 0.064579470789655 0.066717537721712 0.00357914676671444 0.0478719732205687 0.0656485042556835
"C2" 0.00388606571516102 0.00249732970013766 0.0489246778200482 0.0475359418050249 0.0709740156057833 0.0448407632991552 0.00319169770764934 0.0482303098125365 0.0579073894524692
"C4" 0.00402919021349541 0.00230089943703496 0.0492031771204836 0.0474748863440232 0.0732271783614409 0.0407309534624645 0.00316504482526518 0.0483390317322534 0.0569790659119527
"C6" 0.00325742585141757 0.00239346539028645 0.0489001138792494 0.0480361534181182 0.0592402795518957 0.0425425979342272 0.00282544562085201 0.0484681336486838 0.0508914387430615
"T8" 0.00174002620074878 -0.000307992612230849 0.0517717771144484 0.0497237583014688 0.0281941886877533 -0.00362340977168557 0.000716016794258966 0.0507477677079586 0.0122853894580339
"TP8" 0.00274173280224346 0.00156972286782045 0.0498614398845902 0.0486894299501672 0.0479077534448174 0.0261898054558223 0.00215572783503196 0.0492754349173787 0.0370487794503198
"CP6" 0.00781144943257329 0.00334465501478023 0.0480512608206326 0.0435844664028395 0.147599397829041 0.0622402683823514 0.00557805222367676 0.0458178636117361 0.104919833105696
"CP4" 0.00210839716142336 0.000932082159091952 0.0505148606078425 0.0493385456055111 0.0365499281097267 0.0160555881467747 0.00152023966025766 0.0499267031066768 0.0263027581282507
"CP2" 0.00523721586044695 -0.000378924203730482 0.0517458490723252 0.0461297090081478 0.0983818320191455 -0.0076283454999797 0.00242914582835823 0.0489377790402365 0.0453767432595829
"P2" 0.000484874424960232 -6.42950488441961e-05 0.0513262176994764 0.0507770482256719 0.00603506635949938 -0.000340930369643118 0.000210289688058018 0.0510516329625741 0.00284706799492813
"P4" 0.00152924401555549 0.000534577032639096 0.0510054031716902 0.0500107361887738 0.0240528300477531 0.00706195771065001 0.0010319105240973 0.050508069680232 0.0155573938792016
"P6" 0.00576307404279641 0.00937145254091195 0.0420017349969681 0.0456101134950837 0.109435141114586 0.180551809967949 0.00756726329185418 0.0438059242460259 0.144993475541268
"P8" 0.00766033008887771 0.00513051851776178 0.0461983439095645 0.0436685323384486 0.144060976396024 0.0973025414790818 0.00639542430331975 0.0449334381240065 0.120681758937553
"P10" 0.017836334196572 -0.000216862926756117 0.0517180512868143 0.0336648541634862 0.340739229701291 -0.00341531052184979 0.00880973563490793 0.0426914527251502 0.168661959589721
