"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.8278 0.7082 0.0064 0.0064 0.8322 0.7122 0.7168 0.0062 0.7208
"AF7" 0.6048 0.5074 0.0078 0.0062 0.6098 0.5096 0.4406 0.007 0.4456
"AF3" 0.476 0.7642 0.0066 0.0058 0.4798 0.768 0.4608 0.0062 0.4654
"F1" 0.2684 0.6032 0.0066 0.0178 0.2742 0.6074 0.5086 0.0114 0.5132
"F3" 0.9908 0.8654 0.0076 0.008 0.9906 0.864 0.9342 0.0068 0.934
"F5" 0.563 0.6242 0.012 0.0084 0.5698 0.627 0.8274 0.0094 0.8314
"F7" 0.7178 0.236 0.0132 0.0126 0.718 0.2422 0.3448 0.011 0.3502
"FT7" 0.8724 0.0548 0.0288 0.0148 0.8738 0.0642 0.258 0.0178 0.2654
"FC5" 0.6086 0.5112 0.0112 0.0138 0.612 0.5146 0.439 0.0116 0.4424
"FC3" 0.9592 0.7554 0.0074 0.014 0.957 0.7596 0.9186 0.0096 0.922
"FC1" 0.9814 0.7758 0.006 0.0084 0.9816 0.7784 0.8394 0.006 0.8396
"C1" 0.7518 0.0224 0.02 0.0088 0.7524 0.0306 0.2402 0.013 0.246
"C3" 0.1338 0.8726 0.009 0.0456 0.14 0.8732 0.224 0.0164 0.2298
"C5" 0.4982 0.5872 0.0096 0.0026 0.5024 0.5894 0.7576 0.0046 0.761
"T7" 0 0.7598 0.012 0 0.0106 0.7592 4e-04 8e-04 0.011
"TP7" 0.517 0.3016 0.0088 0.0082 0.5196 0.307 0.3064 0.008 0.3118
"CP5" 0.0958 0.9226 0.009 0.0042 0.1036 0.9228 0.1158 0.0054 0.1232
"CP3" 0.3752 0.457 0.0094 0.0118 0.3798 0.4612 0.2678 0.0106 0.2728
"CP1" 0.8008 0.8192 0.008 0.0096 0.8022 0.8218 0.7406 0.0086 0.7432
"P1" 0.7622 0.8584 0.0088 0.0072 0.764 0.8586 0.8714 0.0078 0.872
"P3" 0.9472 0.9446 0.0078 0.0094 0.9452 0.9426 0.945 0.0088 0.943
"P5" 0.8506 0.6796 0.0072 0.0086 0.8524 0.683 0.8212 0.007 0.8238
"P7" 0.515 0.1238 0.0148 0.0052 0.5202 0.1294 0.8208 0.0082 0.8216
"P9" 0.9936 0.0608 0.0038 0.0084 0.9956 0.0676 0.3774 0.0058 0.381
"PO7" 0.8674 0.8502 0.0074 0.0082 0.8726 0.8562 0.8502 0.0076 0.8562
"PO3" 0.753 0.8518 0.009 0.0098 0.755 0.8518 0.7494 0.0098 0.7514
"O1" 0.681 0.8082 0.0082 0.0056 0.6872 0.8116 0.6804 0.007 0.6866
"Oz" 0.3036 0.5284 0.0104 0.0116 0.3086 0.5318 0.2298 0.0106 0.2368
"POz" 0.7712 0.4058 0.0046 0.006 0.7712 0.4102 0.4684 0.005 0.4712
"Pz" 0.75 0.24 0.0092 0.0074 0.7528 0.2436 0.3312 0.0082 0.3352
"CPz" 0.9352 0.016 0.0296 0.0112 0.9342 0.0242 0.1664 0.016 0.173
"Fpz" 0.8444 0.4384 0.0108 0.0094 0.848 0.442 0.4934 0.0102 0.4978
"Fp2" 0.9646 0.6326 0.0058 0.0078 0.968 0.6356 0.686 0.0064 0.689
"AF8" 0.0838 0.2878 0.0118 0.0372 0.0924 0.2928 0.0492 0.0206 0.0574
"AF4" 0.949 0.5986 0.0106 0.0094 0.9506 0.6002 0.7394 0.01 0.7398
"AFz" 0.678 0.9324 0.0082 0.0106 0.683 0.9318 0.6878 0.009 0.6916
"Fz" 0.9588 0.7082 0.006 0.0082 0.9592 0.711 0.8708 0.007 0.8716
"F2" 0.9722 0.5352 0.0064 0.0082 0.972 0.539 0.6928 0.0068 0.695
"F4" 0.2584 0.4286 0.01 0.018 0.2642 0.4312 0.176 0.0124 0.1826
"F6" 0.3608 0.486 0.011 0.019 0.3652 0.4904 0.2512 0.014 0.2572
"F8" 0.6036 0.2734 0.016 0.0162 0.6074 0.2796 0.308 0.0154 0.313
"FT8" 0.5552 0.0734 0.013 0.0056 0.5598 0.0804 0.5462 0.0082 0.5496
"FC6" 0.9194 0.6162 0.0054 0.0092 0.9172 0.6192 0.8262 0.0074 0.8292
"FC4" 0.0548 0.8178 0.0096 0.0306 0.0634 0.8176 0.069 0.0154 0.0776
"FC2" 0.3612 0.962 0.0072 0.0104 0.366 0.9616 0.4908 0.0074 0.494
"FCz" 0.7128 0.7612 0.0072 0.0072 0.7138 0.763 0.6342 0.0074 0.6372
"Cz" 0.7036 0.6582 0.0084 0.0092 0.7064 0.6606 0.5836 0.0082 0.5868
"C2" 0.2826 0.177 0.0092 0.01 0.2864 0.1816 0.1408 0.0096 0.1454
"C4" 0.4776 0.0932 0.0118 0.0058 0.4814 0.0994 0.6464 0.0076 0.6482
"C6" 0.3416 0.2654 0.0126 0.0082 0.3488 0.2718 0.913 0.01 0.9166
"T8" 0.958 0.6042 0.0092 0.0088 0.9568 0.6054 0.8186 0.0092 0.8182
"TP8" 0.6212 0.1466 0.012 0.009 0.622 0.1522 0.2116 0.01 0.2168
"CP6" 0.8138 0.0084 0.023 0.0108 0.8116 0.0158 0.148 0.014 0.1534
