"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.9618 0.7006 0 0 0.9618 0.7006 0.735 0 0.735
"AF7" 0.2566 0.3672 0 0 0.2566 0.3672 0.225 0 0.225
"AF3" 0.4742 0.6952 0 0 0.4742 0.6952 0.4456 0 0.4456
"F1" 0.0192 0.009 0 0 0.0192 0.009 0.0026 0 0.0026
"F3" 0.2368 0.002 0 0 0.2368 0.002 0.0142 0 0.0142
"F5" 0.6102 0.0044 0 0 0.6102 0.0044 0.0506 0 0.0506
"F7" 0.7578 0.0046 0 0 0.7578 0.0046 0.0848 0 0.0848
"FT7" 0.9202 0.0644 2e-04 0 0.9202 0.0644 0.401 0 0.401
"FC5" 0.1502 0.0016 0 0 0.1502 0.0016 0.0076 0 0.0076
"FC3" 0.0144 0.0012 0 0.002 0.0144 0.0012 4e-04 4e-04 4e-04
"FC1" 0.002 0 4e-04 2e-04 0.002 0 0 2e-04 0
"C1" 0.0054 0.0022 0 0 0.0054 0.0022 4e-04 0 4e-04
"C3" 0.0016 0.005 0 0.001 0.0016 0.005 6e-04 0 6e-04
"C5" 0.015 0.0202 2e-04 8e-04 0.015 0.0202 0.0028 2e-04 0.0028
"T7" 0.1152 0.0108 2e-04 0 0.1152 0.0108 0.9318 0 0.9318
"TP7" 0.2684 0.2674 0 0 0.2684 0.2674 0.1822 0 0.1822
"CP5" 0.9962 0.4284 0 0 0.9962 0.4284 0.6508 0 0.6508
"CP3" 0.0988 0.9442 0 0 0.0988 0.9442 0.1808 0 0.1808
"CP1" 0.2142 0.9402 0 0 0.2142 0.9402 0.3124 0 0.3124
"P1" 0.8924 0.7298 0 0 0.8924 0.7298 0.7604 0 0.7604
"P3" 0.8968 0.9786 0 0 0.8968 0.9786 0.8974 0 0.8974
"P5" 0.8968 0.6524 0 0 0.8968 0.6524 0.7196 0 0.7196
"P7" 0.6514 0.2802 0 2e-04 0.6514 0.2802 0.881 0 0.881
"P9" 0.264 0.8104 0 2e-04 0.264 0.8104 0.312 2e-04 0.312
"PO7" 0.9156 0.8962 0 0 0.9156 0.8962 0.8906 0 0.8906
"PO3" 0.7866 0.9658 0 0 0.7866 0.9658 0.8274 0 0.8274
"O1" 0.6456 0.648 0 0 0.6456 0.648 0.6446 0 0.6446
"Oz" 0.04 0.0118 0 0 0.04 0.0118 0.0106 0 0.0106
"POz" 0.3862 0.5442 0 0 0.3862 0.5442 0.8064 0 0.8064
"Pz" 0.7066 0.4732 0 0 0.7066 0.4732 0.881 0 0.881
"CPz" 0.2218 0.0472 0 0 0.2218 0.0472 0.045 0 0.045
"Fpz" 0.9704 0.3546 0 0 0.9704 0.3546 0.3594 0 0.3594
"Fp2" 0.6554 0.5596 0 0 0.6554 0.5596 0.5598 0 0.5598
"AF8" 0.2172 0.4358 0 0 0.2172 0.4358 0.1548 0 0.1548
"AF4" 0.505 0.4638 0 0 0.505 0.4638 0.4636 0 0.4636
"AFz" 0.5742 0.4518 0 0 0.5742 0.4518 0.4564 0 0.4564
"Fz" 0.0214 0.0022 0 0 0.0214 0.0022 0.0022 0 0.0022
"F2" 0.016 0.0152 0 0 0.016 0.0152 0.008 0 0.008
"F4" 0.0582 0.1016 0 0 0.0582 0.1016 0.0214 0 0.0214
"F6" 0.0114 0.0062 0 0 0.0114 0.0062 8e-04 0 8e-04
"F8" 0.416 0.166 0 0 0.416 0.166 0.1664 0 0.1664
"FT8" 0.17 0.3778 0 0 0.17 0.3778 0.1222 0 0.1222
"FC6" 0.0436 0.7416 0 0 0.0436 0.7416 0.0804 0 0.0804
"FC4" 0.008 0.7572 2e-04 2e-04 0.0078 0.757 0.0176 2e-04 0.0174
"FC2" 0.0046 0.004 0 0 0.0046 0.004 0.003 0 0.003
"FCz" 0.0228 0.0128 0 0 0.0228 0.0128 0.0128 0 0.0128
"Cz" 0.0424 0.0272 0 2e-04 0.0424 0.0272 0.0258 0 0.0258
"C2" 0.053 0.0616 0 0 0.053 0.0616 0.0512 0 0.0512
"C4" 0.0226 0.0686 0 0 0.0226 0.0686 0.012 0 0.012
"C6" 0.0516 0.0686 0 0 0.0516 0.0686 0.0194 0 0.0194
"T8" 0.205 0.7158 0 0 0.205 0.7158 0.3966 0 0.3966
"TP8" 0.085 0.1442 0 0 0.085 0.1442 0.061 0 0.061
"CP6" 0.0084 0.0772 0 4e-04 0.0084 0.0772 0.0024 0 0.0024
"CP4" 0.293 0.4986 0 0 0.293 0.4986 0.2426 0 0.2426
"CP2" 0.135 0.8688 0 2e-04 0.135 0.8688 0.2728 0 0.2728
"P2" 0.6698 0.9126 0 0 0.6698 0.9126 0.7382 0 0.7382
"P4" 0.2242 0.5574 0 0 0.2242 0.5574 0.2366 0 0.2366
"P6" 0.3076 0 4e-04 0 0.3076 0 0.016 2e-04 0.016
"P8" 0.0164 0.0076 0 2e-04 0.0164 0.0076 0.0016 0 0.0016
"P10" 0.0112 0.9576 0 0.0182 0.0112 0.9576 0.0464 0.0014 0.0464
"PO8" 0.0026 0.0472 0 0 0.0026 0.0472 0.0014 0 0.0014
"PO4" 0.5014 0.0042 0 0 0.5014 0.0042 0.0628 0 0.0628
"O2" 0 8e-04 0 0.001 0 8e-04 0 4e-04 0
