"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 1.2687637351888e-05 -0.000213029798349418 0.013133850542436 0.0129081331067347 0.000161968223248886 -0.0107709606821982 -0.000100171080498765 0.0130209918245853 -0.00530449622947463
"AF7" 0.000292761812007925 -0.000300934757836094 0.0133183073679218 0.0127246107980778 0.013288853315643 -0.0146640842952119 -4.08647291408494e-06 0.0130214590829998 -0.000687615489784422
"AF3" -0.000135423215111248 -0.000219952673659367 0.0132359280622768 0.0131513986037287 -0.00434636227737582 -0.00947568906764748 -0.000177687944385308 0.0131936633330027 -0.00691102567251165
"F1" 0.000819414290643828 0.00152544613215447 0.0114011675053482 0.0121071993468588 0.0560451191950741 0.111206825814177 0.00117243021139915 0.0117541834261035 0.0836259725046253
"F3" 0.00163433848774478 0.000922044025221263 0.0120573443185517 0.0113450498560282 0.117647081415781 0.0668146481227807 0.00127819125648302 0.0117011970872899 0.092230864769281
"F5" -0.000212947008950579 0.000863480924298996 0.0120854405917033 0.0131618685249529 -0.0129968761398891 0.0596748319318142 0.000325266957674208 0.0126236545583281 0.0233389778959625
"F7" 0.00215257292942781 0.000807953230279443 0.0121229110431232 0.0107782913439748 0.157840985126713 0.0585535047716827 0.00148026307985363 0.011450601193549 0.108197244949198
"FT7" -7.43754096419626e-05 0.00307497111460829 0.00993586592361715 0.0130852124478674 -0.00570315653405395 0.22727526373222 0.00150029785248316 0.0115105391857423 0.110786053599083
"FC5" 0.00327889635388701 0.00222508491339385 0.0107100309697975 0.00965621952930437 0.243601326420846 0.164773324560214 0.00275199063364043 0.010183125249551 0.20418732549053
"FC3" 0.00305270608499381 0.00344196739669427 0.00953363108761219 0.00992289239931265 0.226445594354829 0.254025283211599 0.00324733674084404 0.00972826174346242 0.240235438783214
"FC1" 0.000366146313499731 0.00323221807531674 0.00964095536228945 0.0125070271241065 0.0244818251481482 0.241008728218239 0.00179918219440824 0.011073991243198 0.132745276683194
"C1" -0.000508391028421836 0.00108344286523824 0.0118914031364025 0.0134832370300626 -0.0339749953792192 0.0768976308062272 0.000287525918408204 0.0126873200832325 0.021461317713504
"C3" 0.00280102169170765 0.00253792397049937 0.0104238842821893 0.0101607865609811 0.206752642937267 0.19073036318007 0.00266947283110351 0.0102923354215852 0.198741503058669
"C5" 0.000851416496766689 0.00278170813941098 0.0101984632509557 0.0121287548936 0.0611076441517092 0.205207871011087 0.00181656231808883 0.0111636090722779 0.133157757581398
"T7" -0.000527335041219111 0.00652591537139055 0.00642335563826296 0.0134766060508726 -0.0369186465498192 0.490915191376362 0.00299929016508572 0.00994998084456779 0.226998272413271
"TP7" 0.000197427093353846 0.000568098444435581 0.0123393277827174 0.0127099991337991 0.00880547430861545 0.0359443254797384 0.000382762768894713 0.0125246634582583 0.0223748998941769
"CP5" -0.000104693404970404 0.000945403481164513 0.0119301377693878 0.0129802346555227 -0.00439022828428105 0.0635625354154836 0.000420355038097055 0.0124551862124553 0.0295861535656013
"CP3" 4.66553353830439e-05 0.000659941648078447 0.0123192478722188 0.0129325341849142 0.00200344609043307 0.0424003799420626 0.000353298491730746 0.0126258910285665 0.0222019130162478
"CP1" -0.000421741263507099 0.000827060373065115 0.0120517274979023 0.0133005291344745 -0.0224227922211722 0.0550770534571645 0.000202659554779008 0.0126761283161884 0.0163271306179961
"P1" -0.000302878557277404 0.00018612357229179 0.0127713951029564 0.0132603972325255 -0.0136787230353423 0.00773500112053751 -5.83774924928067e-05 0.013015896167741 -0.00297186095740238
"P3" 0.000100342426495093 6.82084238382672e-05 0.0128705854153705 0.0128384514127137 0.00444633981335815 0.00272965973015173 8.42754251666802e-05 0.0128545184140421 0.00358799977175494
"P5" -0.000183604677797033 -0.000199432207408575 0.0130895900622689 0.0130737625326573 -0.0065099864433571 -0.00923513203886087 -0.000191518442602804 0.0130816762974631 -0.00787255924110899
"P7" 0.00017583427370522 0.00274094718238015 0.0102646223231109 0.0128297352317858 0.0123158184964589 0.20249860851132 0.00145839072804268 0.0115471787774484 0.10740721350389
